,hyperparameters,mean_brier,mean_roc_auc,mean_accuracy,dataset
44,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 907, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.09135930523353059,0.9348702868257794,0.8780231335436384,mt
45,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1004, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.09136690542412633,0.9348656568977047,0.877602523659306,mt
46,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 28, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.09387584382971466,0.9298874697089274,0.8742376445846478,mt
47,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1915, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.09135474321840986,0.93491699801,0.8767613038906414,mt
48,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 808, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.09138694538459087,0.9348233633538552,0.8779179810725551,mt
49,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1691, 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.09135796487639689,0.9348907183877945,0.8764458464773922,mt
0,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 239, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10776279026442163,0.8102838904871291,0.8520606545012439,kc1
1,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 507, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10752943459804953,0.8118000104103873,0.8520595287681102,kc1
2,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 736, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10750384709110813,0.8119236728242016,0.8530096475329557,kc1
3,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 927, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10754621687796029,0.8116336400986104,0.8520606545012439,kc1
4,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 197, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10780376548973798,0.8099565179257844,0.8520606545012439,kc1
5,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1902, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10755343816171332,0.8118092124883269,0.850637727820243,kc1
6,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 143, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10790448245711089,0.8097034233666752,0.8539575148315339,kc1
7,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1667, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10753082566363048,0.8118612699263725,0.8511116614695322,kc1
8,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 325, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10762738676276826,0.8111680294809839,0.851111661469532,kc1
9,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1616, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10754039132525772,0.811775639540015,0.8520595287681102,kc1
10,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 230, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.1076705313124023,0.8106463854497562,0.8530096475329557,kc1
11,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 311, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10761941610007722,0.8109809385371183,0.851111661469532,kc1
12,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1191, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10751368208311754,0.8119089178061418,0.8520606545012439,kc1
13,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 229, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10768029484786842,0.8107064454602458,0.8530096475329557,kc1
14,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1068, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10753106637233316,0.8121268327398532,0.8520606545012439,kc1
15,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1072, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10753127402868352,0.8119976911169905,0.8520606545012439,kc1
16,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1946, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10756041360333571,0.8118000940456327,0.851111661469532,kc1
17,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 504, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10752982479354782,0.8117227952703828,0.8520595287681102,kc1
18,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1159, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10751422533961008,0.8120561356466842,0.8520606545012439,kc1
19,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1292, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10749622492264044,0.8119376993352538,0.8515855951188211,kc1
20,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1463, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10751558303784067,0.8118442699622476,0.8515855951188211,kc1
21,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 1964, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10755858598255079,0.8117311918088521,0.851111661469532,kc1
22,"{'n_jobs': -1, 'random_state': 42, 'n_estimators': 406, 'max_depth': 9, 'min_samples_leaf': 1, 'min_samples_split': 60}",0.10753308892090038,0.8121518154680747,0.8520606545012439,kc1
