,iter,dataset,hyperparameters,roc_auc
0,0,spam,"{'model__max_depth': 12, 'model__min_samples_leaf': 45, 'model__min_samples_split': 7, 'model__n_estimators': 1817, 'model__random_state': 42}",0.9463088308236977
1,1,spam,"{'model__max_depth': 8, 'model__min_samples_leaf': 14, 'model__min_samples_split': 19, 'model__n_estimators': 1630, 'model__random_state': 42}",0.9533436235548359
2,2,spam,"{'model__max_depth': 9, 'model__min_samples_leaf': 59, 'model__min_samples_split': 33, 'model__n_estimators': 577, 'model__random_state': 42}",0.9444600881208794
3,3,spam,"{'model__max_depth': 13, 'model__min_samples_leaf': 55, 'model__min_samples_split': 35, 'model__n_estimators': 786, 'model__random_state': 42}",0.9449770169856947
4,4,spam,"{'model__max_depth': 12, 'model__min_samples_leaf': 38, 'model__min_samples_split': 37, 'model__n_estimators': 271, 'model__random_state': 42}",0.9476300138174926
5,5,spam,"{'model__max_depth': 8, 'model__min_samples_leaf': 30, 'model__min_samples_split': 8, 'model__n_estimators': 1910, 'model__random_state': 42}",0.9490805739354764
6,6,spam,"{'model__max_depth': 10, 'model__min_samples_leaf': 57, 'model__min_samples_split': 43, 'model__n_estimators': 1550, 'model__random_state': 42}",0.9445130972612045
7,7,spam,"{'model__max_depth': 6, 'model__min_samples_leaf': 37, 'model__min_samples_split': 40, 'model__n_estimators': 682, 'model__random_state': 42}",0.9466279862014749
8,8,spam,"{'model__max_depth': 2, 'model__min_samples_leaf': 57, 'model__min_samples_split': 9, 'model__n_estimators': 1166, 'model__random_state': 42}",0.934886514832311
9,9,spam,"{'model__max_depth': 15, 'model__min_samples_leaf': 40, 'model__min_samples_split': 16, 'model__n_estimators': 8, 'model__random_state': 42}",0.9400954554191632
10,10,spam,"{'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__min_samples_split': 35, 'model__n_estimators': 34, 'model__random_state': 42}",0.9161464262972686
11,11,spam,"{'model__max_depth': 11, 'model__min_samples_leaf': 1, 'model__min_samples_split': 60, 'model__n_estimators': 1, 'model__random_state': 42}",0.9037545288722646
12,12,spam,"{'model__max_depth': 13, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 2000, 'model__random_state': 42}",0.9674400091305941
13,13,spam,"{'model__max_depth': 14, 'model__min_samples_leaf': 60, 'model__min_samples_split': 60, 'model__n_estimators': 1, 'model__random_state': 42}",0.8895292067721083
14,14,spam,"{'model__max_depth': 9, 'model__min_samples_leaf': 24, 'model__min_samples_split': 2, 'model__n_estimators': 1, 'model__random_state': 42}",0.9029547075597286
15,15,spam,"{'model__max_depth': 8, 'model__min_samples_leaf': 60, 'model__min_samples_split': 22, 'model__n_estimators': 2000, 'model__random_state': 42}",0.9443456242068592
16,16,spam,"{'model__max_depth': 13, 'model__min_samples_leaf': 1, 'model__min_samples_split': 28, 'model__n_estimators': 2000, 'model__random_state': 42}",0.9599419876295958
17,17,spam,"{'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__min_samples_split': 43, 'model__n_estimators': 2000, 'model__random_state': 42}",0.9298793720041209
18,18,spam,"{'model__max_depth': 15, 'model__min_samples_leaf': 28, 'model__min_samples_split': 31, 'model__n_estimators': 2000, 'model__random_state': 42}",0.9498714067528878
19,19,spam,"{'model__max_depth': 15, 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 2000, 'model__random_state': 42}",0.965557347256117
20,20,spam,"{'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 2000, 'model__random_state': 42}",0.9298793720041209
21,21,spam,"{'model__max_depth': 15, 'model__min_samples_leaf': 1, 'model__min_samples_split': 27, 'model__n_estimators': 776, 'model__random_state': 42}",0.9604658537016887
