param_model__C,param_model__kernel,param_model__gamma,mean_all_datasets_test_score,std_all_datasets_test_score
1.233265306122449,rbf,3.051551020408163,0.8532179173273622,0.04659070071824116
8.368979591836734,linear,5.704204081632653,0.8265076186100877,0.019142079381211378
2.4565306122448978,sigmoid,2.521020408163265,0.5768247460969674,0.09236218962309263
9.184489795918367,sigmoid,2.255755102040816,0.5652225401928532,0.07925647214937898
8.572857142857142,sigmoid,0.1336326530612245,0.7890421071084663,0.058697374872788456
4.0875510204081635,linear,1.7252244897959181,0.8218452504983471,0.0287514868801589
9.592244897959183,linear,6.367367346938775,0.8272607237824308,0.01795746798368456
1.8448979591836736,linear,4.245244897959184,0.8145107135547385,0.04284229208225898
6.941836734693878,linear,4.377877551020409,0.8260130048909727,0.02146222797297285
8.368979591836734,linear,3.7147142857142854,0.8265076186100877,0.019142079381211378
5.718571428571428,sigmoid,5.041040816326531,0.6120645129429214,0.12218555421152656
7.961224489795918,linear,3.1841836734693874,0.8266761812361698,0.019992909729873304
8.165102040816327,linear,1.1946938775510203,0.8262637283019411,0.01938621970888556
2.4565306122448978,sigmoid,2.1231224489795917,0.5830888273683108,0.06763457128624586
0.41775510204081634,linear,5.704204081632653,0.7978861484709256,0.07527905569875645
0.01,sigmoid,4.377877551020409,0.6935831565951007,0.08497238235729343
6.330204081632653,linear,2.521020408163265,0.8252420914949505,0.022367147022034746
0.6216326530612245,linear,0.6641632653061225,0.8020278541471375,0.06643296168811913
5.514693877551021,rbf,3.4494489795918364,0.8581418811074142,0.04443663188974062
6.534081632653061,rbf,1.1946938775510203,0.8559325876982296,0.04316884672509849
4.6991836734693875,linear,2.3883877551020407,0.8226804335664532,0.026664411737646367
9.184489795918367,rbf,0.6641632653061225,0.8535583515721132,0.043131224248409684
3.679795918367347,linear,3.4494489795918364,0.8208151091391832,0.030280916105077316
5.310816326530612,linear,3.7147142857142854,0.8238063766841908,0.024902664292452775
6.941836734693878,rbf,6.102102040816327,0.8579726960048966,0.04621739885827053
0.6216326530612245,linear,5.571571428571429,0.8020278541471375,0.06643296168811913
5.922448979591836,sigmoid,5.041040816326531,0.6119467823713189,0.12206156117334685
9.592244897959183,rbf,3.9799795918367344,0.8585419786110495,0.04518278462200031
8.980612244897959,linear,1.5925918367346936,0.8270911734260245,0.01855459962576576
4.0875510204081635,sigmoid,0.531530612244898,0.6893649544245213,0.04773486408376315
4.291428571428571,linear,4.245244897959184,0.8222782176524006,0.02809352704881895
7.349591836734694,linear,4.5105102040816325,0.8260811641244342,0.02075406665282118
9.592244897959183,linear,5.438938775510204,0.8272607237824308,0.01795746798368456
6.1263265306122445,linear,0.39889795918367343,0.8249967023048788,0.022735851968976765
4.6991836734693875,rbf,3.582081632653061,0.8576410649458953,0.04471496688272032
2.4565306122448978,rbf,2.521020408163265,0.8554055686176034,0.044844363942843635
4.6991836734693875,rbf,1.3273265306122448,0.855558460780173,0.043556950592402124
0.6216326530612245,rbf,3.84734693877551,0.8499331055330401,0.049972312169850146
7.961224489795918,rbf,1.7252244897959181,0.857162925712397,0.04353441711997705
