,iter,dataset,hyperparameters,roc_auc
0,0,spam,"{'model__ccp_alpha': 0.46854101127480363, 'model__max_depth': 24, 'model__min_samples_leaf': 7, 'model__min_samples_split': 6, 'model__random_state': 42}",0.5
1,1,spam,"{'model__ccp_alpha': 0.9432285529665488, 'model__max_depth': 28, 'model__min_samples_leaf': 9, 'model__min_samples_split': 18, 'model__random_state': 42}",0.5
2,2,spam,"{'model__ccp_alpha': 0.6322596806301894, 'model__max_depth': 26, 'model__min_samples_leaf': 48, 'model__min_samples_split': 19, 'model__random_state': 42}",0.5
3,3,spam,"{'model__ccp_alpha': 0.5559221181853791, 'model__max_depth': 7, 'model__min_samples_leaf': 40, 'model__min_samples_split': 48, 'model__random_state': 42}",0.5
4,4,spam,"{'model__ccp_alpha': 0.5148839408871806, 'model__max_depth': 9, 'model__min_samples_leaf': 20, 'model__min_samples_split': 24, 'model__random_state': 42}",0.5
5,5,spam,"{'model__ccp_alpha': 0.9680269132537433, 'model__max_depth': 9, 'model__min_samples_leaf': 6, 'model__min_samples_split': 6, 'model__random_state': 42}",0.5
6,6,spam,"{'model__ccp_alpha': 0.3828881580024156, 'model__max_depth': 16, 'model__min_samples_leaf': 20, 'model__min_samples_split': 44, 'model__random_state': 42}",0.5
7,7,spam,"{'model__ccp_alpha': 0.2862143388128718, 'model__max_depth': 2, 'model__min_samples_leaf': 41, 'model__min_samples_split': 45, 'model__random_state': 42}",0.5
8,8,spam,"{'model__ccp_alpha': 0.4613718612558083, 'model__max_depth': 14, 'model__min_samples_leaf': 44, 'model__min_samples_split': 9, 'model__random_state': 42}",0.5
9,9,spam,"{'model__ccp_alpha': 0.21664435195089232, 'model__max_depth': 14, 'model__min_samples_leaf': 49, 'model__min_samples_split': 10, 'model__random_state': 42}",0.5
10,10,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 30, 'model__min_samples_leaf': 60, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9316310063082487
11,11,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__random_state': 42}",0.7546392940704314
12,12,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 1, 'model__min_samples_leaf': 1, 'model__min_samples_split': 60, 'model__random_state': 42}",0.7546392940704314
13,13,spam,"{'model__ccp_alpha': 0.026310258338385618, 'model__max_depth': 13, 'model__min_samples_leaf': 60, 'model__min_samples_split': 58, 'model__random_state': 42}",0.8556673496078574
14,14,spam,"{'model__ccp_alpha': 0.9950639644130063, 'model__max_depth': 8, 'model__min_samples_leaf': 59, 'model__min_samples_split': 14, 'model__random_state': 42}",0.5
15,15,spam,"{'model__ccp_alpha': 0.03248711330060432, 'model__max_depth': 30, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__random_state': 42}",0.8475507891653893
16,16,spam,"{'model__ccp_alpha': 0.011320713194718762, 'model__max_depth': 30, 'model__min_samples_leaf': 60, 'model__min_samples_split': 2, 'model__random_state': 42}",0.8787356250272822
17,17,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 23, 'model__min_samples_leaf': 1, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9275519714901813
18,18,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 27, 'model__min_samples_leaf': 60, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9316310063082487
19,19,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 29, 'model__min_samples_leaf': 1, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9275519714901813
20,20,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 26, 'model__min_samples_leaf': 60, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9316310063082487
21,21,spam,"{'model__ccp_alpha': 0.00020277754485187321, 'model__max_depth': 18, 'model__min_samples_leaf': 43, 'model__min_samples_split': 5, 'model__random_state': 42}",0.9337749075671361
22,22,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 20, 'model__min_samples_leaf': 60, 'model__min_samples_split': 26, 'model__random_state': 42}",0.9316310063082487
23,23,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 17, 'model__min_samples_leaf': 60, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9316310063082487
24,24,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 16, 'model__min_samples_leaf': 60, 'model__min_samples_split': 2, 'model__random_state': 42}",0.9316310063082487
25,25,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 60, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9316310063082487
26,26,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 17, 'model__min_samples_leaf': 60, 'model__min_samples_split': 26, 'model__random_state': 42}",0.9316310063082487
27,27,spam,"{'model__ccp_alpha': 0.8020817718301291, 'model__max_depth': 1, 'model__min_samples_leaf': 18, 'model__min_samples_split': 44, 'model__random_state': 42}",0.5
28,28,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 19, 'model__min_samples_leaf': 60, 'model__min_samples_split': 2, 'model__random_state': 42}",0.9316310063082487
29,29,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 18, 'model__min_samples_leaf': 60, 'model__min_samples_split': 2, 'model__random_state': 42}",0.9316310063082487
30,30,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 18, 'model__min_samples_leaf': 60, 'model__min_samples_split': 27, 'model__random_state': 42}",0.9316310063082487
31,31,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 20, 'model__min_samples_leaf': 60, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9316310063082487
32,32,spam,"{'model__ccp_alpha': 0.0, 'model__max_depth': 28, 'model__min_samples_leaf': 30, 'model__min_samples_split': 60, 'model__random_state': 42}",0.9385959455238536
