,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_features,param_model__max_samples,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,5.4041462421417235,0.06693594348270016,0.11077146530151367,0.014043983451236553,0.7828650570203805,0.18316311533019497,398,"OrderedDict([('model__max_features', 0.7828650570203805), ('model__max_samples', 0.18316311533019497), ('model__n_estimators', 398)])",0.9195580373544475,0.7774900465618463,0.9558337269721304,0.9574307758058348,0.9549677216186427,0.9662393779797476,0.9660855240321742,0.961482101344721,0.9591531440162272,0.9513456915333183,0.936958614721909,0.054625486675824876,23
1,0.33559794425964357,0.008587253848865023,0.01840038299560547,0.001594291592543116,0.9571425765985839,0.21437600397892562,16,"OrderedDict([('model__max_features', 0.9571425765985839), ('model__max_samples', 0.21437600397892562), ('model__n_estimators', 16)])",0.8248007437898793,0.7810777830262952,0.9511156848190386,0.9396748543536451,0.9454604074348997,0.9574706411018945,0.9450075332146282,0.9509947032964147,0.9394420028547817,0.9356547216587785,0.9170699075550255,0.058217783792028716,44
2,0.8938116312026978,0.022198803792863816,0.022801971435546874,0.0020015260368095684,0.5747863168557645,0.4950801198224225,40,"OrderedDict([('model__max_features', 0.5747863168557645), ('model__max_samples', 0.4950801198224225), ('model__n_estimators', 40)])",0.9212235043600183,0.779487294839208,0.9526049516011726,0.9512975084538617,0.9528908083466421,0.960477360016361,0.9607634908334943,0.9536665084347613,0.9469649162346931,0.9537187288708588,0.9333095071991071,0.052341075329941915,28
3,2.5902185916900633,0.04680059798994093,0.04795074462890625,0.0057721332299978095,0.3133857443892988,0.7533188311066746,131,"OrderedDict([('model__max_features', 0.3133857443892988), ('model__max_samples', 0.7533188311066746), ('model__n_estimators', 131)])",0.927150579961161,0.7755377855755748,0.9400366271528293,0.9404921234751182,0.9437059030823792,0.9605092565664677,0.9590983032911612,0.9587605751135612,0.9285299752084742,0.9560551423634587,0.9289876271790186,0.052479371470214246,38
4,4.805521774291992,0.06717830070125923,0.05014944076538086,0.007210499311734,0.5567559319532926,0.9624855386532413,144,"OrderedDict([('model__max_features', 0.5567559319532926), ('model__max_samples', 0.9624855386532413), ('model__n_estimators', 144)])",0.9210735467230508,0.7653687833187125,0.9518101761252445,0.9480199968508897,0.9552179634253324,0.9600242413780811,0.9656399104645076,0.9580832424907079,0.9434847118924198,0.9549310720456765,0.9323653644714623,0.056857050518723945,29
5,1.3736258745193481,0.023590205364988574,0.029999661445617675,0.0033248103134233807,0.38614017832679337,0.984260004065546,59,"OrderedDict([('model__max_features', 0.38614017832679337), ('model__max_samples', 0.984260004065546), ('model__n_estimators', 59)])",0.9379981405253016,0.7608981712666173,0.9374029961535867,0.9347487459792608,0.9446018999632604,0.952181442587148,0.9527124263330412,0.9574584453621477,0.9336206896551724,0.9562091503267974,0.9267832108152334,0.055953871814670375,43
6,4.091875147819519,0.060771078096311465,0.12860097885131835,0.012202709848793628,0.5790190332594433,0.17121729079767567,419,"OrderedDict([('model__max_features', 0.5790190332594433), ('model__max_samples', 0.17121729079767567), ('model__n_estimators', 419)])",0.9239583567642141,0.8005525938922254,0.9547905841599749,0.9570446348906433,0.953168229975032,0.965098607246521,0.964175483561081,0.9613854735605744,0.9526932612125311,0.9520884982345428,0.938495572349734,0.04726726863452052,21
7,3.9106943130493166,0.04701720553305805,0.04884960651397705,0.0050545674828755185,0.92629564538671,0.30332265302633976,152,"OrderedDict([('model__max_features', 0.92629564538671), ('model__max_samples', 0.30332265302633976), ('model__n_estimators', 152)])",0.9015387528023333,0.7607575859819602,0.9547006095777942,0.9493771134654461,0.9536087305336242,0.9636529430196277,0.9703014974492141,0.9599885922926679,0.9489388475696793,0.9472485162647434,0.931011318895709,0.05941213060614694,32
8,8.78994722366333,0.11929611815158055,0.1234894037246704,0.014815100073000742,0.1923523249811593,0.9037854831847124,403,"OrderedDict([('model__max_features', 0.1923523249811593), ('model__max_samples', 0.9037854831847124), ('model__n_estimators', 403)])",0.9290494185392627,0.7647427101843729,0.941559634403281,0.9409944815589596,0.9416008727534472,0.9594538560114677,0.9622973396400943,0.9592258894915877,0.9261400345578845,0.9582826233941852,0.9283346860534542,0.055903339144868246,40
9,16.16672215461731,0.19153789759754958,0.09654903411865234,0.01367407293668752,0.9703013484960445,0.6012059610259172,368,"OrderedDict([('model__max_features', 0.9703013484960445), ('model__max_samples', 0.6012059610259172), ('model__n_estimators', 368)])",0.8992481498976539,0.7543028469457378,0.9546359403468521,0.9444903689707658,0.9519488869394395,0.9659767005082809,0.9656689926131342,0.9594013205171744,0.9481866501389828,0.9467761625723087,0.929063601945033,0.06094939128987402,36
10,4.136490893363953,0.06870702706268318,0.14380013942718506,0.015342389023824008,0.13856281877698617,0.21441928282076667,490,"OrderedDict([('model__max_features', 0.13856281877698617), ('model__max_samples', 0.21441928282076667), ('model__n_estimators', 490)])",0.9294852329216997,0.7980904769402644,0.9425390452197254,0.9537193242908877,0.9477116464598752,0.9608892007662677,0.9557125783107212,0.9598225426053478,0.9375638569604087,0.9584356922845767,0.9343969596759774,0.046487692046240085,24
