Iteracja;estimator__loss;estimator__max_depth;estimator__subsample;estimator__learning_rate;estimator__max_features;estimator__n_estimators;estimator__min_samples_split;Srednia dokladnosc;Czas
1;log_loss;9;0.2;0.045929202883612456;0.6500000000000001;4851;64;0.875314440162706;26.370603847503663
2;log_loss;13;0.8;0.004556754060844206;0.6000000000000001;801;8;0.9000695782487689;27.512013101577757
3;exponential;5;0.7000000000000001;0.045929202883612456;0.25;1701;4;0.8882709805180904;8.29542579650879
4;log_loss;7;0.9;0.002109491677524035;0.5;3351;64;0.8780943588096767;44.73833284378052
5;exponential;11;0.1;0.004556754060844206;0.3;1251;4;0.8593566688075359;5.032149076461792
6;log_loss;11;0.9;0.46293735614364534;0.5;1401;8;0.8977561014771996;4.051627254486084
7;log_loss;7;0.5;1.0;0.25;4251;4;0.6419219653179191;24.650056982040404
8;log_loss;11;0.2;0.045929202883612456;0.1;1201;2;0.8938217191179618;8.337953901290893
9;log_loss;13;0.4;0.002109491677524035;0.9500000000000001;2701;16;0.8891963712267181;54.75208578109741
10;exponential;5;0.8;0.0098431332023037;0.8;3701;2;0.8797117854849068;62.675374031066895
11;exponential;3;0.8;0.004556754060844206;0.6000000000000001;1401;8;0.8473300685078142;11.344813203811645
12;exponential;11;0.9;0.46293735614364534;0.5;4001;8;0.9005306679511882;5.983207035064697
13;log_loss;13;0.6;0.09921256574801249;0.8500000000000001;3051;32;0.8912791693427533;33.371921634674074
14;exponential;11;0.30000000000000004;0.46293735614364534;0.8500000000000001;2901;4;0.8894294583600942;7.98389458656311
15;exponential;11;0.30000000000000004;0.46293735614364534;0.8500000000000001;3951;16;0.8801744808392208;10.569096326828003
16;log_loss;13;0.8;0.004556754060844206;0.35000000000000003;351;8;0.8931304859773068;6.159988594055176
17;exponential;1;0.4;0.21431099571326834;0.6500000000000001;2101;2;0.8174860843502462;4.108996486663818
18;log_loss;1;0.5;0.002109491677524035;0.35000000000000003;3451;64;0.790887657889103;4.523714256286621
19;log_loss;9;0.5;0.045929202883612456;0.8;2251;64;0.8836453650181972;39.23342113494873
20;log_loss;5;0.2;0.21431099571326834;0.5;3851;64;0.647656015842432;11.233200931549073
21;exponential;3;0.9;0.46293735614364534;0.7000000000000001;4001;32;0.8695322200813529;35.48048701286316
22;log_loss;7;0.30000000000000004;0.21431099571326834;0.15000000000000002;3351;64;0.7268004709912225;10.59647331237793
23;exponential;5;0.9;0.09921256574801249;0.3;4001;2;0.8889651573538856;23.534425497055054
24;log_loss;3;0.5;0.045929202883612456;0.8;4101;2;0.8727713551701992;28.283695030212403
25;log_loss;7;0.2;0.09921256574801249;0.7000000000000001;4951;8;0.888965692571184;22.766070127487183
26;exponential;11;0.5;0.021262343752724643;0.6500000000000001;4051;64;0.8824884928280881;63.47475323677063
