Iteracja;estimator__loss;estimator__n_estimators;estimator__max_depth;estimator__subsample;estimator__max_features;estimator__learning_rate;estimator__min_samples_split;Srednia dokladnosc;Czas
1;exponential;4001;7;0.5;0.5;0.0098431332023037;8;0.8989159173624491;99.58303151130676
2;log_loss;3101;5;0.2;0.45;0.46293735614364534;64;0.5616829907942625;31.427704668045045
3;exponential;501;15;0.5;0.8500000000000001;0.0009765625;16;0.730511132519803;41.28205976486206
4;log_loss;3451;9;1.0;0.8500000000000001;0.004556754060844206;64;0.888275262256476;319.43823704719546
5;exponential;4201;7;0.8;0.45;0.09921256574801249;16;0.899375936630272;78.05300898551941
6;log_loss;801;13;1.0;0.6500000000000001;0.0098431332023037;2;0.9012299293513166;129.51577892303467
7;log_loss;3451;1;0.9;0.15000000000000002;0.0098431332023037;64;0.8133306572468422;16.550597620010375
8;log_loss;2801;5;0.5;0.7000000000000001;0.0009765625;16;0.8697719974309569;64.24591493606567
9;log_loss;4901;9;0.4;0.25;0.002109491677524035;32;0.8917464140441019;76.12103943824768
10;log_loss;3151;7;0.1;0.25;0.004556754060844206;8;0.8822626311282381;21.923658990859984
11;exponential;1751;13;0.30000000000000004;0.15000000000000002;0.0098431332023037;64;0.8859625883108542;27.54717559814453
12;log_loss;4601;7;0.1;0.6500000000000001;0.045929202883612456;2;0.8905882038107471;50.79601674079895
13;log_loss;3101;7;0.7000000000000001;0.3;0.002109491677524035;128;0.875091254549347;49.931154584884645
14;log_loss;3401;3;0.2;0.8500000000000001;0.004556754060844206;16;0.8651455791051166;29.104449462890624
15;log_loss;2451;3;0.5;0.7000000000000001;0.045929202883612456;32;0.8750909869406979;34.93613467216492
16;exponential;4501;1;0.30000000000000004;0.8;0.09921256574801249;2;0.8181882894455148;24.611094617843627
17;log_loss;1201;5;0.2;0.3;0.021262343752724643;4;0.88041265253693;8.077760457992554
18;log_loss;1451;5;0.4;0.2;0.21431099571326834;16;0.8419754870477414;13.907985305786132
19;log_loss;3701;9;0.6;0.35000000000000003;0.0009765625;32;0.8861948726182829;81.6349838733673
20;log_loss;3301;13;0.2;0.2;0.002109491677524035;128;0.8660698993791479;24.535621929168702
21;exponential;4501;9;0.5;0.7500000000000001;0.004556754060844206;128;0.8831869514022694;155.37524371147157
22;log_loss;3601;9;1.0;0.6000000000000001;0.004556754060844206;4;0.9000719867266109;297.2205738544464
23;exponential;2451;9;1.0;0.9500000000000001;0.46293735614364534;8;0.8947521943909227;31.726393938064575
24;log_loss;251;1;0.7000000000000001;0.35000000000000003;0.004556754060844206;64;0.708073217726397;1.25084490776062
25;exponential;1001;3;0.4;0.9000000000000001;0.46293735614364534;128;0.8649100834938984;15.075147914886475
26;exponential;1901;7;0.2;0.6500000000000001;0.21431099571326834;64;0.878327713551702;23.021121883392333
27;log_loss;251;1;0.5;0.8;1.0;32;0.8207308392207237;1.848081684112549
28;log_loss;3751;13;1.0;0.7000000000000001;0.045929202883612456;2;0.9046984050524512;107.66298923492431
29;exponential;1651;1;0.7000000000000001;1.0;0.045929202883612456;4;0.824203596660244;18.82482256889343
30;exponential;3851;15;0.9;0.1;0.0098431332023037;8;0.905162973667309;243.4478904724121
31;log_loss;601;11;0.4;0.05;1.0;64;0.6574033932776707;8.786390447616578
32;log_loss;4151;13;0.30000000000000004;0.1;0.021262343752724643;2;0.9000717191179618;145.25261154174805
33;exponential;2101;7;0.6;0.8500000000000001;0.21431099571326834;4;0.89775904517234;56.01036124229431
34;log_loss;1401;1;0.4;0.6500000000000001;0.002109491677524035;16;0.7788607899807322;7.983762121200561
35;log_loss;1201;9;0.6;0.9000000000000001;1.0;8;0.621616891457932;73.49733595848083
36;log_loss;1501;3;0.30000000000000004;0.35000000000000003;0.004556754060844206;128;0.8355354849068721;7.921751070022583
37;exponential;4601;3;0.8;0.8;0.0098431332023037;2;0.8753211303789339;132.2403238296509
38;log_loss;1;15;0.2;0.5;0.21431099571326834;64;0.708073217726397;0.055517148971557614
39;log_loss;4451;7;0.8;0.7000000000000001;0.045929202883612456;128;0.8836477734960393;203.33663334846497
40;exponential;1851;1;0.7000000000000001;0.6500000000000001;0.002109491677524035;64;0.7827943695140227;14.698394346237183
41;log_loss;451;11;0.1;0.35000000000000003;0.46293735614364534;2;0.6254795546992079;5.429542016983032
42;log_loss;2901;5;0.1;0.4;0.002109491677524035;64;0.8538115499892956;14.97338056564331
43;log_loss;2001;9;0.8;0.8500000000000001;1.0;2;0.888047259687433;52.95931730270386
44;exponential;2951;1;0.6;0.45;0.002109491677524035;16;0.7897350674373795;18.856356287002562
45;exponential;4301;13;0.7000000000000001;0.05;0.021262343752724643;8;0.9030793727253265;112.61303553581237
46;exponential;3551;9;1.0;0.8500000000000001;0.045929202883612456;4;0.8966005673303361;250.0321322441101
47;exponential;1401;3;0.9;0.8500000000000001;0.021262343752724643;2;0.8720868122457718;42.9836127281189
48;log_loss;3501;3;0.5;0.1;0.09921256574801249;64;0.876939092271462;25.150284910202025
49;log_loss;1501;11;0.1;0.5;0.21431099571326834;2;0.5517252729608221;19.728460359573365
50;exponential;701;11;1.0;0.7500000000000001;0.0009765625;128;0.7795533611646329;45.97613320350647
51;log_loss;2151;11;0.8;1.0;0.004556754060844206;4;0.9000727895525584;284.87018713951113
52;log_loss;2051;7;0.5;0.5;0.045929202883612456;8;0.8977574395204453;52.356076335906984
53;exponential;4901;11;0.5;0.6000000000000001;0.09921256574801249;4;0.9044669235709698;55.46210074424744
54;log_loss;1751;1;0.4;0.8;0.21431099571326834;64;0.8281342324983945;11.16263427734375
55;exponential;1151;15;0.7000000000000001;0.7000000000000001;0.21431099571326834;2;0.9035407300363948;22.706591749191283
56;log_loss;1451;3;0.8;0.45;0.021262343752724643;32;0.873241543566688;22.549232292175294
57;exponential;4301;13;0.7000000000000001;0.3;0.46293735614364534;8;0.9042362449154357;15.514174270629884
58;log_loss;4051;9;0.1;0.1;0.0009765625;16;0.8697722650396061;28.77657880783081
59;log_loss;4101;3;0.4;0.2;0.21431099571326834;2;0.8117065403553843;27.429513597488402
60;log_loss;4751;15;0.4;1.0;0.21431099571326834;32;0.8961376043673732;66.75213713645935
61;log_loss;3601;15;0.2;0.15000000000000002;0.021262343752724643;32;0.8924368443588098;43.092469215393066
62;log_loss;3301;1;0.6;0.5;0.004556754060844206;64;0.8052322843074288;19.383987617492675
63;log_loss;2451;5;1.0;1.0;0.045929202883612456;4;0.8848033076429029;168.44148421287537
64;log_loss;1101;1;0.30000000000000004;0.3;1.0;8;0.7591950331834724;3.729570436477661
65;exponential;1601;1;0.4;0.5;0.21431099571326834;2;0.8207329800899164;8.234876585006713
66;log_loss;4701;11;0.5;0.05;0.002109491677524035;128;0.8820303468208092;80.32595143318176
67;exponential;801;3;0.7000000000000001;0.8500000000000001;0.045929202883612456;64;0.869076214943267;21.66792221069336
68;log_loss;1;11;0.6;0.05;0.46293735614364534;8;0.8170279383429673;0.0911020278930664
69;log_loss;2501;3;0.1;0.3;1.0;2;0.6844872618283023;9.927366876602173
70;log_loss;4801;3;0.5;0.8;0.004556754060844206;64;0.8713907621494326;83.6741268157959
71;exponential;1601;9;0.4;0.8500000000000001;0.004556754060844206;64;0.8799483515307214;55.965280055999756
72;exponential;4251;5;0.30000000000000004;0.7000000000000001;0.21431099571326834;16;0.885959644615714;58.910534954071046
73;exponential;2451;13;0.30000000000000004;0.8;0.0009765625;128;0.8540438342967246;68.25943760871887
74;log_loss;1051;11;0.6;0.55;0.46293735614364534;64;0.7559738278741168;28.485299158096314
75;log_loss;551;9;0.7000000000000001;0.9500000000000001;0.021262343752724643;8;0.9007675016056519;44.55094361305237
76;exponential;2151;7;0.6;0.25;1.0;8;0.8933630378933847;10.51122817993164
77;exponential;1101;15;0.1;0.5;0.045929202883612456;16;0.8748624491543566;14.771990013122558
78;exponential;101;15;0.9;0.3;0.46293735614364534;128;0.8859607150503104;4.281343841552735
79;log_loss;901;5;0.1;0.3;0.21431099571326834;64;0.5652817919075144;5.181190919876099
80;log_loss;1601;9;0.1;1.0;0.09921256574801249;32;0.5826881288803254;21.349661779403686
81;exponential;3151;3;0.9;0.4;0.0009765625;64;0.8276712695354315;53.90379595756531
82;log_loss;2551;9;0.6;0.7000000000000001;0.021262343752724643;4;0.9026169449796617;128.32158288955688
83;log_loss;2651;7;0.6;0.45;0.045929202883612456;32;0.8961381395846715;66.47979068756104
84;exponential;401;15;0.8;0.55;0.0098431332023037;4;0.9040061014771996;42.19500598907471
85;exponential;2801;13;0.6;0.7000000000000001;0.002109491677524035;32;0.8945212481267394;172.44021377563476
86;exponential;1;1;0.6;0.3;0.045929202883612456;16;0.708073217726397;0.04813804626464844
87;log_loss;4201;5;0.6;0.45;0.0009765625;64;0.8674585206593877;81.47205090522766
88;log_loss;4201;1;0.1;0.25;1.0;64;0.6160273496039392;11.83471393585205
89;log_loss;3101;13;0.2;0.6000000000000001;1.0;8;0.5850064226075787;80.69110465049744
90;log_loss;4951;13;0.4;1.0;0.004556754060844206;2;0.9028470884178976;435.7529351234436
91;log_loss;1651;5;1.0;0.6500000000000001;0.46293735614364534;128;0.8762467886962106;65.65277910232544
92;exponential;1101;15;0.5;0.2;0.004556754060844206;16;0.8935953222008136;33.49882907867432
93;log_loss;3551;9;0.8;0.9000000000000001;0.002109491677524035;32;0.8940585527724256;267.24704613685606
94;log_loss;3001;13;0.1;0.8500000000000001;0.09921256574801249;4;0.693963284093342;50.39364347457886
95;exponential;3701;11;0.7000000000000001;0.6000000000000001;0.0098431332023037;32;0.897989456219225;225.99212856292723
96;log_loss;4651;13;0.30000000000000004;0.7500000000000001;0.0098431332023037;128;0.8813350995504174;118.21395525932311
97;exponential;1501;1;0.7000000000000001;0.05;0.021262343752724643;128;0.8142557803468208;6.375141143798828
98;log_loss;2051;5;0.7000000000000001;0.05;0.09921256574801249;8;0.8947511239563262;27.227409887313843
99;log_loss;4201;3;0.4;1.0;0.09921256574801249;8;0.8753219332048812;78.16768980026245
100;log_loss;4651;15;0.1;0.6000000000000001;0.0098431332023037;32;0.878327713551702;56.94000434875488
101;log_loss;4701;13;0.2;0.1;0.0009765625;64;0.8713910297580819;48.621680116653444
102;exponential;3801;15;0.1;0.55;0.002109491677524035;4;0.8669947548704775;80.76735186576843
103;log_loss;2251;9;0.6;0.7500000000000001;0.09921256574801249;8;0.8993772746735175;66.49456248283386
104;log_loss;1451;11;0.8;1.0;1.0;16;0.8044829800899164;59.94596982002258
105;log_loss;2651;11;0.6;0.8500000000000001;0.46293735614364534;64;0.8228414686362664;59.45068850517273
106;log_loss;551;7;0.30000000000000004;0.8500000000000001;0.0009765625;128;0.7409221794048383;10.459459924697876
107;log_loss;3851;3;0.1;0.2;0.46293735614364534;32;0.5369043031470777;15.20180401802063
108;exponential;451;15;0.1;0.8;0.004556754060844206;8;0.8528853564547207;8.298050022125244
109;exponential;4851;9;0.2;0.8;0.045929202883612456;16;0.8935934489402697;112.76067590713501
110;exponential;4151;9;0.5;0.35000000000000003;0.045929202883612456;4;0.9042351744808392;65.36753063201904
111;log_loss;1801;5;0.8;0.15000000000000002;0.0009765625;32;0.8417782594733462;26.73327965736389
112;log_loss;3251;9;1.0;0.9000000000000001;0.46293735614364534;8;0.8998397024191822;30.79765396118164
