Iteracja;estimator__learning_rate_init;estimator__hidden_layer_sizes;estimator__alpha;estimator__activation;Srednia dokladnosc;Czas
1;0.36011423307508017;315;0.41458209903372667;relu;0.7785786496796138;0.2657323837280273
2;0.2866172205114073;454;1.8060688015896602;logistic;0.7517127985418193;0.4653160095214844
3;0.03950936140715117;177;0.02070906755276706;relu;0.8089922393220211;0.17473921775817872
4;0.14241649804999582;240;0.6971202686635547;identity;0.7961102655166583;0.13041605949401855
5;0.06237004011262851;366;0.050860967027597875;logistic;0.8004972095383055;0.46887917518615724
6;0.16555762988687348;369;1.914459229749646;tanh;0.7785700058252063;0.48633971214294436
7;0.03818869125807768;219;0.6144200912075327;tanh;0.788714508521713;0.3004471778869629
8;0.01781441834339598;363;0.20105828418307076;relu;0.8054290922073774;0.3386023998260498
9;1.4514929226581763;398;1.2068708274154596;identity;0.7796673995151925;0.2657810688018799
10;0.7498035621013104;138;0.13240991694478133;logistic;0.7643155382678467;0.20502748489379882
11;1.7121104515412966;285;0.02070906755276706;relu;0.7851532405058533;0.5594555377960205
12;0.16158558094611752;37;1.472796964718092;logistic;0.7517127985418193;0.1016458511352539
13;0.03950936140715117;452;0.2563232119043185;relu;0.8040584775541649;0.38847990036010743
14;0.02040951041302903;177;0.04637752270790938;relu;0.8163902512355075;0.31008234024047854
15;1.7886099896368013;388;0.04637752270790938;relu;0.7602059492267508;0.7178713798522949
16;0.03533341924850067;260;0.07392684949553276;tanh;0.8081695698742883;0.3291609764099121
17;0.7833058551989767;50;0.22482071032589723;tanh;0.7492470451171618;0.11471309661865234
18;0.35490517238878616;408;1.7541970440805748;logistic;0.7517127985418193;0.3344257354736328
19;0.02040951041302903;498;0.48194718062407;relu;0.8002213578367815;0.3638463973999023
20;0.0880516893841342;177;0.04615281843713246;relu;0.8109100475411994;0.24186282157897948
21;0.02040951041302903;369;0.20105828418307076;relu;0.8081661874964767;0.5471262454986572
22;0.01781441834339598;130;0.8222891612687708;relu;0.7920003006558056;0.1738370418548584
23;0.03159885331794677;177;0.040089253381847774;relu;0.8087190183587951;0.272995138168335
24;0.02040951041302903;271;0.5158576959446195;relu;0.8040584775541649;0.29932079315185545
25;0.02040951041302903;491;0.8590302143716079;relu;0.793643760452487;0.4342836856842041
26;0.02040951041302903;21;0.3283698088716753;relu;0.8029607080444219;0.16518378257751465
27;0.030691308679873748;177;0.12073785239920592;relu;0.8048807711821411;0.24642539024353027
28;0.02040951041302903;392;0.1403564401213296;relu;0.8100873780934664;0.6124067783355713
