Iteracja;estimator__learning_rate_init;estimator__hidden_layer_sizes;estimator__alpha;estimator__activation;Srednia dokladnosc;Czas
1;0.36011423307508017;315;0.41458209903372667;relu;0.7036577070075096;0.29734125137329104
2;0.2866172205114073;454;1.8060688015896602;logistic;0.592064749424917;0.5414691925048828
3;0.03950936140715117;177;0.02070906755276706;relu;0.7859930363488269;0.23601818084716797
4;0.14241649804999582;240;0.6971202686635547;identity;0.7521602534840632;0.12110919952392578
5;0.06237004011262851;366;0.050860967027597875;logistic;0.7569533578582746;0.5218544960021972
6;0.16555762988687348;369;1.914459229749646;tanh;0.727326960428918;0.4032024383544922
7;0.03818869125807768;219;0.6144200912075327;tanh;0.7641443570258586;0.2639777183532715
8;0.01781441834339598;363;0.20105828418307076;relu;0.7611378140579828;0.32501516342163084
9;1.4514929226581763;398;1.2068708274154596;identity;0.6962098225074513;0.2020164966583252
10;0.7498035621013104;138;0.13240991694478133;logistic;0.7497789175013203;0.21065645217895507
11;1.7121104515412966;285;0.02070906755276706;relu;0.5022443901434798;0.8505188941955566
12;0.16158558094611752;37;1.472796964718092;logistic;0.7333051386017202;0.12272624969482422
13;0.40267496565666105;264;0.066758488236848;relu;0.7076336117003661;0.36437382698059084
14;0.11280100697508903;292;0.21004185522338148;logistic;0.7437850755887329;0.33602471351623536
15;0.026146157360077527;173;0.36362934632684174;relu;0.7653477797767694;0.18633790016174318
16;0.03533341924850067;260;0.07392684949553276;tanh;0.7776106978867376;0.2720495223999023
17;0.7833058551989767;50;0.22482071032589723;tanh;0.7174391128057785;0.12552661895751954
18;0.35490517238878616;408;1.7541970440805748;logistic;0.5010467853530607;0.3487658977508545
19;0.037091881141660864;174;0.19059849182700508;relu;0.7770110004206833;0.19149317741394042
20;0.8343581714607057;253;0.06297884069415703;logistic;0.7683328410443686;0.46192612648010256
21;0.29797294575360506;434;0.5852914980080108;logistic;0.7264193585922325;0.5486197471618652
22;0.05313350761117954;245;0.10487529302690698;logistic;0.758744394618834;0.5110736846923828
