Iteracja;estimator__loss;estimator__n_estimators;estimator__min_samples_split;estimator__subsample;estimator__max_depth;estimator__learning_rate;estimator__max_features;Srednia dokladnosc;Czas
1;log_loss;4851;64;0.2;9;0.045929202883612456;0.6500000000000001;0.7626486936441019;21.97294502258301
2;log_loss;801;8;0.8;13;0.004556754060844206;0.6000000000000001;0.7812057499351074;25.221005821228026
3;exponential;1701;4;0.7000000000000001;5;0.045929202883612456;0.25;0.7797087439470834;6.852197217941284
4;log_loss;3351;64;0.9;7;0.002109491677524035;0.5;0.7958728283343627;32.926415824890135
5;exponential;1251;4;0.1;11;0.004556754060844206;0.3;0.7952758160808429;8.88202657699585
6;log_loss;1401;8;0.9;11;0.46293735614364534;0.5;0.7821035059924992;5.338367891311646
7;log_loss;4251;4;0.5;7;1.0;0.25;0.5998115875871576;27.48281569480896
8;log_loss;1201;2;0.2;11;0.045929202883612456;0.1;0.7895867457909294;14.550086832046508
9;log_loss;2701;16;0.4;13;0.002109491677524035;0.9500000000000001;0.7865963140982609;51.88613147735596
10;exponential;3701;2;0.8;5;0.0098431332023037;0.8;0.7850943852205903;41.06031355857849
11;exponential;2301;8;0.6;3;1.0;0.55;0.7602548266695308;9.781766319274903
12;exponential;301;2;1.0;7;0.09921256574801249;0.1;0.7827032034585537;2.569037342071533
13;exponential;1251;2;0.1;11;0.21431099571326834;0.6500000000000001;0.7701270105528853;5.412159395217896
14;exponential;2901;4;0.30000000000000004;11;0.46293735614364534;0.8500000000000001;0.7677407516804955;13.073712682723999
15;exponential;1101;64;0.9;7;0.004556754060844206;0.2;0.7976674453783017;6.166979074478149
16;log_loss;2951;16;0.9;9;0.09921256574801249;0.4;0.78120440732884;21.65942177772522
17;exponential;801;64;0.9;13;0.004556754060844206;0.2;0.7964711831941498;7.186080503463745
18;log_loss;1601;16;0.9;3;0.004556754060844206;0.2;0.7934807515014813;4.422089862823486
19;log_loss;2251;64;0.5;9;0.045929202883612456;0.8;0.7722263992194982;27.43663086891174
20;exponential;3351;64;0.9;7;0.004556754060844206;0.7500000000000001;0.791082409172686;50.08498840332031
21;exponential;2851;32;0.9;7;0.004556754060844206;0.2;0.7928752360749354;17.15787892341614
22;log_loss;2501;64;0.9;3;0.045929202883612456;0.2;0.7847967741646751;6.9865799903869625
23;exponential;4101;16;0.5;5;0.021262343752724643;0.2;0.7874913849431182;15.137688064575196
24;exponential;4051;16;0.9;9;0.002109491677524035;0.6500000000000001;0.789586298255507;76.57304029464721
25;log_loss;2401;128;0.4;9;0.21431099571326834;0.6000000000000001;0.7683355262569033;17.968113660812378
26;log_loss;1501;2;0.7000000000000001;7;0.021262343752724643;0.1;0.7874918324785407;11.497806072235107
27;log_loss;4701;8;0.30000000000000004;13;0.09921256574801249;0.8;0.7701346186550666;32.758333349227904
28;log_loss;1751;128;1.0;13;0.0098431332023037;0.6000000000000001;0.788688542198115;34.73063621520996
29;log_loss;551;64;0.8;5;0.021262343752724643;0.8500000000000001;0.7967683467146424;5.6437829494476315
30;log_loss;1101;32;0.9;1;0.021262343752724643;0.45;0.7877903386053007;2.5803258419036865
31;exponential;401;64;0.9;13;0.21431099571326834;0.2;0.7755175747160388;3.4450443744659425
32;exponential;2701;2;0.8;3;0.021262343752724643;0.5;0.7910828567081085;13.0990704536438
33;log_loss;2201;8;0.30000000000000004;15;0.0098431332023037;0.6500000000000001;0.779711429159618;40.173708152771
34;exponential;451;4;0.4;9;0.0009765625;0.8;0.7958728283343627;9.208013868331909
35;exponential;4901;4;0.8;5;0.002109491677524035;0.1;0.7937779150219739;21.977595376968384
36;log_loss;3751;128;0.4;7;0.004556754060844206;0.1;0.7964693930524601;12.233215284347533
37;exponential;601;2;0.5;9;0.09921256574801249;0.9000000000000001;0.7806056049336305;13.286848020553588
38;log_loss;4051;32;0.2;13;0.0098431332023037;1.0;0.7752204111955462;42.13695921897888
39;log_loss;1;32;0.5;5;0.002109491677524035;0.8500000000000001;0.5013470816215103;0.03726110458374023
40;exponential;4701;2;0.9;13;0.004556754060844206;0.2;0.791380915299446;212.83796939849853
41;exponential;2451;4;0.7000000000000001;1;0.004556754060844206;0.6000000000000001;0.7800076976092657;6.177980995178222
42;log_loss;3301;64;0.2;3;0.09921256574801249;0.1;0.7722299795028778;6.491066884994507
43;log_loss;4901;8;0.2;7;0.21431099571326834;0.6000000000000001;0.551320677031587;33.80232644081116
44;log_loss;751;64;0.7000000000000001;11;0.09921256574801249;0.5;0.7728207262604835;9.169062948226928
45;log_loss;2001;64;0.9;7;1.0;0.5;0.680071695174673;10.875898408889771
46;exponential;1851;128;0.6;5;0.0009765625;0.7000000000000001;0.7931777700204972;13.946612358093262
47;exponential;951;64;0.4;5;0.021262343752724643;0.8500000000000001;0.7877894435344558;6.480925226211548
48;log_loss;3051;64;0.30000000000000004;7;0.004556754060844206;0.2;0.7961731246028123;10.227059602737427
49;exponential;2351;16;0.4;3;0.045929202883612456;0.1;0.7871910886746686;5.5362495422363285
50;exponential;3501;64;1.0;7;0.004556754060844206;0.2;0.7910810665664186;19.381983757019043
51;log_loss;3101;4;0.8;11;0.045929202883612456;0.1;0.7871928788163582;31.064427423477174
52;log_loss;2201;64;0.4;7;0.09921256574801249;0.1;0.7683346311860584;8.512664842605592
53;log_loss;3701;64;0.1;7;0.021262343752724643;0.1;0.7809076913437699;7.3529712677001955
54;log_loss;501;64;0.8;5;0.09921256574801249;0.8500000000000001;0.7782157657778612;5.090484237670898
55;log_loss;1801;64;0.6;11;0.021262343752724643;0.2;0.7833024533891858;11.142707967758179
56;log_loss;3101;2;0.6;1;0.045929202883612456;0.1;0.7910873320623327;5.235067319869995
57;exponential;501;4;0.1;7;0.045929202883612456;0.1;0.7898910698781808;1.8221235275268555
58;log_loss;451;64;0.6;9;0.004556754060844206;0.1;0.7949755198123931;2.6798054695129396
