Iteracja;estimator__learning_rate_init;estimator__hidden_layer_sizes;estimator__alpha;estimator__activation;Srednia dokladnosc;Czas
1;0.36011423307508017;315;0.41458209903372667;relu;0.7330504709912223;0.2614090919494629
2;0.2866172205114073;454;1.8060688015896602;logistic;0.7022901948190966;0.42170867919921873
3;0.03950936140715117;177;0.02070906755276706;relu;0.8107766002997217;0.4681901454925537
4;0.14241649804999582;240;0.6971202686635547;identity;0.739524994647827;0.13620972633361816
5;0.06237004011262851;366;0.050860967027597875;logistic;0.7418392742453437;0.614970350265503
6;0.16555762988687348;369;1.914459229749646;tanh;0.7187122671804753;0.6656439304351807
7;0.03818869125807768;219;0.6144200912075327;tanh;0.7386164632840934;0.2599976062774658
8;0.01781441834339598;363;0.20105828418307076;relu;0.7800093663027189;0.6332534313201904
9;1.4514929226581763;398;1.2068708274154596;identity;0.7106163027189039;0.28338031768798827
10;0.7498035621013104;138;0.13240991694478133;logistic;0.7478585955898095;0.2764861583709717
11;0.02070906755276706;177;0.029521665349299953;relu;0.8110104902590451;0.6659676551818847
12;0.03431861485477442;426;0.029521665349299953;relu;0.812857257546564;1.0025737285614014
13;0.03431861485477442;320;1.1836505724029738;relu;0.7538730999785913;0.29784622192382815
14;1.095152008111715;426;0.20203717684143693;relu;0.7154693855705416;0.4366065502166748
15;0.03431861485477442;83;0.37438189738118427;relu;0.7698367587240419;0.203674840927124
16;0.03431861485477442;402;0.027985839601986934;relu;0.8096213337615072;0.9382351875305176
17;0.03431861485477442;304;0.03763629095833169;relu;0.8022149967886962;0.6611851215362549
18;0.03431861485477442;52;0.2994236869164231;relu;0.7823231106829373;0.2590165138244629
19;0.03431861485477442;388;1.1385417433145342;relu;0.7534063904945408;0.27785396575927734
20;0.03431861485477442;164;0.7645128270881187;relu;0.7531829372725327;0.2177278518676758
21;0.019067867124605092;221;0.13240991694478133;relu;0.7874167737101263;0.5553332328796386
22;0.03431861485477442;227;1.9710699538765093;relu;0.7318914579319202;0.22025446891784667
23;0.03431861485477442;197;1.638882828152035;relu;0.7420736994219653;0.19533662796020507
