Iteracja;estimator__learning_rate_init;estimator__hidden_layer_sizes;estimator__alpha;estimator__activation;Srednia dokladnosc;Czas
1;0.36011423307508017;315;0.41458209903372667;relu;0.9029891304347826;0.5709929466247559
2;0.2866172205114073;454;1.8060688015896602;logistic;0.6081521739130435;0.7415340423583985
3;0.03950936140715117;177;0.02070906755276706;relu;0.9366847826086955;0.6798137187957763
4;0.14241649804999582;240;0.6971202686635547;identity;0.8910326086956522;0.38752236366271975
5;0.06237004011262851;366;0.050860967027597875;logistic;0.8877717391304347;1.3613341331481934
6;0.16555762988687348;369;1.914459229749646;tanh;0.861413043478261;1.0734760284423828
7;0.03818869125807768;219;0.6144200912075327;tanh;0.9002717391304348;0.5495627880096435
8;0.01781441834339598;363;0.20105828418307076;relu;0.9184782608695652;0.942010498046875
9;1.4514929226581763;398;1.2068708274154596;identity;0.8605978260869565;0.38709416389465334
10;0.7498035621013104;138;0.13240991694478133;logistic;0.7214673913043479;0.30540032386779786
11;0.02070906755276706;177;0.029521665349299953;relu;0.9350543478260869;0.7677910804748536
12;0.021739709559936135;279;0.02070906755276706;relu;0.9331521739130435;1.4268038272857666
13;0.40267496565666105;264;0.066758488236848;relu;0.9130434782608695;0.5971760749816895
14;0.0626737011859154;424;0.02070906755276706;relu;0.9342391304347826;1.767891025543213
15;0.9239494871140267;177;1.591812787092203;relu;0.7119565217391304;0.28218393325805663
16;0.03533341924850067;260;0.07392684949553276;tanh;0.9192934782608695;1.6171510696411133
17;0.7833058551989767;50;0.22482071032589723;tanh;0.8858695652173914;0.19973320960998536
18;0.35490517238878616;408;1.7541970440805748;logistic;0.6081521739130435;0.6797768592834472
19;0.03533341924850067;213;0.018520222550471255;tanh;0.9339673913043478;1.6302061557769776
20;0.03533341924850067;249;0.5712492187347165;tanh;0.895108695652174;0.6033226013183594
21;0.03533341924850067;307;0.3854524022952583;tanh;0.9029891304347826;0.9518316745758056
22;0.05313350761117954;245;0.10487529302690698;logistic;0.88125;0.8636408805847168
23;0.15392508819589254;452;0.020809893809548164;relu;0.9282608695652174;1.291424036026001
24;0.08469604651115877;422;1.1330253815676625;relu;0.8902173913043478;0.9493659973144531
25;1.3626796548388218;116;0.24896140183365684;identity;0.8809782608695652;0.21224217414855956
26;0.7247400544446932;412;1.6629372538796394;logistic;0.6081521739130435;0.629261064529419
27;0.5852914980080108;277;0.8758822322780785;tanh;0.86875;0.6515157699584961
28;0.8183050785588258;91;0.6608535050877442;tanh;0.8649456521739131;0.24620490074157714
29;0.1389996497862692;207;0.0626737011859154;relu;0.9252717391304348;0.5238219261169433
30;0.03950936140715117;414;0.6770984104159861;relu;0.9021739130434782;1.4107995510101319
31;0.040480568839202605;135;0.02070906755276706;relu;0.933695652173913;0.7784562110900879
32;0.03950936140715117;46;0.22156867356627516;relu;0.9141304347826086;0.21314854621887208
33;0.028534851571775807;469;1.9051834612300034;identity;0.8714673913043478;0.9323424816131591
34;0.08469604651115877;337;0.023610879544744945;logistic;0.8983695652173912;0.9310570240020752
35;0.654465200797476;173;0.1403564401213296;tanh;0.8991847826086957;0.6821877002716065
36;0.027314404980561178;148;0.6356684306168379;logistic;0.8391304347826087;0.5825557231903076
37;0.2866172205114073;154;0.806468276725929;tanh;0.898913043478261;0.3581663131713867
38;0.8801466409307939;273;0.7318143190404222;tanh;0.7646739130434782;0.6843860149383545
39;0.8384204118792454;134;0.02040951041302903;logistic;0.9133152173913045;0.35079255104064944
40;0.20600063943558483;393;0.9061726528231621;relu;0.8836956521739131;0.8941351413726807
41;0.06297884069415703;244;0.34471200863740104;identity;0.9089673913043479;0.4375146389007568
42;0.03084073548347175;237;1.509000823932534;relu;0.8635869565217391;0.47391090393066404
43;0.08848038672751936;302;0.1851243489034654;relu;0.9274456521739131;0.7762742042541504
44;0.1860256639960652;447;0.2908239963251597;identity;0.9144021739130436;0.8500649452209472
45;0.24181102890563175;45;0.23831322679592742;relu;0.901358695652174;0.20523524284362793
46;1.3693141345631783;416;0.02271107080486539;relu;0.9138586956521738;1.3045020580291748
