Iteracja;estimator__loss;estimator__n_estimators;estimator__max_depth;estimator__subsample;estimator__max_features;estimator__learning_rate;estimator__min_samples_split;Srednia dokladnosc;Czas
1;exponential;4001;7;0.5;0.5;0.0098431332023037;8;0.7779163645802565;62.97565612792969
2;log_loss;3101;5;0.2;0.45;0.46293735614364534;64;0.5618171728292295;17.558116579055785
3;exponential;501;15;0.5;0.8500000000000001;0.0009765625;16;0.788390036071355;18.252730512619017
4;log_loss;3451;9;1.0;0.8500000000000001;0.004556754060844206;64;0.7770181609874421;138.0789439201355
5;exponential;4201;7;0.8;0.45;0.09921256574801249;16;0.7668416530168363;64.58568291664123
6;log_loss;801;13;1.0;0.6500000000000001;0.0098431332023037;2;0.7782144231715941;110.51064596176147
7;log_loss;3451;1;0.9;0.15000000000000002;0.0098431332023037;64;0.7752136981642097;10.95608811378479
8;log_loss;2801;5;0.5;0.7000000000000001;0.0009765625;16;0.7883855607171307;45.58264331817627
9;log_loss;4901;9;0.4;0.25;0.002109491677524035;32;0.7797127717658852;57.89734153747558
10;log_loss;3151;7;0.1;0.25;0.004556754060844206;8;0.7847994593772097;23.316752862930297
11;exponential;1751;13;0.30000000000000004;0.15000000000000002;0.0098431332023037;64;0.782403802260949;16.662116718292236
12;log_loss;4601;7;0.1;0.6500000000000001;0.045929202883612456;2;0.7644473385068429;56.226742362976076
13;log_loss;3101;7;0.7000000000000001;0.3;0.002109491677524035;128;0.788089292267483;50.35468106269836
14;log_loss;3401;3;0.2;0.8500000000000001;0.004556754060844206;16;0.7836023021222129;29.077075242996216
15;log_loss;2451;3;0.5;0.7000000000000001;0.045929202883612456;32;0.770731183373164;30.91834135055542
16;exponential;4501;1;0.30000000000000004;0.8;0.09921256574801249;2;0.7722272942903431;26.12481746673584
17;log_loss;1201;5;0.2;0.3;0.021262343752724643;4;0.7800090402155331;13.84638695716858
18;log_loss;1451;5;0.4;0.2;0.21431099571326834;16;0.7578582744824253;15.157255554199219
19;log_loss;3701;9;0.6;0.35000000000000003;0.0009765625;32;0.7886880946626926;88.79257469177246
20;log_loss;3301;13;0.2;0.2;0.002109491677524035;128;0.7856909499386876;24.680771923065187
21;exponential;4501;9;0.5;0.7500000000000001;0.004556754060844206;128;0.7839021508552402;121.64148783683777
22;log_loss;3601;9;1.0;0.6000000000000001;0.004556754060844206;4;0.7785156145108885;192.86269011497498
23;exponential;2451;9;1.0;0.9500000000000001;0.46293735614364534;8;0.7671437394269757;28.973652267456053
24;log_loss;251;1;0.7000000000000001;0.35000000000000003;0.004556754060844206;64;0.7470784887623856;3.169254112243652
25;exponential;1001;3;0.4;0.9000000000000001;0.46293735614364534;128;0.7509765222917394;13.628098678588866
26;exponential;1901;7;0.2;0.6500000000000001;0.21431099571326834;64;0.7527689016585664;20.247588109970092
27;log_loss;251;1;0.5;0.8;1.0;32;0.7674386652703561;2.710044765472412
28;log_loss;3751;13;1.0;0.7000000000000001;0.045929202883612456;2;0.775820556197023;135.34787282943725
29;exponential;1651;1;0.7000000000000001;1.0;0.045929202883612456;4;0.7823984318358799;14.448300790786742
30;exponential;3851;15;0.9;0.1;0.0098431332023037;8;0.7797087439470833;203.73275218009948
31;log_loss;601;11;0.4;0.05;1.0;64;0.598311896386599;9.34885549545288
32;log_loss;4151;13;0.30000000000000004;0.1;0.021262343752724643;2;0.7821021633862321;172.41006474494935
33;exponential;2101;7;0.6;0.8500000000000001;0.21431099571326834;4;0.7701323809779544;43.76065196990967
34;log_loss;1401;1;0.4;0.6500000000000001;0.002109491677524035;16;0.753962926165606;9.413681650161744
35;log_loss;1201;9;0.6;0.9000000000000001;1.0;8;0.5016406648586236;60.54906439781189
36;log_loss;1501;3;0.30000000000000004;0.35000000000000003;0.004556754060844206;128;0.785990798671715;10.251476383209228
37;exponential;4601;3;0.8;0.8;0.0098431332023037;2;0.7794120279620131;66.78611388206483
