Iteration,Score
1,0.03920686348990543
2,0.9205448875356121
3,0.949484398465574
4,0.3332459994913688
5,0.29502981796411687
6,0.21464255719726955
7,-0.008880017295383347
8,-0.023082268458468613
9,0.9475430629166373
10,0.5911741599265381
11,0.1242069208136185
12,0.9430397332387577
13,-0.023082268458468613
14,-0.017327212776338197
15,0.4595534021931702
16,-0.023082268458468613
17,0.07365232809317512
18,0.9486592347825067
19,0.733666365494668
20,0.054736943848335495
21,0.8827690271688624
22,0.8260891014158835
23,0.835515432779909
24,-0.023082268458468613
25,0.9423327605931803
26,0.9399621991646179
27,0.9484358386899031
28,0.8884624223787023
29,0.25699726947445733
30,0.7945222259443893
31,0.8185627579062343
32,-0.023082268458468613
33,0.08574306863292624
34,0.9421691944146529
35,0.24125460667085474
36,-0.02143590735418477
37,0.9497549084200523
38,0.21867122578242604
39,-0.01665137810278572
40,0.8104435107557091
41,0.14738859389709236
42,0.9491360320550175
43,0.6599174998790228
44,0.08117758260495755
45,0.9494040664302812
46,0.8434872736824857
47,-0.023082268458468613
48,0.670938137877946
49,0.8832077384652355
50,-0.02283760149133851
