dataset,randomSearch_Model_auc_test,bayesOptimization_Model_auc_test,default_Model_auc_test
m_t_tuning_history,0.9309633866701672,0.9315655557076185,0.9233427084758923
o_s_tuning_history,0.9157205805318461,0.9164040304440267,0.9165735063014205
b_m_tuning_history,0.8793667199097999,0.8803094365623728,0.8772714460208588
c_d_tuning_history,0.8663799894017731,0.8661773341162655,0.8655747389828568
