mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_booster,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,dataset_id,total_mean_auc
0.33601681391398114,0.0450728483142226,0.0024491151173909507,0.0001128107655717257,gblinear,0,0,0.8705505632961031,2,5.278031643091579,4938,0.0625,0.00390625,0,"OrderedDict([('booster', 'gblinear'), ('colsample_bytree', 0), ('gamma', 0), ('learning_rate', 0.8705505632961031), ('max_depth', 2), ('min_child_weight', 5.278031643091579), ('n_estimators', 4938), ('reg_alpha', 0.0625), ('reg_lambda', 0.00390625), ('subsample', 0)])",0.8417424869037773,0.8497536945812808,0.8266283524904214,0.8393748446584931,0.009588175323666768,17,37,0.8176502445088594
0.27442153294881183,0.0686976298683198,0.0029228528340657554,0.00013037585005746158,gblinear,0,0,0.3298769776932167,2,32.0,3636,4.0,0.25,0,"OrderedDict([('booster', 'gblinear'), ('colsample_bytree', 0), ('gamma', 0), ('learning_rate', 0.3298769776932167), ('max_depth', 2), ('min_child_weight', 32.0), ('n_estimators', 3636), ('reg_alpha', 4.0), ('reg_lambda', 0.25), ('subsample', 0)])",0.8032120209539564,0.8070607553366174,0.7752463054187191,0.795173027236431,0.01417765544527549,57,37,0.795173027236431
0.11390773455301921,0.04652715993829108,0.0024132728576660156,0.00011008795557025043,gblinear,0,0,0.4061261981781091,12,25.99207668339954,1120,0.0625,0.00390625,0,"OrderedDict([('booster', 'gblinear'), ('colsample_bytree', 0), ('gamma', 0), ('learning_rate', 0.4061261981781091), ('max_depth', 12), ('min_child_weight', 25.99207668339954), ('n_estimators', 1120), ('reg_alpha', 0.0625), ('reg_lambda', 0.00390625), ('subsample', 0)])",0.8417424869037773,0.8497536945812808,0.8266283524904214,0.8393748446584931,0.009588175323666768,17,37,0.8393748446584931
0.3369002342224121,0.023933424605954105,0.0028835137685139975,0.00011129736338450565,gblinear,0,0,0.4061261981781091,2,32.0,4692,512.0,32.0,0,"OrderedDict([('booster', 'gblinear'), ('colsample_bytree', 0), ('gamma', 0), ('learning_rate', 0.4061261981781091), ('max_depth', 2), ('min_child_weight', 32.0), ('n_estimators', 4692), ('reg_alpha', 512.0), ('reg_lambda', 32.0), ('subsample', 0)])",0.5,0.5,0.5,0.5,0.0,80,37,0.5
0.09915653864542644,0.0354717780425672,0.0028023719787597656,0.00011300202297013186,gblinear,0,0,0.3298769776932167,5,8.0,1068,64.0,0.25,0,"OrderedDict([('booster', 'gblinear'), ('colsample_bytree', 0), ('gamma', 0), ('learning_rate', 0.3298769776932167), ('max_depth', 5), ('min_child_weight', 8.0), ('n_estimators', 1068), ('reg_alpha', 64.0), ('reg_lambda', 0.25), ('subsample', 0)])",0.5,0.5,0.5,0.5,0.0,80,37,0.5
0.33153820037841797,0.03316652935951129,0.002888917922973633,0.00010127168854203528,gblinear,0,0,0.35355339059326635,15,4.924577653379666,4346,16.0,32.0,0,"OrderedDict([('booster', 'gblinear'), ('colsample_bytree', 0), ('gamma', 0), ('learning_rate', 0.35355339059326635), ('max_depth', 15), ('min_child_weight', 4.924577653379666), ('n_estimators', 4346), ('reg_alpha', 16.0), ('reg_lambda', 32.0), ('subsample', 0)])",0.5,0.5,0.5,0.5,0.0,80,37,0.5
0.36827532450358075,0.041255726607047884,0.005137999852498372,0.0003361034176680493,gbtree,0,0,0.0014801919594828084,12,3.0314331330207964,3824,0.015625,32.0,0,"OrderedDict([('booster', 'gbtree'), ('colsample_bytree', 0), ('gamma', 0), ('learning_rate', 0.0014801919594828084), ('max_depth', 12), ('min_child_weight', 3.0314331330207964), ('n_estimators', 3824), ('reg_alpha', 0.015625), ('reg_lambda', 32.0), ('subsample', 0)])",0.5,0.5,0.5,0.5,0.0,80,37,0.5
0.12355661392211914,0.04922137472947551,0.0027948220570882163,9.153707301882965e-05,gblinear,0,0,0.3298769776932167,12,29.857055729177844,1230,1024.0,0.25,0,"OrderedDict([('booster', 'gblinear'), ('colsample_bytree', 0), ('gamma', 0), ('learning_rate', 0.3298769776932167), ('max_depth', 12), ('min_child_weight', 29.857055729177844), ('n_estimators', 1230), ('reg_alpha', 1024.0), ('reg_lambda', 0.25), ('subsample', 0)])",0.5,0.5,0.5,0.5,0.0,80,37,0.5
0.07791956265767415,0.042317658729034126,0.002926031748453776,0.00020187370380865704,gblinear,0,0,0.003644660123190637,6,1.6245047927124712,656,0.125,0.00390625,0,"OrderedDict([('booster', 'gblinear'), ('colsample_bytree', 0), ('gamma', 0), ('learning_rate', 0.003644660123190637), ('max_depth', 6), ('min_child_weight', 1.6245047927124712), ('n_estimators', 656), ('reg_alpha', 0.125), ('reg_lambda', 0.00390625), ('subsample', 0)])",0.6621174524400331,0.7776409414340448,0.7415161466885604,0.7270915135208794,0.04825261069865554,76,37,0.7270915135208794
0.02629566192626953,0.002801486974916137,0.022336721420288086,0.027631644507921337,gblinear,0,0,0.08838834764831703,7,10.556063286183157,315,0.00390625,512.0,0,"OrderedDict([('booster', 'gblinear'), ('colsample_bytree', 0), ('gamma', 0), ('learning_rate', 0.08838834764831703), ('max_depth', 7), ('min_child_weight', 10.556063286183157), ('n_estimators', 315), ('reg_alpha', 0.00390625), ('reg_lambda', 512.0), ('subsample', 0)])",0.767300799558864,0.82183908045977,0.7692939244663382,0.7861446014949908,0.025252920730739294,63,37,0.7861446014949908
