mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,dataset_id,total_mean_auc
1.6259829998016357,0.204407547577645,0.0852678616841634,0.0005254800772755876,1543,8,16,0.52,9,entropy,True,"{'n_estimators': 1543, 'min_samples_split': 8, 'min_samples_leaf': 16, 'max_features': 0.52, 'max_depth': 9, 'criterion': 'entropy', 'bootstrap': True}",0.8631100082712986,0.8639846743295019,0.8400383141762452,0.8557109989256819,0.011088012915449497,2,37,0.8770955305457153
0.04649623235066732,0.00012996026432839886,0.005497296651204427,4.247881966566806e-05,68,7,13,0.02,6,entropy,False,"{'n_estimators': 68, 'min_samples_split': 7, 'min_samples_leaf': 13, 'max_features': 0.02, 'max_depth': 6, 'criterion': 'entropy', 'bootstrap': False}",0.8444995864350703,0.8241652983032293,0.8411330049261083,0.8365992965548026,0.008898940092476111,83,37,0.8580012256390547
0.877920389175415,0.01760214292383901,0.04894892374674479,0.0006635905453796408,877,13,14,0.7000000000000001,15,entropy,False,"{'n_estimators': 877, 'min_samples_split': 13, 'min_samples_leaf': 14, 'max_features': 0.7000000000000001, 'max_depth': 15, 'criterion': 'entropy', 'bootstrap': False}",0.8436724565756825,0.8585112205801861,0.8375752599890531,0.8465863123816405,0.008791910228985336,54,37,0.8727761266374179
0.39609424273173016,0.02393709828963426,0.023722251256306965,0.0002757363064186621,415,13,16,0.52,12,gini,True,"{'n_estimators': 415, 'min_samples_split': 13, 'min_samples_leaf': 16, 'max_features': 0.52, 'max_depth': 12, 'criterion': 'gini', 'bootstrap': True}",0.861731458505652,0.8589217296113848,0.8347016967706622,0.851784961629233,0.012134031970340839,28,37,0.8756672430565586
0.02037199338277181,4.814612505074562e-05,0.0029592514038085938,3.0218712351663724e-05,27,7,7,0.97,1,entropy,False,"{'n_estimators': 27, 'min_samples_split': 7, 'min_samples_leaf': 7, 'max_features': 0.97, 'max_depth': 1, 'criterion': 'entropy', 'bootstrap': False}",0.7575130962227736,0.7893404488232074,0.7235221674876847,0.7567919041778887,0.02687503957162616,100,37,0.7724216810690399
1.4163727760314941,0.002664495071024896,0.06863991419474284,0.000433339014613156,1336,15,16,0.9600000000000001,4,entropy,False,"{'n_estimators': 1336, 'min_samples_split': 15, 'min_samples_leaf': 16, 'max_features': 0.9600000000000001, 'max_depth': 4, 'criterion': 'entropy', 'bootstrap': False}",0.8436724565756825,0.865831964969896,0.8147235905856597,0.8414093373770793,0.02092618398769239,71,37,0.8571936685843505
0.5925533771514893,0.005829572675987159,0.035607496897379555,0.0003574259682574595,621,15,2,0.6,8,gini,False,"{'n_estimators': 621, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 0.6, 'max_depth': 8, 'criterion': 'gini', 'bootstrap': False}",0.8484973807554453,0.8470169677066228,0.8470169677066228,0.847510438722897,0.000697873403852968,53,37,0.8652146986953534
1.5309226512908936,0.019614871341231663,0.10598619778951009,0.0007461594346020122,1925,19,14,0.48000000000000004,8,gini,False,"{'n_estimators': 1925, 'min_samples_split': 19, 'min_samples_leaf': 14, 'max_features': 0.48000000000000004, 'max_depth': 8, 'criterion': 'gini', 'bootstrap': False}",0.861317893575958,0.8576902025177887,0.838943623426382,0.8526505731733763,0.009804773977620971,18,37,0.8742732603876341
0.9677658875783285,0.005634818991803069,0.05150874455769857,0.0006750521166269186,951,15,13,0.8,10,gini,True,"{'n_estimators': 951, 'min_samples_split': 15, 'min_samples_leaf': 13, 'max_features': 0.8, 'max_depth': 10, 'criterion': 'gini', 'bootstrap': True}",0.854976564653984,0.8622058018609742,0.837712096332786,0.8516314876159147,0.010275458073110023,31,37,0.8790640836342298
1.3579529126485188,0.010484035042909687,0.0611572265625,0.0008870310180425764,1114,18,9,1.0,13,entropy,True,"{'n_estimators': 1114, 'min_samples_split': 18, 'min_samples_leaf': 9, 'max_features': 1.0, 'max_depth': 13, 'criterion': 'entropy', 'bootstrap': True}",0.8534601599117728,0.8668582375478927,0.8430487137383689,0.8544557037326781,0.00974565498512295,5,37,0.8806947058605111
1.4278276761372883,0.00680267575448224,0.07488258679707845,0.0010370222376111624,1379,17,10,0.8,10,gini,True,"{'n_estimators': 1379, 'min_samples_split': 17, 'min_samples_leaf': 10, 'max_features': 0.8, 'max_depth': 10, 'criterion': 'gini', 'bootstrap': True}",0.8519437551695617,0.8633004926108375,0.8394909688013136,0.8515784055272375,0.009723629853092643,32,37,0.8803320284928764
0.8612959384918213,0.0059392606473477995,0.05441149075826009,0.0001191026422504379,1015,10,15,0.28,7,gini,True,"{'n_estimators': 1015, 'min_samples_split': 10, 'min_samples_leaf': 15, 'max_features': 0.28, 'max_depth': 7, 'criterion': 'gini', 'bootstrap': True}",0.8596636338571823,0.84688013136289,0.8393541324575807,0.8486326325592176,0.00838341247573451,50,37,0.8681564011566029
1.1530519326527913,0.0020638184110231997,0.06406044960021973,0.000855758845231132,1211,13,14,0.65,4,gini,True,"{'n_estimators': 1211, 'min_samples_split': 13, 'min_samples_leaf': 14, 'max_features': 0.65, 'max_depth': 4, 'criterion': 'gini', 'bootstrap': True}",0.8574579542321479,0.8594690749863163,0.8352490421455938,0.8507253571213527,0.010974163463749301,38,37,0.8682427174821916
