dataset,randomSearch_Model_auc_test,bayesOptimization_Model_auc_test,default_Model_auc_test
m_t_tuning_history,0.9148777328360387,0.9152762874262869,0.9090868212213142
o_s_tuning_history,0.8751365460160073,0.8739319213074805,0.8709036195197782
b_m_tuning_history,0.8708125480519945,0.8712769761662107,0.8668481467574962
c_d_tuning_history,0.8061095397366544,0.8058159376803645,0.7928232400904826
