,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_model__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
0,0.08124887943267822,0.0024725302131881404,0.019600796699523925,0.0009951491362817858,0.0745934328572655,0.9507143064099162,"{'model__C': 0.0745934328572655, 'model__l1_ratio': 0.9507143064099162}",0.8589104827886123,0.8769297673407264,0.8552102780964378,0.9049174858102585,0.9271374586679263,0.9133783512485624,0.8760256148060033,0.9347471635523751,0.8452050935316655,0.8684302456614831,0.886089194150405,0.030020775056577097,5
1,0.08449897766113282,0.00529030604167231,0.01585099697113037,0.000838377855492376,4.5705630998014515,0.5986584841970366,"{'model__C': 4.5705630998014515, 'model__l1_ratio': 0.5986584841970366}",0.8535270036214769,0.8800488861896514,0.8543911345045025,0.8968722585869492,0.9234091369188204,0.9177200345983755,0.8727946819069634,0.9307863625361885,0.8417117421681317,0.8691138907670347,0.8840375131798094,0.03000186222684698,17
2,0.08724968433380127,0.0071848857189426634,0.016451144218444826,0.0010347791656968685,0.006026889128682512,0.15599452033620265,"{'model__C': 0.006026889128682512, 'model__l1_ratio': 0.15599452033620265}",0.7905279258609442,0.8482709884457641,0.7906928792616087,0.8899011029384198,0.893177677306161,0.8558913866180838,0.8328808401176044,0.8971598936531493,0.8096348884381339,0.7974137931034483,0.8405551375743316,0.040703916583544456,47
3,0.08634963035583496,0.00440014904234175,0.019886159896850587,0.003069588438929029,0.0019517224641449498,0.8661761457749352,"{'model__C': 0.0019517224641449498, 'model__l1_ratio': 0.8661761457749352}",0.8722332815979486,0.8937325205629411,0.8577108216928718,0.9204455991182492,0.9296661193212917,0.9040842594277759,0.8754345904952033,0.936658142157295,0.855009015100293,0.8560344827586208,0.8901008832232492,0.029728669520650366,4
4,0.08605072498321534,0.009498607212544035,0.021718049049377443,0.004598563406676224,1.0129197956845732,0.7080725777960455,"{'model__C': 1.0129197956845732, 'model__l1_ratio': 0.7080725777960455}",0.854994713993297,0.8793365874140554,0.854679802955665,0.8985142947117439,0.9242995103883153,0.9172246999378955,0.8737084242541366,0.9318183097455218,0.8421080309518444,0.8693035835023666,0.8845987957854842,0.030035258289890582,12
5,0.09139800071716309,0.006663422916818399,0.019101834297180174,0.003929619836928702,0.001267425589893723,0.9699098521619943,"{'model__C': 0.001267425589893723, 'model__l1_ratio': 0.9699098521619943}",0.9276107624596052,0.917603901897714,0.9251224029211748,0.9414752832324867,0.5,0.9439399369198815,0.888099397155203,0.960291609518681,0.8672610998422358,0.884660243407708,0.875606463735469,0.12825275981330023,43
6,0.08775036334991455,0.005422540685488257,0.019350409507751465,0.0012054640008300958,14.528246637516036,0.21233911067827616,"{'model__C': 14.528246637516036, 'model__l1_ratio': 0.21233911067827616}",0.8531389882358233,0.8801819735924601,0.8542486747493834,0.896512360258227,0.9232704261046255,0.9178269818546155,0.8725413857737635,0.930486159711655,0.8416610322289835,0.8690406430771542,0.883890862558669,0.03000604152560077,22
7,0.08643758296966553,0.0041614000435472465,0.018851113319396973,0.003485843467791949,0.008111941985431923,0.18340450985343382,"{'model__C': 0.008111941985431923, 'model__l1_ratio': 0.18340450985343382}",0.8075724857727692,0.8621833082154291,0.8043615178712014,0.8977888746429135,0.9045088512495221,0.8701679071922968,0.8450390545112041,0.9094850958678957,0.8167943805874839,0.8046333859214183,0.8522534861832135,0.04045513853961008,46
8,0.08322312831878662,0.005557778300293674,0.01964993476867676,0.0017892295464028102,0.033205591037519584,0.5247564316322378,"{'model__C': 0.033205591037519584, 'model__l1_ratio': 0.5247564316322378}",0.8561943750890374,0.8705565677696051,0.8471350593457347,0.9094612022103756,0.9261889766141064,0.8993738894840826,0.87202728843675,0.9296493443382685,0.8403012546014574,0.8504864397866427,0.8801374397676061,0.03176191957778961,34
9,0.09060368537902833,0.017920779045065845,0.022900152206420898,0.005063391506429918,0.14445251022763064,0.2912291401980419,"{'model__C': 0.14445251022763064, 'model__l1_ratio': 0.2912291401980419}",0.857159727377016,0.873253930764559,0.8503066633675986,0.905599793058461,0.9266107324680779,0.908653909297469,0.8751081199235233,0.9336701859193617,0.841920216362407,0.8619806926602058,0.8834263971198679,0.031079930472612042,29
10,0.0922992467880249,0.012016950794051953,0.027650833129882812,0.009345983258281945,1.1462107403425035,0.13949386065204183,"{'model__C': 1.1462107403425035, 'model__l1_ratio': 0.13949386065204183}",0.8564249349558749,0.8782306498414199,0.8541943151059825,0.9000738541362066,0.9252798584399908,0.9165004606237088,0.8746578156867233,0.9328296180106683,0.8424479753587258,0.8687607993388928,0.8849400281498194,0.03020314448526429,11
11,0.1057002067565918,0.008444380096701733,0.028849864006042482,0.009887362921594233,0.028888383623653185,0.3663618432936917,"{'model__C': 0.028888383623653185, 'model__l1_ratio': 0.3663618432936917}",0.8552496419761417,0.8707702574022838,0.8454780274572433,0.9093262403371049,0.925405447960951,0.8970754616087494,0.8709052803800568,0.9275103992134687,0.8376793629329127,0.8456107730448501,0.8785010892313763,0.032239617399669566,38
12,0.09079885482788086,0.00571479406775872,0.023601222038269042,0.005295175118194494,0.19069966103000435,0.7851759613930136,"{'model__C': 0.19069966103000435, 'model__l1_ratio': 0.7851759613930136}",0.8574240277121713,0.8770703526253834,0.8543817621521921,0.902981157822915,0.9260933786205396,0.9146579657881355,0.87557906310451,0.9338934617701086,0.8434490271204267,0.8681072045676509,0.8853637401284032,0.030236111280397177,6
13,0.09914965629577636,0.013099595982159483,0.023649978637695312,0.003421423534229598,0.009962513222055111,0.5142344384136116,"{'model__C': 0.009962513222055111, 'model__l1_ratio': 0.5142344384136116}",0.850154831260169,0.8783412435986834,0.846741420548695,0.9073692931746782,0.9215740303364299,0.8972743459800028,0.8673891547977103,0.9233319511494954,0.8460108181203516,0.837705656975434,0.8775892745941649,0.0311418549341587,41
14,0.08944993019104004,0.006651172655025367,0.021650123596191406,0.004769779208318207,0.9163741808778786,0.046450412719997725,"{'model__C': 0.9163741808778786, 'model__l1_ratio': 0.046450412719997725}",0.8567904566959834,0.8775539660046037,0.8538587848932676,0.9010935660675858,0.9255741503025396,0.9156767791238957,0.8750368217526967,0.9332499019650152,0.8426057396138532,0.8682818721358276,0.8849722038555269,0.030284328785863072,8
15,0.09105031490325928,0.0054793868732357165,0.019849467277526855,0.002559550492842909,1.0907475835157696,0.17052412368729153,"{'model__C': 1.0907475835157696, 'model__l1_ratio': 0.17052412368729153}",0.8564511775423442,0.8782006583140262,0.8541943151059825,0.9001375861319176,0.9252704860876801,0.9164648115382955,0.8746765783632566,0.9328465044195484,0.8424667568176696,0.8687495304635265,0.8849458404784247,0.03019956238811379,9
16,0.0915496826171875,0.009630446836686294,0.018700695037841795,0.0020993356089592788,0.0021147447960615704,0.9488855372533332,"{'model__C': 0.0021147447960615704, 'model__l1_ratio': 0.9488855372533332}",0.8775267861829034,0.899490893822495,0.865932249139618,0.9237090521927556,0.9335144071799717,0.9056622005242292,0.8762451381214433,0.9401217322453483,0.8580027796559236,0.8579971452182407,0.8938202384282927,0.02950164401043782,3
17,0.08685090541839599,0.004031305498529096,0.020550179481506347,0.00262146031839621,67.32248920775338,0.8083973481164611,"{'model__C': 67.32248920775338, 'model__l1_ratio': 0.8083973481164611}",0.852614136506437,0.8803450525226625,0.8542168087515278,0.896135591695346,0.9229611384783799,0.9179095376313623,0.8721417407636034,0.9300733808279219,0.8415746375178423,0.8691120126211405,0.8837084037316224,0.029974417739253408,26
18,0.08935039043426514,0.00771361612072804,0.019800233840942382,0.0037302720593121474,0.03334792728637585,0.09767211400638387,"{'model__C': 0.03334792728637585, 'model__l1_ratio': 0.09767211400638387}",0.8536001079694986,0.8703728696643196,0.8433992397147805,0.9080853408911982,0.9241064399307196,0.8963024393355761,0.8701566495863768,0.9260975696705087,0.8343268725114567,0.8411745924423408,0.8767622121716776,0.032923664982940554,42
19,0.08694884777069092,0.00821380839613361,0.019201374053955077,0.0014530591256030076,2.6373339933815254,0.4401524937396013,"{'model__C': 2.6373339933815254, 'model__l1_ratio': 0.4401524937396013}",0.8544117536795854,0.8795765196332035,0.8545523389642428,0.8978357364044658,0.9238946247685029,0.9174104504355755,0.8732412336084567,0.9314880866385351,0.8418375779430546,0.8692378483960634,0.8843486170471685,0.03004448063624669,13
20,0.09120063781738282,0.009461692832267249,0.01973128318786621,0.003310302407589079,0.00407559644007287,0.4951769101112702,"{'model__C': 0.00407559644007287, 'model__l1_ratio': 0.4951769101112702}",0.8205719384273943,0.8621795592745048,0.8154340148907933,0.9018714713093552,0.9175907806044793,0.885099245177523,0.8493769853257107,0.9186647353618289,0.8265156637367591,0.822518030200586,0.8619822424308936,0.039098011938987834,45
21,0.09032349586486817,0.014242881221013484,0.02390410900115967,0.004092058484875378,0.0014857392806279248,0.9093204020787821,"{'model__C': 0.0014857392806279248, 'model__l1_ratio': 0.9093204020787821}",0.9276107624596052,0.917603901897714,0.8878841727212062,0.9414752832324867,0.9649998875317722,0.9439399369198815,0.888099397155203,0.960291609518681,0.8672610998422358,0.8828187213582752,0.918198477263706,0.03305576513969524,1
22,0.10603065490722656,0.018711561793407338,0.029100513458251952,0.00746977446136737,0.01967432802530612,0.662522284353982,"{'model__C': 0.01967432802530612, 'model__l1_ratio': 0.662522284353982}",0.8584718567004821,0.8721929804830135,0.8476636600160454,0.9112644427949104,0.9267513177527349,0.8976439707077094,0.8718921971657101,0.9286586750173086,0.8429156336864247,0.8508601908196229,0.8808314925143963,0.03113740229309764,32
23,0.12300021648406982,0.013628916745042059,0.036800384521484375,0.008630650096885713,0.03618723330959624,0.5200680211778108,"{'model__C': 0.03618723330959624, 'model__l1_ratio': 0.5200680211778108}",0.8560369195702214,0.870258526966132,0.8471912934595976,0.9093037466915597,0.926162734027637,0.9001731795044027,0.87237064541731,0.9301165349839485,0.8404458718353243,0.8513222147096386,0.8803381667165772,0.031777156082137936,33
24,0.10439944267272949,0.01710165142892407,0.028550887107849122,0.006923020011344194,0.5414413211338525,0.18485445552552704,"{'model__C': 0.5414413211338525, 'model__l1_ratio': 0.18485445552552704}",0.8570453846788282,0.8765155093686035,0.8536844591402929,0.9023119718679474,0.9258403251081571,0.9146842335352823,0.8754233328892832,0.9338052771904017,0.8426677184283676,0.8674235594620991,0.8849401771669262,0.03042611643925145,10
25,0.09779260158538819,0.01526982443020714,0.019224023818969725,0.0031431913356865645,70.45683638454501,0.7751328233611146,"{'model__C': 70.45683638454501, 'model__l1_ratio': 0.7751328233611146}",0.8526197599178231,0.8803600482863592,0.8542168087515278,0.8961412151067323,0.9229498916556074,0.9179226715049353,0.8721473695665635,0.930063999489655,0.8415614904965817,0.8690969874539853,0.8837080242229771,0.02997483823770913,27
26,0.091743803024292,0.00793009086384757,0.019901061058044435,0.0017806863449990047,49.830438374949125,0.8948273504276488,"{'model__C': 49.830438374949125, 'model__l1_ratio': 0.8948273504276488}",0.8525504045107257,0.8803544248749728,0.8542149342810657,0.8961393406362703,0.9229498916556071,0.9179245477725888,0.8721342356929902,0.9300583706866951,0.8415690030801594,0.8690894748704079,0.8836984628061483,0.029981367367609365,28
27,0.09051625728607178,0.008047399260625034,0.02144017219543457,0.003693481593142634,0.9761125443110458,0.9218742350231168,"{'model__C': 0.9761125443110458, 'model__l1_ratio': 0.9218742350231168}",0.8540293617053183,0.8799664094893193,0.8545092261436145,0.8973914869049493,0.9235459732625533,0.9176393550892823,0.8729579171928035,0.9310696789518418,0.8419108256329351,0.8692453609796409,0.8842265595352258,0.029975329584711028,14
28,0.09905040264129639,0.009031323612543095,0.02095015048980713,0.0018230202264662002,0.0027698899227562817,0.1959828624191452,"{'model__C': 0.0027698899227562817, 'model__l1_ratio': 0.1959828624191452}",0.7707297688403026,0.8281522969761042,0.7651719639201926,0.8720055334368042,0.8737225483800826,0.8352074120077378,0.8170245021792849,0.8813392048002431,0.7917305236270754,0.7885188941476973,0.8223602648315526,0.041021882830380996,49
29,0.1021498441696167,0.007433372381610191,0.01954977512359619,0.0029287867649404353,0.0016832027985721903,0.32533033076326434,"{'model__C': 0.0016832027985721903, 'model__l1_ratio': 0.32533033076326434}",0.7755846473371273,0.8339903352302973,0.7648176890028567,0.8730721071297358,0.8725622511640463,0.8386353530103777,0.8191822099806181,0.8842305332540297,0.7945496206145293,0.8016161445421081,0.8258240891265727,0.039891068745878416,48
30,0.0898998498916626,0.0068149071078006,0.020149970054626466,0.002192014823892541,0.08777815504719653,0.2713490317738959,"{'model__C': 0.08777815504719653, 'model__l1_ratio': 0.2713490317738959}",0.8566330011771675,0.8712838623088978,0.8484584354919735,0.9066607433400065,0.9259846593337382,0.9053197816774959,0.8742112639852301,0.9321185125700552,0.840137855908647,0.857390504094358,0.881819861988757,0.03146465180607871,31
31,0.09039981365203857,0.00817912883492816,0.019950056076049806,0.0033350977574200325,13.921548533046511,0.3567533266935893,"{'model__C': 13.921548533046511, 'model__l1_ratio': 0.3567533266935893}",0.853034017889946,0.880200718297081,0.8542824152177011,0.8964617495557505,0.923201070697528,0.9178457445311489,0.87251136549131,0.930416737808482,0.8416384944782509,0.8690368867853654,0.8838629200752564,0.02999786871299888,23
32,0.0889998197555542,0.006253915033657767,0.02240011692047119,0.004133935442526306,0.02539057572102413,0.5426960831582485,"{'model__C': 0.02539057572102413, 'model__l1_ratio': 0.5426960831582485}",0.8568092014006043,0.8710289343260529,0.84696073359276,0.9100272922899281,0.926397042835399,0.8976664859195495,0.8713255643344034,0.9284429042371753,0.8402655698294643,0.8485575839531214,0.8797481312718458,0.03172552878825115,35
33,0.08869926929473877,0.007934303629566155,0.02073049545288086,0.004540246313925067,0.0050654860639753555,0.8021969807540397,"{'model__C': 0.0050654860639753555, 'model__l1_ratio': 0.8021969807540397}",0.8630502508041478,0.8813460197494208,0.8540387340576286,0.9118117881698421,0.9253754564335575,0.9005231034217493,0.8702729781808834,0.9274719357265754,0.8469292314626999,0.8499887311246337,0.8830808229131138,0.029500592725418683,30
34,0.08831524848937988,0.009285235674914086,0.017214369773864747,0.0023620570089295002,0.0023591373063477136,0.9868869366005173,"{'model__C': 0.0023591373063477136, 'model__l1_ratio': 0.9868869366005173}",0.878988873143337,0.8989585442112604,0.8664739711031634,0.9233772709209648,0.9347496832144919,0.9056640767918823,0.8762244991772566,0.938493131922255,0.857717301479979,0.8587127188039967,0.8939360070768588,0.029196587927688457,2
35,0.08353946208953858,0.003459957843946396,0.018090081214904786,0.002182174433828392,7.264803074826735,0.1987156815341724,"{'model__C': 7.264803074826735, 'model__l1_ratio': 0.1987156815341724}",0.8536638399652099,0.8799457903142361,0.8544098792091234,0.8969547352872813,0.9234128858597448,0.9176825092453087,0.8728678563454434,0.9309045673983484,0.8417117421681316,0.8691270377882954,0.8840680843581122,0.030002375078062377,16
36,0.09091675281524658,0.009475977923296153,0.018701171875,0.0038163352596739955,0.0010656401760606447,0.8154614284548342,"{'model__C': 0.0010656401760606447, 'model__l1_ratio': 0.8154614284548342}",0.9276107624596052,0.917603901897714,0.9251224029211748,0.9414752832324867,0.5,0.9439399369198815,0.888099397155203,0.960291609518681,0.8672610998422358,0.884660243407708,0.875606463735469,0.12825275981330023,43
37,0.09155597686767578,0.009604462075521287,0.024177408218383788,0.004418204347766289,3.4220529032706923,0.7290071680409873,"{'model__C': 3.4220529032706923, 'model__l1_ratio': 0.7290071680409873}",0.853489514212235,0.8800863755988934,0.8543836366226542,0.8968516394118662,0.9234072624483585,0.9177425498102155,0.8727665378921635,0.9307450846478151,0.8417380362106529,0.8691270377882954,0.8840337674643148,0.029997587588212273,18
38,0.09068388938903808,0.006386300113254572,0.02350001335144043,0.0047487922908027,7.183758655813988,0.07404465173409036,"{'model__C': 7.183758655813988, 'model__l1_ratio': 0.07404465173409036}",0.8538475380704951,0.8798689370252903,0.8544342473251307,0.897065329044545,0.9234916136191527,0.9176843855129622,0.87292226810739,0.9309908757104018,0.8417380362106529,0.869074449703253,0.8841117680329272,0.0300081286114134,15
39,0.10115327835083007,0.010106329567722958,0.02115025520324707,0.0031547776843956687,0.061991000078022655,0.11586905952512971,"{'model__C': 0.061991000078022655, 'model__l1_ratio': 0.11586905952512971}",0.8550247055206904,0.8698817584032512,0.8452081037107018,0.9070843736644398,0.9253061010264602,0.9012276419255758,0.87273088880675,0.9304242428790952,0.8378202238749906,0.8503662384494028,0.8795074278261359,0.03228583338722683,36
40,0.09470078945159913,0.009279665703965686,0.02144911289215088,0.004601317319428579,20.67840939783948,0.6232981268275579,"{'model__C': 20.67840939783948, 'model__l1_ratio': 0.6232981268275579}",0.8527191068523141,0.8802925673497237,0.8541999385173689,0.8962611812163064,0.9230473641196362,0.9179189189696287,0.8722749557669901,0.9301728230135483,0.8415971752685749,0.8690725715573585,0.883755660263145,0.029992409313476694,25
41,0.09089894294738769,0.008876870666935066,0.0189009428024292,0.0027826228387987416,0.04513257622008944,0.06355835028602363,"{'model__C': 0.04513257622008944, 'model__l1_ratio': 0.06355835028602363}",0.8546741795442787,0.8707702574022839,0.8430374669155962,0.9075173763411837,0.9246819023625825,0.8979441735322427,0.8709146617183234,0.9280451354946686,0.8357242130568702,0.8449177372098263,0.8778227103577857,0.032715545130461994,40
42,0.0875993013381958,0.0042757990640900955,0.017400836944580077,0.0028089898060894144,0.03588488911386258,0.32518332202674705,"{'model__C': 0.03588488911386258, 'model__l1_ratio': 0.32518332202674705}",0.8555683019546978,0.8708714788072369,0.8447432350361023,0.9087882673144836,0.9256135141822436,0.8981768307212559,0.8711210511601901,0.9285329650845353,0.8375591615956728,0.8470212606115243,0.8787996066467942,0.03236005011869398,37
43,0.08664910793304444,0.006814560860729028,0.019751143455505372,0.004019092300838342,4.446628955475449,0.6375574713552131,"{'model__C': 4.446628955475449, 'model__l1_ratio': 0.6375574713552131}",0.8534970120940834,0.8800657564238104,0.8543667663884953,0.8968366436481694,0.9233903922141995,0.9177369210072556,0.8727721666951235,0.9307131880977084,0.8417342799188641,0.8691214033506123,0.8840234529838321,0.02999090820690371,19
44,0.08600044250488281,0.004195110807198328,0.018650341033935546,0.004550515935185005,27.293781650374736,0.4722149251619493,"{'model__C': 27.293781650374736, 'model__l1_ratio': 0.4722149251619493}",0.8527715920252529,0.8803038141724964,0.8541999385173689,0.8962668046276927,0.9230848535288783,0.9178832698842154,0.8722712032316834,0.9301784518165084,0.8416140785816242,0.869059424536098,0.883763343092182,0.029987224477151724,24
45,0.08470101356506347,0.004903864428575355,0.01644930839538574,0.001011318229433686,0.00396251783257234,0.713244787222995,"{'model__C': 0.00396251783257234, 'model__l1_ratio': 0.713244787222995}",0.8536928942573723,0.8748041178367112,0.8472400296916122,0.9060477914989016,0.9210210615501121,0.8985511461180961,0.8661358080052834,0.9253761447578019,0.8457891969048157,0.8406092705281347,0.8779267461148841,0.030704839596303612,39
46,0.08395028114318848,0.0037247355452421937,0.018249368667602538,0.003530195548497913,6.366859160799429,0.5612771975694962,"{'model__C': 6.366859160799429, 'model__l1_ratio': 0.5612771975694962}",0.853330184222957,0.8801351118309078,0.8543274025087912,0.8966941838930502,0.9233135389252536,0.9177875802338955,0.8726633431712302,0.9306137459120818,0.8416910825632935,0.8690875967245136,0.8839643769985974,0.02999684633420065,21
47,0.08699963092803956,0.0063897884807401,0.02065105438232422,0.0035566437293479006,7.158728631500198,0.49379559636439074,"{'model__C': 7.158728631500198, 'model__l1_ratio': 0.49379559636439074}",0.8533395565752675,0.8801351118309079,0.8543349003906398,0.8966885604816639,0.9233285346889505,0.9177631887544022,0.8726670957065366,0.9306212509826951,0.8416910825632935,0.8690857185786194,0.8839655000552977,0.02999524721447197,20
48,0.09084970951080322,0.00704622014563359,0.023150825500488283,0.004572450563789582,0.4108318894699929,0.42754101835854963,"{'model__C': 0.4108318894699929, 'model__l1_ratio': 0.42754101835854963}",0.8570791251471459,0.8767441947649788,0.8538325423067983,0.9023588336294996,0.9258571953423158,0.914749902903149,0.8754477243687767,0.933773380640295,0.8427672601607694,0.8676564495530014,0.885026660881673,0.030379803830630683,7
49,0.09031047821044921,0.012862325632984358,0.014163470268249512,0.002467013381544212,0.001339971723117972,0.10789142699330445,"{'model__C': 0.001339971723117972, 'model__l1_ratio': 0.10789142699330445}",0.750256802453307,0.814313081554461,0.7478874717892195,0.8550659438708564,0.850312286778985,0.8194036095637115,0.8025566023044319,0.8656686173596035,0.776818045225753,0.7694932762376981,0.8051775737138026,0.04105355537490576,50
