dataset,randomSearch_Model_auc_test,bayesOptimization_Model_auc_test,default_Model_auc_test
m_t_tuning_history,0.9260369343258168,0.9280922553670752,0.9295447790711446
o_s_tuning_history,0.8976022101473636,0.8989529915835925,0.8923115476532465
b_m_tuning_history,0.879004188227222,0.8793186626261473,0.8746841855113068
c_d_tuning_history,0.862330658243895,0.8621605555018388,0.8511316308734687
