param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_depth,param_model__learning_rate,param_model__subsample,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
131,3,1,5,0.17009533448144792,0.8738789157941937,0.8763668428714464,0.00785675390096384,0.8745690798196765,0.8837052854889811,0.8688856749600007,0.8871785197761428,0.8674956543124311
65,9,5,1,0.3386726832017303,0.9706250671297312,0.8722026228406652,0.00466583659830967,0.8723855182905553,0.8751175871261287,0.8659141880986815,0.8790745282161997,0.86852129247176
35,4,3,8,0.4101267686579376,0.8921825264114887,0.8651177671475848,0.011092531824815148,0.8695529595667768,0.8705648369132856,0.8562772921950436,0.8802042940884669,0.8489894529743507
92,7,3,4,0.12858240040950478,0.7643198838923126,0.8842079160894196,0.006318423461017557,0.8809774037320829,0.8902706248517077,0.8787398604036973,0.8932409678118035,0.8778107236478064
107,6,4,7,0.0623542903456837,0.83670663414523,0.8824866938599163,0.007364376764649277,0.8818685536434563,0.8869195662186493,0.8755021763888017,0.8940046252628784,0.8741385477857954
14,5,1,3,0.4567970823030919,0.9452821505255997,0.8779391248445713,0.006102603601894552,0.8720100769026783,0.883923013580092,0.8735961768219833,0.8866859502399966,0.8734804066781061
46,9,4,6,0.3023172485642135,0.9292441790457815,0.8735707428324767,0.009468642008370928,0.8675850325894291,0.8842565841812167,0.8664892018976154,0.8858356564449754,0.8636872390491469
148,1,2,2,0.246665464155376,0.7897734313737601,0.8821315531674154,0.0062081964671152285,0.8801776717051181,0.8859523510446761,0.8764838220601284,0.8922453485366143,0.8757985724905402
77,5,4,8,0.25944099836051465,0.7680829782038927,0.8668442321387175,0.0077833515036250115,0.8704392245530294,0.8758405560440481,0.8580184032362866,0.8728374101322601,0.8570855667279629
117,6,2,4,0.3159595117904246,0.8883888246491551,0.8725664031119023,0.008155724262310496,0.8669597621739313,0.8793186227302544,0.8713604002040146,0.883868173021163,0.8613250574301476
84,1,5,5,0.49941924600861964,0.9978258407209069,0.8617036372882962,0.008690156292505783,0.8669988415748998,0.8700372650002094,0.854448147449468,0.8686942365870869,0.8483396958298168
36,10,2,1,0.10581260588951409,0.8466476548928767,0.8415710922093596,0.007645825253357003,0.8476510488632081,0.8490376697511479,0.8302374813976399,0.8463245928441174,0.8346046681906847
22,8,3,6,0.14219636633060873,0.8013605293817818,0.8797515086349005,0.007802682658041522,0.8770136359195523,0.8853815126519561,0.8740573057494394,0.8918498955473111,0.8704551933062438
105,2,3,2,0.4228225071448833,0.9176265927962959,0.8810691550027272,0.006677554409945258,0.8793039679548912,0.8880047174419741,0.876354566224402,0.889484164413423,0.8721983589789452
135,7,1,7,0.3822159443050623,0.9646818086039275,0.8606097571682788,0.010075184363062721,0.8678767324038019,0.8727993412329551,0.8501163302521537,0.8649562975539207,0.8473000843985625
60,3,5,3,0.21274407887831331,0.8172763695474714,0.883468596987121,0.00648194430472215,0.8787603455735602,0.8894834540607686,0.8794098947088947,0.8929524128920469,0.8767368777003347
94,10,2,7,0.19455157001502815,0.9100054139271379,0.872746963227943,0.008440070775294871,0.8696436796047398,0.8823612332342391,0.8656172490166075,0.8831331614580059,0.8629794928261222
28,1,4,3,0.3634467554744333,0.8094859328120947,0.8822248559594836,0.006153235145447129,0.8779801532470797,0.884837192424179,0.8813137982351339,0.8924521578737765,0.8745409780172486
69,6,2,6,0.4344578799791634,0.8248067360837013,0.8554873286191095,0.010573801053123858,0.8582645954584153,0.8696422839118481,0.8485135578891475,0.8617493554675217,0.8392668503686148
126,5,5,2,0.1534747824072838,0.956709740916267,0.8833333565038917,0.005495411106917277,0.8809201803235216,0.8883836480620804,0.8789250106548729,0.891242742459494,0.8771952010194899
145,4,4,5,0.08064345763996245,0.8806608836166561,0.8845727469302211,0.007931094919271655,0.884223785398261,0.8895295119261958,0.8790430876075093,0.8964094824875809,0.8736578672315595
52,8,3,1,0.47367319986224177,0.7763457824476063,0.8730267475140492,0.00539243174073603,0.8740135940487654,0.876565618501305,0.8651987395809315,0.8803859509386769,0.8689698345005672
14,3,5,8,0.32050838028080764,0.8540406522806734,0.8701634509473305,0.009864855314346428,0.8730156736311743,0.8782139318064454,0.8588826706351701,0.8823171029924474,0.8583878756714156
115,9,1,4,0.26363269886933266,0.9899605072569102,0.8761423558542187,0.006472021639765804,0.8746974835657162,0.8797066253541572,0.8684406156769862,0.8866712779559411,0.8711957767182933
44,7,5,6,0.2210567496251315,0.9526603352278471,0.8802156937447038,0.007711359918084368,0.8811232536392692,0.8836641125486748,0.8723350590734102,0.8923773990931131,0.871578644369051
84,4,1,2,0.27701077037490907,0.8288255343213677,0.8817882402103769,0.0057444517911363424,0.8783332635486888,0.8854003545059944,0.8794008118663844,0.8910219595184696,0.8747848116123479
122,8,3,7,0.46090638283640145,0.7819992064032704,0.8535243481489772,0.009148507830967562,0.8587251741126881,0.861963181621516,0.8420759185897839,0.8620917087621482,0.8427657576587504
