mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__rf1__n_estimators,param_model__rf1__min_samples_split,param_model__rf1__min_samples_leaf,param_model__rf1__max_features,param_model__rf1__max_depth,param_model__kn1__weights,param_model__kn1__p,param_model__kn1__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,mean_test_score,std_test_score,rank_test_score
1.8701403822217668,0.23502756069271669,0.04401196752275739,0.013697109867900428,38,3,10,sqrt,5,distance,2,7,"{'model__rf1__n_estimators': 38, 'model__rf1__min_samples_split': 3, 'model__rf1__min_samples_leaf': 10, 'model__rf1__max_features': 'sqrt', 'model__rf1__max_depth': 5, 'model__kn1__weights': 'distance', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 7}",0.8776223776223776,0.8916083916083917,0.9055944055944056,0.8916083916083917,0.9055944055944056,0.8386191273515218,0.8772530286614794,0.8839857325772819,0.02136094506517174,69
2.081387077059065,0.31286247427860625,0.04230645724705288,0.009301952217219061,32,5,6,sqrt,10,distance,1,18,"{'model__rf1__n_estimators': 32, 'model__rf1__min_samples_split': 5, 'model__rf1__min_samples_leaf': 6, 'model__rf1__max_features': 'sqrt', 'model__rf1__max_depth': 10, 'model__kn1__weights': 'distance', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 18}",0.8636363636363636,0.8881118881118881,0.9020979020979021,0.8846153846153846,0.8916083916083917,0.8175169900522014,0.9018516694573033,0.8784912270827764,0.027629260762534764,356
3.8840953622545515,0.30249416839744114,0.05260753631591797,0.00583118566176491,94,1,4,log2,3,uniform,1,10,"{'model__rf1__n_estimators': 94, 'model__rf1__min_samples_split': 1, 'model__rf1__min_samples_leaf': 4, 'model__rf1__max_features': 'log2', 'model__rf1__max_depth': 3, 'model__kn1__weights': 'uniform', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 10}",0.8671328671328671,0.8706293706293706,0.8916083916083917,0.8601398601398601,0.8846153846153846,0.813995863291638,0.89830591943268,0.8694896652643129,0.02597316275440257,781
2.119691712515695,0.11874047621547411,0.040013722011021206,0.006046480619456945,41,3,1,log2,5,distance,1,7,"{'model__rf1__n_estimators': 41, 'model__rf1__min_samples_split': 3, 'model__rf1__min_samples_leaf': 1, 'model__rf1__max_features': 'log2', 'model__rf1__max_depth': 5, 'model__kn1__weights': 'distance', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 7}",0.8776223776223776,0.8601398601398602,0.9020979020979021,0.8776223776223776,0.8986013986013985,0.8420910075839654,0.8842706589185463,0.8774922260837753,0.0194619348698768,431
3.1274446078709195,0.1423882755749602,0.040023360933576314,0.004289989498810881,69,3,2,sqrt,5,uniform,2,5,"{'model__rf1__n_estimators': 69, 'model__rf1__min_samples_split': 3, 'model__rf1__min_samples_leaf': 2, 'model__rf1__max_features': 'sqrt', 'model__rf1__max_depth': 5, 'model__kn1__weights': 'uniform', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 5}",0.8741258741258742,0.8881118881118881,0.8881118881118881,0.8811188811188811,0.9090909090909091,0.8280557470698315,0.8737811484290358,0.8774851908654726,0.02301010141969225,439
3.616107089178903,0.04412001698667367,0.04972764423915318,0.007967902848562905,77,2,7,sqrt,7,distance,1,17,"{'model__rf1__n_estimators': 77, 'model__rf1__min_samples_split': 2, 'model__rf1__min_samples_leaf': 7, 'model__rf1__max_features': 'sqrt', 'model__rf1__max_depth': 7, 'model__kn1__weights': 'distance', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 17}",0.8601398601398602,0.8741258741258742,0.9090909090909092,0.8776223776223777,0.8916083916083917,0.8244853737811484,0.8983305426967398,0.8764861898664715,0.02604137870467932,503
2.341418368475778,0.07042298116866963,0.041157347815377374,0.006670339948665542,71,5,5,sqrt,2,uniform,1,6,"{'model__rf1__n_estimators': 71, 'model__rf1__min_samples_split': 5, 'model__rf1__min_samples_leaf': 5, 'model__rf1__max_features': 'sqrt', 'model__rf1__max_depth': 2, 'model__kn1__weights': 'uniform', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 6}",0.8846153846153846,0.8706293706293706,0.8846153846153846,0.8636363636363636,0.8881118881118881,0.8385452575593421,0.8737565251649759,0.8719871677618156,0.01591056187557064,685
3.013678925377982,0.1114799350038433,0.04115053585597447,0.0027966694755919355,66,3,7,log2,6,uniform,1,20,"{'model__rf1__n_estimators': 66, 'model__rf1__min_samples_split': 3, 'model__rf1__min_samples_leaf': 7, 'model__rf1__max_features': 'log2', 'model__rf1__max_depth': 6, 'model__kn1__weights': 'uniform', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 20}",0.8636363636363636,0.8636363636363636,0.8846153846153846,0.8636363636363636,0.8846153846153846,0.813995863291638,0.8912882891756131,0.8664891446581586,0.024059682892076963,853
4.101385729653495,0.12130334571955739,0.04573416709899902,0.005597511050480551,82,5,2,log2,7,uniform,2,9,"{'model__rf1__n_estimators': 82, 'model__rf1__min_samples_split': 5, 'model__rf1__min_samples_leaf': 2, 'model__rf1__max_features': 'log2', 'model__rf1__max_depth': 7, 'model__kn1__weights': 'uniform', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 9}",0.8706293706293706,0.8881118881118881,0.9090909090909092,0.8706293706293706,0.8881118881118881,0.8245346203092683,0.8842706589185463,0.8764826722573202,0.024382515836171705,505
2.6980371134621755,0.17881173716314339,0.04135043280465262,0.0027690607859198863,59,2,7,sqrt,5,distance,1,20,"{'model__rf1__n_estimators': 59, 'model__rf1__min_samples_split': 2, 'model__rf1__min_samples_leaf': 7, 'model__rf1__max_features': 'sqrt', 'model__rf1__max_depth': 5, 'model__kn1__weights': 'distance', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 20}",0.8601398601398602,0.8811188811188811,0.8986013986013985,0.8776223776223777,0.8881118881118881,0.8315522505663351,0.8983305426967398,0.8764967426939257,0.022072699477399746,489
