mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__sv1__kernel,param_model__sv1__gamma,param_model__sv1__C,param_model__kn1__weights,param_model__kn1__p,param_model__kn1__n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,mean_test_score,std_test_score,rank_test_score
2.8366681848253523,0.37882456302444345,0.1543137345995222,0.01904981213648561,rbf,0.001,7.91875,uniform,2,9,"{'model__sv1__kernel': 'rbf', 'model__sv1__gamma': 0.001, 'model__sv1__C': 7.91875, 'model__kn1__weights': 'uniform', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 9}",0.8706293706293706,0.8776223776223777,0.9055944055944056,0.8776223776223777,0.8881118881118881,0.8386191273515218,0.8877917856791095,0.8779987618015788,0.019142492234161684,326
0.9175421851021903,0.029651766897166323,0.04629176003592355,0.009401692415400396,sigmoid,5.416833333333334,8.334999999999999,distance,2,3,"{'model__sv1__kernel': 'sigmoid', 'model__sv1__gamma': 5.416833333333334, 'model__sv1__C': 8.334999999999999, 'model__kn1__weights': 'distance', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 3}",0.8881118881118881,0.8916083916083917,0.8951048951048951,0.8846153846153846,0.8916083916083917,0.845562887816409,0.8562247611543387,0.8789766571456713,0.01823896118210409,278
1.1496706349509103,0.20662053224208127,0.045577594212123325,0.006262932959082025,sigmoid,2.167333333333333,9.1675,uniform,2,6,"{'model__sv1__kernel': 'sigmoid', 'model__sv1__gamma': 2.167333333333333, 'model__sv1__C': 9.1675, 'model__kn1__weights': 'uniform', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 6}",0.8706293706293706,0.8741258741258742,0.8986013986013985,0.8776223776223777,0.8881118881118881,0.8210627400768247,0.8808234019501625,0.8729967215882709,0.022899591808162915,512
1.019289527620588,0.16603831783138054,0.05386325291224888,0.01920467076037621,sigmoid,3.2504999999999997,7.08625,uniform,1,13,"{'model__sv1__kernel': 'sigmoid', 'model__sv1__gamma': 3.2504999999999997, 'model__sv1__C': 7.08625, 'model__kn1__weights': 'uniform', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 13}",0.8706293706293706,0.8706293706293706,0.9055944055944056,0.8566433566433567,0.8881118881118881,0.8104501132670147,0.9053481729538068,0.8724866682613162,0.030534739103711652,529
1.13967388016837,0.13770056717362406,0.049505608422415595,0.01127292788214565,sigmoid,2.438125,3.34,uniform,1,11,"{'model__sv1__kernel': 'sigmoid', 'model__sv1__gamma': 2.438125, 'model__sv1__C': 3.34, 'model__kn1__weights': 'uniform', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 11}",0.8741258741258742,0.8706293706293706,0.9055944055944056,0.8706293706293706,0.881118881118881,0.8174923667881415,0.9018516694573033,0.874491705477621,0.02682951132370097,476
1.2128219604492188,0.1711555892321488,0.05364727973937988,0.010277774560553206,sigmoid,0.001,9.58375,distance,2,16,"{'model__sv1__kernel': 'sigmoid', 'model__sv1__gamma': 0.001, 'model__sv1__C': 9.58375, 'model__kn1__weights': 'distance', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 16}",0.8636363636363635,0.8776223776223777,0.8951048951048951,0.8671328671328671,0.8776223776223776,0.8245346203092683,0.8807987786861027,0.8694931828734644,0.02062276718458095,676
1.1184512887682234,0.18099630069603645,0.05951660020010812,0.018681263664867293,sigmoid,1.3549583333333333,9.1675,uniform,1,20,"{'model__sv1__kernel': 'sigmoid', 'model__sv1__gamma': 1.3549583333333333, 'model__sv1__C': 9.1675, 'model__kn1__weights': 'uniform', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 20}",0.8566433566433567,0.8636363636363636,0.8881118881118881,0.8706293706293706,0.8811188811188811,0.8140451098197576,0.8877425391509899,0.8659896441586582,0.023916905730393612,770
3.7172322613852367,0.4025639894244422,0.20796935898917063,0.027868473625852347,rbf,5.146041666666667,3.34,distance,2,7,"{'model__sv1__kernel': 'rbf', 'model__sv1__gamma': 5.146041666666667, 'model__sv1__C': 3.34, 'model__kn1__weights': 'distance', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 7}",0.8881118881118881,0.8881118881118881,0.8986013986013985,0.8951048951048951,0.8986013986013985,0.8385945040874618,0.8842952821826061,0.8844887506859338,0.019433438542933536,33
3.8147381373814175,0.6136320656000454,0.23877334594726562,0.07305571635556599,rbf,0.813375,5.005,uniform,2,4,"{'model__sv1__kernel': 'rbf', 'model__sv1__gamma': 0.813375, 'model__sv1__C': 5.005, 'model__kn1__weights': 'uniform', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 4}",0.8881118881118881,0.8741258741258742,0.8846153846153846,0.8706293706293706,0.8881118881118881,0.8422141239042646,0.8665419087954299,0.8734786340420143,0.015054265820221657,505
3.8664413520268033,0.5955888810846981,0.19476584025791713,0.03442281159226081,rbf,2.7089166666666666,4.172499999999999,distance,1,12,"{'model__sv1__kernel': 'rbf', 'model__sv1__gamma': 2.7089166666666666, 'model__sv1__C': 4.172499999999999, 'model__kn1__weights': 'distance', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 12}",0.8916083916083917,0.881118881118881,0.9020979020979021,0.8881118881118881,0.8951048951048951,0.831576873830395,0.9053481729538068,0.8849952864037371,0.023086617425426868,23
1.0111960342952184,0.12614240992556675,0.05102600370134626,0.00879761242819397,sigmoid,0.5425833333333333,0.42625,uniform,1,15,"{'model__sv1__kernel': 'sigmoid', 'model__sv1__gamma': 0.5425833333333333, 'model__sv1__C': 0.42625, 'model__kn1__weights': 'uniform', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 15}",0.8671328671328671,0.8566433566433567,0.9055944055944056,0.8671328671328671,0.8916083916083917,0.813971240027578,0.8983551659607998,0.8714911848714666,0.028924525123891355,567
3.534896271569388,0.34232585342899763,0.19776524816240584,0.019759370501736335,rbf,1.6257499999999998,4.172499999999999,uniform,1,6,"{'model__sv1__kernel': 'rbf', 'model__sv1__gamma': 1.6257499999999998, 'model__sv1__C': 4.172499999999999, 'model__kn1__weights': 'uniform', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 6}",0.9020979020979021,0.8636363636363636,0.8811188811188811,0.8741258741258742,0.8741258741258742,0.8281296168620111,0.8598936274992612,0.8690183056380238,0.020965849992306707,677
3.4443967001778737,0.3131195746261778,0.19547333036150252,0.019806403398493454,rbf,2.979708333333333,1.675,uniform,1,2,"{'model__sv1__kernel': 'rbf', 'model__sv1__gamma': 2.979708333333333, 'model__sv1__C': 1.675, 'model__kn1__weights': 'uniform', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 2}",0.8531468531468531,0.8531468531468531,0.8426573426573427,0.8461538461538461,0.8356643356643356,0.8143159657244164,0.8593765389540038,0.8434945336353786,0.013933752926150027,994
3.531916652406965,0.3201952952474894,0.2081151349203927,0.0409204960837657,rbf,4.6044583333333335,2.0912499999999996,distance,1,4,"{'model__sv1__kernel': 'rbf', 'model__sv1__gamma': 4.6044583333333335, 'model__sv1__C': 2.0912499999999996, 'model__kn1__weights': 'distance', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 4}",0.8881118881118881,0.8776223776223776,0.8881118881118881,0.8811188811188811,0.8846153846153846,0.8631192750911061,0.8666650251157293,0.8784806742553223,0.00930770947226827,312
3.4824088300977434,0.3002153005117162,0.20596657480512345,0.02429138240687315,rbf,2.167333333333333,4.172499999999999,distance,2,17,"{'model__sv1__kernel': 'rbf', 'model__sv1__gamma': 2.167333333333333, 'model__sv1__C': 4.172499999999999, 'model__kn1__weights': 'distance', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 17}",0.8671328671328671,0.8776223776223777,0.9020979020979021,0.8671328671328671,0.8846153846153846,0.8315276273022751,0.873707278636856,0.8719766149343614,0.01994615845079158,559
3.5594729014805386,0.30270635780058025,0.2034651211329869,0.018925897847854145,rbf,4.6044583333333335,3.34,distance,2,13,"{'model__sv1__kernel': 'rbf', 'model__sv1__gamma': 4.6044583333333335, 'model__sv1__C': 3.34, 'model__kn1__weights': 'distance', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 13}",0.8706293706293706,0.8916083916083917,0.8986013986013985,0.8811188811188811,0.8811188811188811,0.8315276273022751,0.8807741554220427,0.8764826722573202,0.02012336360977534,436
3.517726148877825,0.1755079957742303,0.19389489718845912,0.017217126916161254,rbf,3.5212916666666665,2.5075,distance,2,5,"{'model__sv1__kernel': 'rbf', 'model__sv1__gamma': 3.5212916666666665, 'model__sv1__C': 2.5075, 'model__kn1__weights': 'distance', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 5}",0.881118881118881,0.8846153846153846,0.8846153846153846,0.8846153846153846,0.9020979020979021,0.8350487540628386,0.8773022751895991,0.8784877094736249,0.019143658291727962,296
3.495713778904506,0.22650347913045296,0.20903706550598145,0.02693391586321569,rbf,5.687625,7.5024999999999995,uniform,1,5,"{'model__sv1__kernel': 'rbf', 'model__sv1__gamma': 5.687625, 'model__sv1__C': 7.5024999999999995, 'model__kn1__weights': 'uniform', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 5}",0.8846153846153846,0.881118881118881,0.8951048951048951,0.8776223776223777,0.8811188811188811,0.8385206342952822,0.8807741554220427,0.8769821727568206,0.01654000620297097,397
3.5010063307625905,0.2997892486846683,0.19875097274780273,0.021716784141294406,rbf,0.5425833333333333,0.8425,distance,1,10,"{'model__sv1__kernel': 'rbf', 'model__sv1__gamma': 0.5425833333333333, 'model__sv1__C': 0.8425, 'model__kn1__weights': 'distance', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 10}",0.8846153846153846,0.8671328671328671,0.8986013986013985,0.8881118881118881,0.8986013986013985,0.8386437506155816,0.8947601694080567,0.8814952652980822,0.020203404620733726,132
1.4070497240339006,0.18100757876260662,0.061654703957693915,0.013029753357491304,sigmoid,2.7089166666666666,0.01,uniform,1,7,"{'model__sv1__kernel': 'sigmoid', 'model__sv1__gamma': 2.7089166666666666, 'model__sv1__C': 0.01, 'model__kn1__weights': 'uniform', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 7}",0.8846153846153846,0.8601398601398602,0.8881118881118881,0.8706293706293706,0.8741258741258742,0.8315276273022751,0.8877917856791095,0.8709916843719661,0.01869330779631793,604
0.9304766995566232,0.07887207811887852,0.0397226129259382,0.002753761747017187,sigmoid,3.5212916666666665,3.7562499999999996,distance,2,10,"{'model__sv1__kernel': 'sigmoid', 'model__sv1__gamma': 3.5212916666666665, 'model__sv1__C': 3.7562499999999996, 'model__kn1__weights': 'distance', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 10}",0.8671328671328671,0.8881118881118881,0.8951048951048951,0.8881118881118881,0.8881118881118881,0.831576873830395,0.8807495321579828,0.8769856903659721,0.02025864069292229,384
1.0238537447793143,0.11929521107958184,0.04886674880981445,0.009643214453193964,sigmoid,1.3549583333333333,5.8375,distance,2,20,"{'model__sv1__kernel': 'sigmoid', 'model__sv1__gamma': 1.3549583333333333, 'model__sv1__C': 5.8375, 'model__kn1__weights': 'distance', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 20}",0.8636363636363636,0.8776223776223777,0.8916083916083917,0.8671328671328671,0.9020979020979021,0.813971240027578,0.8772530286614794,0.8704745958267084,0.02617050287925877,640
3.511875561305455,0.3120057876288645,0.20425619397844588,0.03563155416678409,rbf,2.438125,2.0912499999999996,distance,2,4,"{'model__sv1__kernel': 'rbf', 'model__sv1__gamma': 2.438125, 'model__sv1__C': 2.0912499999999996, 'model__kn1__weights': 'distance', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 4}",0.8916083916083917,0.8916083916083917,0.9020979020979021,0.8951048951048951,0.8916083916083917,0.8736580321087364,0.873731901900916,0.8884882722910891,0.009970625754538977,1
0.9621144362858364,0.10771205879321263,0.04908789907182966,0.010036104495580372,sigmoid,3.5212916666666665,8.334999999999999,uniform,2,16,"{'model__sv1__kernel': 'sigmoid', 'model__sv1__gamma': 3.5212916666666665, 'model__sv1__C': 8.334999999999999, 'model__kn1__weights': 'uniform', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 16}",0.8671328671328671,0.8566433566433567,0.881118881118881,0.8496503496503496,0.8776223776223776,0.8068797399783315,0.8702846449325323,0.8584760310112423,0.023412737739178964,956
