mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__kn1__weights,param_model__kn1__p,param_model__kn1__n_neighbors,param_model__gb1__subsample,param_model__gb1__n_estimators,param_model__gb1__min_samples_split,param_model__gb1__min_samples_leaf,param_model__gb1__max_depth,param_model__gb1__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,mean_test_score,std_test_score,rank_test_score
1.0888784272330148,0.03648787326548469,0.02707839012145996,0.004658071782429728,distance,2,18,0.9895833333333333,9,2,3,5,0.40625,"{'model__kn1__weights': 'distance', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 18, 'model__gb1__subsample': 0.9895833333333333, 'model__gb1__n_estimators': 9, 'model__gb1__min_samples_split': 2, 'model__gb1__min_samples_leaf': 3, 'model__gb1__max_depth': 5, 'model__gb1__learning_rate': 0.40625}",0.8741258741258742,0.8671328671328671,0.8951048951048951,0.8671328671328671,0.8916083916083917,0.8104254900029548,0.8737811484290358,0.868473076219555,0.025850506865434025,435
2.1294384002685547,0.1010823594116661,0.02464468138558524,0.005007432699679778,uniform,2,4,0.9479166666666666,39,10,3,2,0.3125,"{'model__kn1__weights': 'uniform', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 4, 'model__gb1__subsample': 0.9479166666666666, 'model__gb1__n_estimators': 39, 'model__gb1__min_samples_split': 10, 'model__gb1__min_samples_leaf': 3, 'model__gb1__max_depth': 2, 'model__gb1__learning_rate': 0.3125}",0.8636363636363636,0.8846153846153846,0.8986013986013985,0.8531468531468531,0.8776223776223776,0.8244853737811484,0.859745887914902,0.865979091331204,0.0222897433347015,563
12.334787334714617,0.9987583119287071,0.026720421654837474,0.0038337354313935984,distance,1,4,0.8645833333333334,81,4,3,8,0.06875,"{'model__kn1__weights': 'distance', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 4, 'model__gb1__subsample': 0.8645833333333334, 'model__gb1__n_estimators': 81, 'model__gb1__min_samples_split': 4, 'model__gb1__min_samples_leaf': 3, 'model__gb1__max_depth': 8, 'model__gb1__learning_rate': 0.06875}",0.8706293706293706,0.8951048951048951,0.9055944055944056,0.8776223776223776,0.8881118881118881,0.8209642470205851,0.8737811484290358,0.8759726189303655,0.025221452383467728,71
2.437196833746774,0.23788189891903527,0.025292226246425083,0.006162610862671395,uniform,1,2,0.9791666666666666,33,2,2,3,0.14375,"{'model__kn1__weights': 'uniform', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 2, 'model__gb1__subsample': 0.9791666666666666, 'model__gb1__n_estimators': 33, 'model__gb1__min_samples_split': 2, 'model__gb1__min_samples_leaf': 2, 'model__gb1__max_depth': 3, 'model__gb1__learning_rate': 0.14375}",0.8461538461538463,0.8601398601398601,0.8706293706293706,0.8531468531468531,0.8321678321678321,0.8034078597458879,0.8527282576578352,0.8454819828059265,0.020376642993161807,961
6.258854355130877,0.6059766223337403,0.022222655160086497,0.0020526901822179003,distance,2,2,0.8125,45,10,3,8,0.425,"{'model__kn1__weights': 'distance', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 2, 'model__gb1__subsample': 0.8125, 'model__gb1__n_estimators': 45, 'model__gb1__min_samples_split': 10, 'model__gb1__min_samples_leaf': 3, 'model__gb1__max_depth': 8, 'model__gb1__learning_rate': 0.425}",0.8461538461538461,0.8671328671328671,0.9020979020979021,0.8776223776223777,0.8986013986013985,0.8315276273022751,0.8808234019501625,0.8719942029801185,0.024061549166012264,191
1.8348407404763358,0.15888499403671863,0.025933572224208286,0.002806623063886543,distance,1,8,0.875,59,4,2,1,0.425,"{'model__kn1__weights': 'distance', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 8, 'model__gb1__subsample': 0.875, 'model__gb1__n_estimators': 59, 'model__gb1__min_samples_split': 4, 'model__gb1__min_samples_leaf': 2, 'model__gb1__max_depth': 1, 'model__gb1__learning_rate': 0.425}",0.8776223776223776,0.8566433566433567,0.8776223776223777,0.8881118881118881,0.8811188811188811,0.8314783807741555,0.8808480252142223,0.8704921838724654,0.0183075717957092,277
1.7643216678074427,0.20353276844009305,0.026075635637555803,0.003005555250070379,distance,1,3,0.8541666666666666,55,1,3,1,0.05,"{'model__kn1__weights': 'distance', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 3, 'model__gb1__subsample': 0.8541666666666666, 'model__gb1__n_estimators': 55, 'model__gb1__min_samples_split': 1, 'model__gb1__min_samples_leaf': 3, 'model__gb1__max_depth': 1, 'model__gb1__learning_rate': 0.05}",0.8531468531468531,0.8601398601398601,0.8951048951048951,0.8776223776223777,0.8496503496503496,0.8209396237565252,0.8738303949571555,0.8614906220540022,0.02203387468875557,758
2.615774631500244,0.2867287314298629,0.02700042724609375,0.002828680265454862,distance,2,16,1.0,51,7,1,2,0.36874999999999997,"{'model__kn1__weights': 'distance', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 16, 'model__gb1__subsample': 1.0, 'model__gb1__n_estimators': 51, 'model__gb1__min_samples_split': 7, 'model__gb1__min_samples_leaf': 1, 'model__gb1__max_depth': 2, 'model__gb1__learning_rate': 0.36874999999999997}",0.8706293706293706,0.8601398601398601,0.8706293706293706,0.8706293706293706,0.8881118881118881,0.8104501132670147,0.8702846449325323,0.8629820883342011,0.022765775110938268,720
0.991854190826416,0.08994813804297638,0.02786752155848912,0.0070137621619188245,uniform,1,3,0.8958333333333333,12,10,1,3,0.36874999999999997,"{'model__kn1__weights': 'uniform', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 3, 'model__gb1__subsample': 0.8958333333333333, 'model__gb1__n_estimators': 12, 'model__gb1__min_samples_split': 10, 'model__gb1__min_samples_leaf': 1, 'model__gb1__max_depth': 3, 'model__gb1__learning_rate': 0.36874999999999997}",0.8531468531468531,0.8636363636363635,0.8951048951048951,0.8706293706293706,0.8531468531468531,0.8245099970452083,0.8808480252142223,0.8630031939891094,0.020988220541498598,710
1.4714019639151437,0.14878574206751444,0.028719561440604075,0.003230851175536278,uniform,1,9,0.75,48,6,3,1,0.25625,"{'model__kn1__weights': 'uniform', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 9, 'model__gb1__subsample': 0.75, 'model__gb1__n_estimators': 48, 'model__gb1__min_samples_split': 6, 'model__gb1__min_samples_leaf': 3, 'model__gb1__max_depth': 1, 'model__gb1__learning_rate': 0.25625}",0.8776223776223776,0.8601398601398601,0.8776223776223777,0.8846153846153846,0.8846153846153846,0.8279818772776519,0.8632670146754654,0.8679806109383575,0.018604733565964707,449
6.496605566569737,0.5573825821169444,0.03379283632550921,0.009522537771221322,distance,1,15,1.0,77,2,5,4,0.2375,"{'model__kn1__weights': 'distance', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 15, 'model__gb1__subsample': 1.0, 'model__gb1__n_estimators': 77, 'model__gb1__min_samples_split': 2, 'model__gb1__min_samples_leaf': 5, 'model__gb1__max_depth': 4, 'model__gb1__learning_rate': 0.2375}",0.8776223776223776,0.881118881118881,0.8951048951048951,0.8846153846153846,0.8916083916083917,0.8174677435240816,0.8633162612035852,0.8729791335425139,0.024595881332451944,160
1.0006237711225237,0.04477731054177085,0.03071413721357073,0.006296113007335718,distance,1,15,0.78125,12,5,2,3,0.0875,"{'model__kn1__weights': 'distance', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 15, 'model__gb1__subsample': 0.78125, 'model__gb1__n_estimators': 12, 'model__gb1__min_samples_split': 5, 'model__gb1__min_samples_leaf': 2, 'model__gb1__max_depth': 3, 'model__gb1__learning_rate': 0.0875}",0.8636363636363636,0.8531468531468531,0.8951048951048951,0.8636363636363636,0.8776223776223776,0.8420910075839654,0.8703092681965922,0.8665067327039158,0.01579766611568799,521
1.9337387425558907,0.22168863638657935,0.02743431500026158,0.005824691788037524,uniform,1,8,0.8645833333333334,18,7,3,5,0.05,"{'model__kn1__weights': 'uniform', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 8, 'model__gb1__subsample': 0.8645833333333334, 'model__gb1__n_estimators': 18, 'model__gb1__min_samples_split': 7, 'model__gb1__min_samples_leaf': 3, 'model__gb1__max_depth': 5, 'model__gb1__learning_rate': 0.05}",0.8636363636363636,0.8636363636363636,0.8776223776223776,0.8776223776223776,0.8776223776223776,0.8350241307987787,0.8703092681965922,0.8664961798764615,0.014105538134177417,527
3.7426815714154924,0.3513945325722621,0.032648631504603794,0.0051684862343926875,uniform,1,15,0.9583333333333333,77,10,1,2,0.0875,"{'model__kn1__weights': 'uniform', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 15, 'model__gb1__subsample': 0.9583333333333333, 'model__gb1__n_estimators': 77, 'model__gb1__min_samples_split': 10, 'model__gb1__min_samples_leaf': 1, 'model__gb1__max_depth': 2, 'model__gb1__learning_rate': 0.0875}",0.8636363636363636,0.8496503496503496,0.8741258741258742,0.8636363636363636,0.881118881118881,0.8385945040874618,0.8737811484290358,0.8635062120977615,0.013841808548475835,687
3.287818874631609,0.34326323357626237,0.025075674057006836,0.0023204198207407633,uniform,2,14,0.8333333333333334,53,5,2,3,0.0875,"{'model__kn1__weights': 'uniform', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 14, 'model__gb1__subsample': 0.8333333333333334, 'model__gb1__n_estimators': 53, 'model__gb1__min_samples_split': 5, 'model__gb1__min_samples_leaf': 2, 'model__gb1__max_depth': 3, 'model__gb1__learning_rate': 0.0875}",0.8671328671328671,0.8601398601398602,0.8601398601398601,0.8636363636363636,0.8776223776223776,0.813971240027578,0.8562493844183985,0.8569845647310437,0.01868441734870854,879
4.580117838723319,0.24513876748790642,0.024722746440342495,0.005442691491757794,uniform,2,7,0.875,54,7,5,4,0.2375,"{'model__kn1__weights': 'uniform', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 7, 'model__gb1__subsample': 0.875, 'model__gb1__n_estimators': 54, 'model__gb1__min_samples_split': 7, 'model__gb1__min_samples_leaf': 5, 'model__gb1__max_depth': 4, 'model__gb1__learning_rate': 0.2375}",0.8846153846153846,0.8986013986013985,0.8916083916083917,0.8741258741258742,0.8916083916083917,0.8139219934994583,0.8633162612035852,0.873971099323212,0.026890107716533128,125
1.4672961575644357,0.20998928770428313,0.03229144641331264,0.008904813930934917,distance,1,13,0.78125,27,8,1,2,0.29375,"{'model__kn1__weights': 'distance', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 13, 'model__gb1__subsample': 0.78125, 'model__gb1__n_estimators': 27, 'model__gb1__min_samples_split': 8, 'model__gb1__min_samples_leaf': 1, 'model__gb1__max_depth': 2, 'model__gb1__learning_rate': 0.29375}",0.8706293706293706,0.8776223776223776,0.8811188811188811,0.8811188811188811,0.8741258741258742,0.8385698808234019,0.8632670146754654,0.8694931828734646,0.013908712878822857,336
2.6940107004983083,0.34875729945859735,0.026793956756591797,0.009649884316239121,distance,2,4,0.7916666666666666,43,4,5,3,0.125,"{'model__kn1__weights': 'distance', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 4, 'model__gb1__subsample': 0.7916666666666666, 'model__gb1__n_estimators': 43, 'model__gb1__min_samples_split': 4, 'model__gb1__min_samples_leaf': 5, 'model__gb1__max_depth': 3, 'model__gb1__learning_rate': 0.125}",0.8706293706293706,0.8811188811188811,0.9055944055944056,0.8601398601398602,0.8916083916083917,0.8174677435240816,0.8703092681965922,0.8709811315445117,0.025934333459232742,259
11.812664440699987,1.172506843986296,0.023717096873692105,0.005523861796363433,uniform,2,7,0.9375,76,4,5,8,0.44375,"{'model__kn1__weights': 'uniform', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 7, 'model__gb1__subsample': 0.9375, 'model__gb1__n_estimators': 76, 'model__gb1__min_samples_split': 4, 'model__gb1__min_samples_leaf': 5, 'model__gb1__max_depth': 8, 'model__gb1__learning_rate': 0.44375}",0.8706293706293706,0.8986013986013985,0.8881118881118881,0.8776223776223776,0.8846153846153846,0.8139466167635181,0.8667881414360288,0.8714735968257096,0.025509897526966085,244
7.515329769679478,0.6778433280788702,0.032862799508231025,0.0016195773795438814,distance,1,16,0.9166666666666666,96,5,5,4,0.2,"{'model__kn1__weights': 'distance', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 16, 'model__gb1__subsample': 0.9166666666666666, 'model__gb1__n_estimators': 96, 'model__gb1__min_samples_split': 5, 'model__gb1__min_samples_leaf': 5, 'model__gb1__max_depth': 4, 'model__gb1__learning_rate': 0.2}",0.8846153846153846,0.8846153846153846,0.8986013986013985,0.8776223776223776,0.8881118881118881,0.8174923667881415,0.8632670146754654,0.873475116432863,0.02492631903889308,142
4.465674774987357,0.4658211046349344,0.03129243850708008,0.006919879652270147,distance,1,12,0.9166666666666666,97,10,1,2,0.25625,"{'model__kn1__weights': 'distance', 'model__kn1__p': 1, 'model__kn1__n_neighbors': 12, 'model__gb1__subsample': 0.9166666666666666, 'model__gb1__n_estimators': 97, 'model__gb1__min_samples_split': 10, 'model__gb1__min_samples_leaf': 1, 'model__gb1__max_depth': 2, 'model__gb1__learning_rate': 0.25625}",0.881118881118881,0.8636363636363636,0.8846153846153846,0.8776223776223776,0.8811188811188811,0.8385452575593421,0.859770511178962,0.8694896652643129,0.015360827652853536,340
2.9192194598061696,0.2633878045813205,0.023786749158586775,0.006334357136715356,uniform,2,3,0.8541666666666666,24,10,5,6,0.38749999999999996,"{'model__kn1__weights': 'uniform', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 3, 'model__gb1__subsample': 0.8541666666666666, 'model__gb1__n_estimators': 24, 'model__gb1__min_samples_split': 10, 'model__gb1__min_samples_leaf': 5, 'model__gb1__max_depth': 6, 'model__gb1__learning_rate': 0.38749999999999996}",0.881118881118881,0.8881118881118881,0.9055944055944056,0.8741258741258742,0.8881118881118881,0.820988870284645,0.863340884467645,0.8744846702593182,0.02498383428916001,96
4.017453534262521,0.38341332180491305,0.02750434194292341,0.004164295505922037,uniform,2,16,0.7604166666666666,72,6,2,3,0.06875,"{'model__kn1__weights': 'uniform', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 16, 'model__gb1__subsample': 0.7604166666666666, 'model__gb1__n_estimators': 72, 'model__gb1__min_samples_split': 6, 'model__gb1__min_samples_leaf': 2, 'model__gb1__max_depth': 3, 'model__gb1__learning_rate': 0.06875}",0.8706293706293706,0.8671328671328671,0.8566433566433567,0.8531468531468531,0.8776223776223776,0.7999359795134443,0.8597951344430218,0.8549865627330416,0.023798045649919473,916
12.275745800563268,1.2124105455199135,0.02500809941973005,0.0021553031369538947,distance,2,11,1.0,98,3,1,6,0.2,"{'model__kn1__weights': 'distance', 'model__kn1__p': 2, 'model__kn1__n_neighbors': 11, 'model__gb1__subsample': 1.0, 'model__gb1__n_estimators': 98, 'model__gb1__min_samples_split': 3, 'model__gb1__min_samples_leaf': 1, 'model__gb1__max_depth': 6, 'model__gb1__learning_rate': 0.2}",0.8706293706293706,0.9055944055944056,0.8811188811188811,0.8776223776223776,0.8986013986013985,0.8280065005417119,0.8773022751895991,0.8769821727568206,0.023122808905535697,35
