,best_params,best_score,mean_score_history,param_history,model,data
0,{'C': 0.9998479486853106},0.7540000000000001,"[0.752 0.754 0.753 0.752 0.753 0.751 0.752 0.754 0.747 0.754 0.7   0.753
 0.754 0.738 0.754 0.753 0.754 0.749 0.749 0.751]","{'C': [0.4143025161848017, 0.9998479486853106, 0.5612808001937325, 0.8686529703619094, 0.5812414479494346, 0.309209084827048, 0.46403700520225444, 0.9960177762742183, 0.19008614858461217, 0.729794591607424, 0.0011995944605487391, 0.6802110707651927, 0.8001464343730587, 0.11167332772674084, 0.7664061706893677, 0.946811734100994, 0.7849154212128557, 0.2532656467012433, 0.36198692571342617, 0.6329826176227852]}",logistic-regression,credit-g
0,{'l1_ratio': 0.15614315177691787},0.756,"[0.749 0.754 0.753 0.745 0.748 0.749 0.745 0.749 0.753 0.749 0.755 0.756
 0.745 0.754 0.755 0.75  0.755 0.755 0.747 0.755]","{'l1_ratio': [0.6926628747536558, 0.02634037525894954, 0.2910019144601134, 0.8412315096717384, 0.47767923746455193, 0.48836602123719075, 0.9243590509495001, 0.4903810919243881, 0.2910836534133469, 0.5264360859242472, 0.05587012935445767, 0.15614315177691787, 0.999968911543069, 0.0010186507740047456, 0.20801678550137023, 0.37869702102944997, 0.13365143962137818, 0.14727127183782285, 0.6103886066443002, 0.13752134576994426]}",logistic-regression,credit-g
0,{'C': 0.12322291253601478},0.759,"[0.741 0.758 0.746 0.736 0.75  0.751 0.739 0.756 0.744 0.747 0.7   0.755
 0.758 0.759 0.755 0.756 0.751 0.741 0.757 0.748]","{'C': [0.7834686356782864, 0.17561825055317998, 0.6823897315127673, 0.9723972601416582, 0.5526802763464393, 0.5592395473294118, 0.9351880491927587, 0.3664072788872271, 0.7425944496973345, 0.6753116409018646, 0.001, 0.2530525754758257, 0.4323394769692359, 0.12322291253601478, 0.30897033130614787, 0.47561641147374817, 0.614229477073361, 0.8613599256102438, 0.14479233985836232, 0.09221775042745808]}",svc,credit-g
0,{'degree': 4},0.751,"[0.749 0.75  0.749 0.74  0.74  0.749 0.751 0.75  0.751 0.735 0.744 0.745
 0.741 0.744 0.75  0.749 0.751 0.749 0.751 0.735]","{'degree': [6, 5, 7, 9, 9, 6, 4, 5, 4, 10, 1, 3, 8, 2, 5, 6, 4, 7, 4, 10]}",svc,credit-g
0,{'coef0': 0.07952586530359171},0.749,"[0.748 0.729 0.74  0.726 0.729 0.74  0.74  0.742 0.741 0.741 0.746 0.742
 0.724 0.748 0.748 0.748 0.74  0.749 0.749 0.742]","{'coef0': [0.09473110748759436, 0.780042237546721, 0.5713966551349219, 0.9090252332556349, 0.7580381935458579, 0.589613709923381, 0.5466500144518064, 0.23594557746138883, 0.618231301607009, 0.5595527016948592, 0.0001, 0.38558294165356854, 0.9999506282247345, 0.06692363959846749, 0.10940524312404622, 0.06957794756151454, 0.4598861678555808, 0.07952586530359171, 0.07440075628606761, 0.3115061953955911]}",svc,credit-g
0,{'gamma': 0.06885987447391714},0.758,"[0.737 0.706 0.737 0.737 0.737 0.738 0.737 0.737 0.738 0.737 0.738 0.738
 0.739 0.732 0.738 0.738 0.749 0.737 0.736 0.758]","{'gamma': [0.7012536111113924, 0.01876945949731707, 0.5129600084299856, 0.2330833656342172, 0.24151743733135736, 0.4361462901349568, 0.24809872706486938, 0.591513525575408, 0.8703984021898676, 0.6736599798636212, 1.0, 0.9404703258546722, 0.3349994100681118, 0.14282697209617606, 0.37462678421440576, 0.7925232823250851, 0.08605542481696155, 0.7486425482562691, 0.10574139977624769, 0.06885987447391714]}",svc,credit-g
0,{'loss': 'exponential'},0.766,"[0.745 0.738 0.749 0.74  0.736 0.723 0.737 0.74  0.748 0.766 0.754 0.734
 0.733 0.735 0.737 0.738 0.742 0.739 0.735 0.744]","{'loss': ['deviance', 'exponential', 'exponential', 'deviance', 'exponential', 'deviance', 'exponential', 'deviance', 'deviance', 'exponential', 'exponential', 'exponential', 'deviance', 'exponential', 'exponential', 'deviance', 'exponential', 'exponential', 'exponential', 'exponential']}",gradient-boosting,credit-g
0,{'learning_rate': 0.15966908302098695},0.757,"[0.737 0.736 0.748 0.738 0.739 0.746 0.75  0.752 0.749 0.757 0.752 0.751
 0.74  0.742 0.757 0.75  0.75  0.75  0.7   0.746]","{'learning_rate': [0.2036638006248856, 0.5343575314171767, 0.3877927145383876, 0.5118159221671335, 0.26776119760499256, 0.11249281773846989, 0.04538021989818737, 0.3506412759981037, 0.2880038241771599, 0.15966908302098695, 0.14806699433902504, 0.1703416827179787, 0.3206272149265323, 0.3671883460404056, 0.06463862832099913, 0.07481939176465438, 0.05753478857733518, 0.15809334275935322, 0.007781055393875235, 0.4300441492406121]}",gradient-boosting,credit-g
0,{'n_estimators': 50},0.7659999999999999,"[0.744 0.755 0.745 0.747 0.749 0.751 0.743 0.749 0.751 0.741 0.751 0.745
 0.745 0.74  0.741 0.738 0.746 0.766 0.731 0.742]","{'n_estimators': [111, 12, 141, 19, 143, 41, 137, 152, 23, 18, 26, 12, 25, 40, 128, 11, 41, 50, 164, 174]}",gradient-boosting,credit-g
0,{'subsample': 0.999943697021494},0.764,"[0.737 0.74  0.746 0.745 0.738 0.741 0.746 0.735 0.731 0.752 0.74  0.74
 0.733 0.74  0.746 0.764 0.745 0.7   0.756 0.74 ]","{'subsample': [0.6126013713266423, 0.23167160292529154, 0.4056206573600292, 0.5177866961792741, 0.11945451136779246, 0.37467622374211185, 0.4939907977219018, 0.5202828788197736, 0.18286456573722465, 0.8286231721361521, 0.8298319426968497, 0.9541810288615047, 0.0814934156606867, 0.7302777558817404, 0.9999959841048994, 0.999943697021494, 0.9998456614230764, 0.0010801225970513634, 0.999840066733955, 0.9997633776588729]}",gradient-boosting,credit-g
