,best_params,best_score,mean_score_history,param_history,model,data
0,{'C': 0.7952695864215633},0.9340052816901409,"[0.93275381 0.93400479 0.93149941 0.93337979 0.93306778 0.93338028
 0.75748777 0.93338028 0.9330668  0.9330668  0.93400528 0.93400479
 0.9333793  0.9330668  0.93337881 0.93369229 0.93400381 0.93338077
 0.93400528 0.93369229]","{'C': [0.6649022745515676, 0.4322361947042064, 0.23584205507554443, 0.8513884903717905, 0.987663643291373, 0.9704606613043316, 0.0027673392554341575, 0.9734901026969084, 0.6537626689991168, 0.6613040409047033, 0.7952695864215633, 0.4148211313992147, 0.45207691114697995, 0.6048382888181636, 0.44464559793672276, 0.5200848346604824, 0.3260019636650866, 0.9393807997376686, 0.8006042007579863, 0.5175719545142011]}",logistic-regression,kr-vs-kp
0,{'l1_ratio': 0.9682508183886422},0.9349422926447574,"[0.9330668  0.93306631 0.93337979 0.93369278 0.93275381 0.93212784
 0.93337979 0.93306583 0.93400528 0.93369278 0.93337979 0.9330668
 0.93150186 0.93306583 0.93494229 0.9343168  0.93462979 0.93337979
 0.93306583 0.93275333]","{'l1_ratio': [0.5343878417646939, 0.7944291453419624, 0.34757251986838184, 0.3065585223535006, 0.585414040703842, 0.6736137067054364, 0.4263023996401124, 0.8452936064818689, 0.1476089624537808, 0.10159520662156613, 0.4633608532237176, 0.48338209980606045, 0.6079744118388833, 0.8520347446631988, 0.9682508183886422, 0.9384140040462929, 0.947668401354536, 0.3563740477617299, 0.8413418015156233, 0.7643943640829662]}",logistic-regression,kr-vs-kp
0,{'C': 0.8818074344987952},0.9759086463223788,"[0.9740312  0.97465669 0.93306485 0.94525479 0.96871919 0.96027142
 0.97434419 0.96965718 0.97434419 0.97309321 0.97434419 0.97465718
 0.9740312  0.97215522 0.97121772 0.97496968 0.97590865 0.97590865
 0.97434419 0.97434468]","{'C': [0.5824654684942875, 0.975940897443118, 0.0479654632699197, 0.10639053763128259, 0.3571902594315328, 0.21136240509770723, 0.6579893113101005, 0.33914832601093514, 0.6130923215151033, 0.5683967733668468, 0.6219446663278941, 0.7303859197353103, 0.5829120064342451, 0.5404467279491278, 0.5196156603081743, 0.8200837058175015, 0.8818074344987952, 0.8895471865442557, 0.6421149348937552, 0.7452114888162454]}",svc,kr-vs-kp
0,{'degree': 4},0.9677777777777777,"[0.95400871 0.94619327 0.95651311 0.95369523 0.95557316 0.93244083
 0.94619327 0.96777778 0.95369474 0.95369474 0.95369523 0.96777778
 0.96183441 0.96183441 0.95369523 0.95369523 0.94619327 0.95369523
 0.95369523 0.95369523]","{'degree': [9, 2, 6, 10, 8, 1, 2, 4, 7, 7, 10, 4, 5, 5, 10, 10, 2, 10, 10, 10]}",svc,kr-vs-kp
0,{'coef0': 0.9487252956914928},0.9759081572769952,"[0.97497017 0.97590816 0.97434468 0.97434468 0.97434468 0.97590816
 0.97434468 0.97465718 0.97497017 0.97465718 0.97434468 0.97590816
 0.97559517 0.97465718 0.97590816 0.97559517 0.97465767 0.97528218
 0.97590816 0.97590816]","{'coef0': [0.5828335156473728, 0.9487252956914928, 0.24052576129623915, 0.5098064022965432, 0.05743171322649081, 0.7089785951573186, 0.09481580818833321, 0.35031072964026694, 0.31310900718622725, 0.36072100759904635, 0.11890452208792233, 0.745177174387498, 0.7969184144357707, 0.3764955810431801, 0.7162711796082022, 0.8599840537353507, 0.5489231379475846, 0.9691674408448114, 0.9140938712903237, 0.9348151569543045]}",svc,kr-vs-kp
0,{'gamma': 0.08840188100986708},0.9743441901408451,"[0.96590131 0.96590131 0.96590131 0.96590131 0.96277387 0.96590131
 0.96934517 0.96590131 0.96590131 0.96590131 0.96590131 0.97434419
 0.96590131 0.96590131 0.96590131 0.96590131 0.96590131 0.96590131
 0.96590131 0.96590131]","{'gamma': [0.7563911082847952, 0.43722876387139376, 0.8313207315528828, 0.6215470087267126, 0.06362698472883344, 0.4637222482813824, 0.06923665732727181, 0.7663692492224297, 0.5015678221899952, 0.527701651157706, 0.5713586316356007, 0.08840188100986708, 0.4873842075796697, 0.9074321563965714, 0.7113686223799632, 0.8149547667724739, 0.4822622522624029, 0.6285879265095701, 0.2362100895249894, 0.5774021222197877]}",svc,kr-vs-kp
0,{'loss': 'deviance'},0.9596503325508607,[0.95965033 0.94620354],"{'loss': ['deviance', 'exponential']}",gradient-boosting,kr-vs-kp
0,{'learning_rate': 0.6338601610039699},0.9637113654147104,"[0.94932805 0.9599599  0.95558147 0.95119865 0.95559077 0.95683294
 0.95965278 0.95183294 0.95714642 0.95714789 0.95652093 0.9505849
 0.947143   0.94401164 0.9549555  0.95933637 0.9524511  0.95183734
 0.96371137 0.94307707]","{'learning_rate': [0.30435583800565463, 0.5069191714295315, 0.4187241956927565, 0.7709288011023224, 0.8132586261676048, 0.39343766017733134, 0.6371682264500461, 0.3994278647595101, 0.8465476375592578, 0.37587814492868243, 0.6332891638614393, 0.1675308472897655, 0.6646883344623967, 0.13476151984268453, 0.563612006602762, 0.6766954611553327, 0.3914783272319025, 0.7199604072619451, 0.6338601610039699, 0.12611885864099015]}",gradient-boosting,kr-vs-kp
0,{'n_estimators': 171},0.9662113654147106,"[0.95121088 0.96027484 0.95465327 0.95182756 0.96465278 0.94213908
 0.95308294 0.96183881 0.95839251 0.9558974  0.95495941 0.93212784
 0.93932072 0.93525773 0.96621137 0.95151555 0.95746088 0.95777387
 0.96121626 0.9471386 ]","{'n_estimators': [155, 111, 57, 123, 136, 32, 199, 141, 123, 89, 77, 13, 30, 15, 171, 97, 170, 124, 179, 53]}",gradient-boosting,kr-vs-kp
0,{'subsample': 0.9908263511918325},0.9627714201877934,"[0.91397447 0.95620599 0.96059028 0.96277142 0.95683245 0.94307463
 0.9437055  0.94338615 0.95496381 0.94682952 0.95589935 0.9549599
 0.95871088 0.94683001 0.95402387 0.95246381 0.9352543  0.95746479
 0.94558147 0.95370745]","{'subsample': [0.02102959533567621, 0.7822075552937237, 0.7552648479108424, 0.9908263511918325, 0.8610081706237818, 0.2001594420186289, 0.2789482371996392, 0.25231509075752817, 0.6297366588721434, 0.6115217740961542, 0.5930946167691648, 0.7706709281266484, 0.7168788768711624, 0.34273256848343175, 0.7328787304200436, 0.8166348981086072, 0.13137785620758605, 0.6619355233952517, 0.4313606560524745, 0.7446821980968877]}",gradient-boosting,kr-vs-kp
0,{'C': 0.5329648557867226},0.8587677725118483,"[0.85687204 0.85876777 0.85687204 0.84834123 0.85592417 0.8549763
 0.84265403 0.67298578 0.85308057 0.84739336 0.85687204 0.8549763
 0.85308057 0.85687204 0.8549763  0.84265403 0.8464455  0.8549763
 0.8549763  0.85118483]","{'C': [0.9552632335226818, 0.5329648557867226, 0.951649210838353, 0.1812087412157625, 0.867161454437267, 0.34732190679643216, 0.11588174427656425, 0.0029005132623297443, 0.27540700994588635, 0.17124826213508892, 0.9659227922527961, 0.4168782761491956, 0.28667477871648, 0.45513129335973457, 0.40264995250375224, 0.07922482245036172, 0.1503234095920431, 0.742025742458986, 0.8500610020329362, 0.21698364303205417]}",logistic-regression,qsar-biodeq
0,{'l1_ratio': 0.7754006072157578},0.8549763033175356,"[0.85402844 0.8549763  0.8549763  0.85308057 0.85402844 0.85402844
 0.8549763  0.85402844 0.85402844 0.8549763  0.8549763  0.8549763
 0.8549763  0.85402844 0.8549763  0.8549763  0.85308057 0.85308057
 0.85402844 0.85308057]","{'l1_ratio': [0.03622495941861418, 0.7754006072157578, 0.17483960651953337, 0.9699715982467029, 0.9902861796993777, 0.6495241640627356, 0.7483137821947417, 0.6383034725009352, 0.9853038529343839, 0.31228395976418916, 0.7726762972268385, 0.6659826764664231, 0.11804880650389181, 0.1827564847917598, 0.6885960203722865, 0.13907530091002396, 0.5020502772848509, 0.9645314319455832, 0.5436146360140103, 0.9434037929545169]}",logistic-regression,qsar-biodeq
0,{'C': 0.4576995050633357},0.8606635071090049,"[0.85592417 0.8464455  0.85971564 0.8436019  0.85118483 0.84265403
 0.79620853 0.84834123 0.85023697 0.8464455  0.85118483 0.84454976
 0.8436019  0.82369668 0.84454976 0.84454976 0.84739336 0.86066351
 0.84834123 0.85118483]","{'C': [0.5450062017345643, 0.19865836543853405, 0.44312766457619224, 0.1729087621777184, 0.6165643430780403, 0.16305258175131024, 0.015613987555975466, 0.7039963617680741, 0.7271173448797464, 0.21751685167730403, 0.33583312463002163, 0.9444970595545162, 0.9950996234253419, 0.06285808541092668, 0.9470595641877277, 0.9626466544830897, 0.8662634975197765, 0.4576995050633357, 0.8575489860789198, 0.6082393273644001]}",svc,qsar-biodeq
0,{'degree': 2},0.8644549763033176,"[0.8492891  0.79526066 0.82938389 0.79526066 0.78293839 0.86445498
 0.81611374 0.86445498 0.86445498 0.85023697 0.78862559 0.78862559
 0.85592417 0.85023697 0.85592417 0.8492891  0.81611374 0.82938389
 0.82938389 0.78293839]","{'degree': [4, 8, 5, 8, 10, 2, 6, 2, 2, 3, 9, 9, 1, 3, 1, 4, 6, 5, 5, 10]}",svc,qsar-biodeq
0,{'coef0': 0.8207659291958541},0.8625592417061612,"[0.8492891  0.85876777 0.85118483 0.84739336 0.85781991 0.86066351
 0.84739336 0.85876777 0.86066351 0.84834123 0.85592417 0.85687204
 0.85687204 0.85971564 0.85118483 0.86255924 0.86161137 0.85971564
 0.8492891  0.84834123]","{'coef0': [0.11615802654786757, 0.6400845458043604, 0.19514801207455626, 0.0660968278537165, 0.5219894494714457, 0.7015353345087753, 0.08881839161101997, 0.5880788259288424, 0.8571101921022772, 0.29457529427677254, 0.4838969535782164, 0.45327582333375754, 0.4813178363605077, 0.6292058084122714, 0.41138402865663726, 0.8207659291958541, 0.8771809185644097, 0.6786401907405027, 0.17234648664252653, 0.06846504968507712]}",svc,qsar-biodeq
0,{'gamma': 0.07334533371458125},0.8559241706161137,"[0.80189573 0.80189573 0.84454976 0.8028436  0.80189573 0.80094787
 0.79905213 0.80094787 0.8056872  0.8        0.85592417 0.80189573
 0.8056872  0.80189573 0.8028436  0.81421801 0.8        0.79905213
 0.82843602 0.84265403]","{'gamma': [0.6052561903024704, 0.8708809348448862, 0.10717773174249005, 0.5248064286782116, 0.8736854938117605, 0.5654334586830311, 0.433211945672155, 0.9541902488254256, 0.7546783360891954, 0.565004151861289, 0.07334533371458125, 0.579980092240695, 0.723186177688872, 0.5305982441275303, 0.6326075810141516, 0.2741141849718066, 0.9740246587619361, 0.45015030281200835, 0.20593790671815984, 0.16386212890789667]}",svc,qsar-biodeq
0,{'loss': 'deviance'},0.8530805687203792,[0.85308057 0.84265403],"{'loss': ['deviance', 'exponential']}",gradient-boosting,qsar-biodeq
0,{'learning_rate': 0.40756383808394714},0.8597156398104264,"[0.85971564 0.84265403 0.83696682 0.8464455  0.8492891  0.85118483
 0.83791469 0.8464455  0.83791469 0.84739336 0.85308057 0.83791469
 0.85023697 0.83601896 0.8464455  0.84739336 0.85781991 0.83981043
 0.85023697 0.8492891 ]","{'learning_rate': [0.40756383808394714, 0.8201348122641963, 0.8763824674248238, 0.491985325945979, 0.13046985823266075, 0.6907423006487085, 0.6209723400853867, 0.05351841125573188, 0.6818912622575931, 0.5431616735344534, 0.2211134427153075, 0.20904539851438037, 0.05835411096935726, 0.7173027335699964, 0.7435749968410822, 0.6589875329486248, 0.6183870261410768, 0.8540982630954093, 0.3979105312638192, 0.061613846872230656]}",gradient-boosting,qsar-biodeq
0,{'n_estimators': 194},0.8606635071090046,"[0.84834123 0.8521327  0.85308057 0.85402844 0.86066351 0.85876777
 0.84739336 0.85118483 0.84739336 0.8521327  0.84739336 0.85402844
 0.8464455  0.84549763 0.85118483 0.85876777 0.85118483 0.8492891
 0.84739336 0.85308057]","{'n_estimators': [74, 97, 49, 159, 194, 83, 183, 127, 135, 42, 55, 197, 24, 36, 74, 114, 42, 128, 85, 196]}",gradient-boosting,qsar-biodeq
0,{'subsample': 0.9812860216148798},0.8606635071090046,"[0.84549763 0.82654028 0.85592417 0.72322275 0.85308057 0.84454976
 0.84265403 0.84075829 0.84739336 0.84834123 0.83696682 0.83791469
 0.85781991 0.67962085 0.83981043 0.85023697 0.83507109 0.8492891
 0.86066351 0.8521327 ]","{'subsample': [0.9355572812986821, 0.25351916907619404, 0.6408403264678862, 0.006598745483554036, 0.32926230697576553, 0.4566536455197203, 0.23304266468551244, 0.2842417354722507, 0.8921673168609096, 0.39960791030293574, 0.47168983638313045, 0.7126485622791559, 0.7498448506850768, 0.005751591860528644, 0.4382999894819662, 0.8103641347394942, 0.18147269382207873, 0.34042432736205663, 0.9812860216148798, 0.7802039473306587]}",gradient-boosting,qsar-biodeq
0,{'C': 0.9362137869524505},0.8893872737391673,"[0.88784353 0.88938727 0.88887181 0.88938727 0.88835767 0.88835767
 0.88938727 0.88938727 0.88887181 0.88887181 0.88938727 0.88887181
 0.88938727 0.88887181 0.88938727 0.88887181 0.88887181 0.88938727
 0.88938727 0.88938727]","{'C': [0.04993603879976258, 0.9362137869524505, 0.33141083882568173, 0.6522433483182226, 0.15036078741787884, 0.23971638945328147, 0.8068118824616972, 0.7983786109784169, 0.305187426189101, 0.4848656750130175, 0.9812202755255612, 0.5197976715975431, 0.8428437298025012, 0.27398761146658035, 0.5801141646046465, 0.29892264842764155, 0.5334814424693721, 0.8461277557256578, 0.8161186166936739, 0.5938449749106153]}",logistic-regression,steel-plates-fault
0,{'l1_ratio': 0.5412605745628037},0.8899014125566481,"[0.88990141 0.88990141 0.88990141 0.88990141 0.88835635 0.88990141
 0.88835635 0.88990141 0.88990141 0.88990141 0.88990141 0.88990141
 0.88835635 0.88990141 0.88990141 0.88990141 0.88938727 0.88990141
 0.88990141 0.88990141]","{'l1_ratio': [0.5412605745628037, 0.6943025125248723, 0.44523573844437137, 0.9811846229004477, 0.19873330086210642, 0.7431009858612181, 0.016906199013696326, 0.4388372592029642, 0.6467431748489808, 0.6222614954064694, 0.47646106424121487, 0.8134947158628129, 0.023410613586088, 0.6294428135524655, 0.42465297207915365, 0.6330948251668317, 0.3196792512563813, 0.5621570915272607, 0.8679063749108257, 0.5408549053448958]}",logistic-regression,steel-plates-fault
0,{'C': 0.8478623672010017},0.8811372008586649,"[0.8811372  0.86567328 0.8811372  0.8811372  0.8811372  0.87082792
 0.8811372  0.86876607 0.8811372  0.87288978 0.87443617 0.86618875
 0.86773381 0.8811372  0.87082792 0.8811372  0.87288978 0.8811372
 0.8811372  0.8811372 ]","{'C': [0.8478623672010017, 0.023546554750899392, 0.382258938203585, 0.9800484930611482, 0.9532929753214616, 0.09184370331585626, 0.4852159401977108, 0.055200165661014725, 0.43545690681316085, 0.1616159671210369, 0.17977642856956444, 0.02547954741865401, 0.04749864382819417, 0.8499351697896261, 0.08282998972871222, 0.9546357703275713, 0.13307210039415196, 0.8364328664481612, 0.6313056031074412, 0.8878790753123929]}",svc,steel-plates-fault
0,{'degree': 2},0.888357671004161,"[0.8522752  0.88835767 0.8522752  0.80279199 0.8811372  0.85949434
 0.84196857 0.85949434 0.84196857 0.88835767 0.84196857 0.85949434
 0.88835767 0.82186283 0.84196857 0.85949434 0.80279199 0.84196857
 0.82186283 0.8811372 ]","{'degree': [5, 2, 5, 8, 3, 4, 6, 4, 6, 2, 6, 4, 2, 7, 6, 4, 8, 6, 7, 3]}",svc,steel-plates-fault
0,{'coef0': 0.9272582137116259},0.8888691596215516,"[0.88577638 0.88319906 0.8883537  0.88886916 0.88371452 0.88216813
 0.8883537  0.8883537  0.8883537  0.88783823 0.8883537  0.8883537
 0.8811372  0.87134339 0.88783823 0.87031246 0.88783823 0.87907535
 0.87031246 0.8883537 ]","{'coef0': [0.38261518254492644, 0.24580119005744233, 0.9181890029877111, 0.9272582137116259, 0.2921029858958614, 0.20652532020572012, 0.7962329696466637, 0.8543365861338442, 0.8065361990914734, 0.5156109359534544, 0.8069348748310496, 0.7386375743529219, 0.1826652198012428, 0.04948767840558497, 0.5825030744397314, 0.01322343682666175, 0.6302160760509444, 0.14034266032301818, 0.016404381617689034, 0.7411377682752476]}",svc,steel-plates-fault
0,{'gamma': 0.06502884383516826},0.883199056528768,"[0.87134339 0.87134339 0.88062174 0.86619405 0.87134339 0.87082792
 0.87134339 0.87031246 0.87134339 0.88319906 0.87134339 0.87031246
 0.87031246 0.87134339 0.87031246 0.87134339 0.87134339 0.87134339
 0.87134339 0.87031246]","{'gamma': [0.7221566556451169, 0.5500525787247199, 0.09812469545059421, 0.018987159526190373, 0.4708342189745209, 0.8381464576963726, 0.3631826709633352, 0.9411898307545387, 0.4100786462790178, 0.06502884383516826, 0.325182365850073, 0.9168763325816105, 0.8755883982697078, 0.7517948944063387, 0.9522355805157222, 0.6846876296581568, 0.7736679067012403, 0.5473476748848588, 0.5612336810709525, 0.8860491920393105]}",svc,steel-plates-fault
0,{'loss': 'deviance'},0.8904155513741288,[0.89041555 0.89041555],"{'loss': ['deviance', 'exponential']}",gradient-boosting,steel-plates-fault
0,{'learning_rate': 0.35506100624672904},0.8904155513741288,"[0.89041555 0.89041555 0.89041555 0.85330215 0.89041555 0.89041555
 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555
 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555
 0.89041555 0.89041555]","{'learning_rate': [0.35506100624672904, 0.3305596805513462, 0.1316335285646892, 0.008945996068435772, 0.7041429281738671, 0.23222832719241257, 0.6058178366124868, 0.09478727139519824, 0.3203292197085805, 0.7627171681120642, 0.09647268635678954, 0.7408817348940725, 0.7214296828042768, 0.6825763226003582, 0.7377190598755609, 0.11798392542669653, 0.27961166638569435, 0.4076968590978855, 0.26357602092810933, 0.810296879877141]}",gradient-boosting,steel-plates-fault
0,{'n_estimators': 23},0.8904155513741288,"[0.89041555 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555
 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555
 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555
 0.89041555 0.89041555]","{'n_estimators': [23, 18, 34, 87, 56, 162, 103, 33, 67, 111, 136, 128, 78, 119, 14, 78, 28, 18, 187, 166]}",gradient-boosting,steel-plates-fault
0,{'subsample': 0.16980256276274366},0.8904155513741288,"[0.89041555 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555
 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555
 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555 0.89041555
 0.89041555 0.89041555]","{'subsample': [0.16980256276274366, 0.3776799934847643, 0.5861772024169587, 0.1799903985146446, 0.3952634577504263, 0.27666792205813945, 0.2665021215930574, 0.7660583953261642, 0.5153881229189996, 0.8237184976007028, 0.15455656896319886, 0.6832982364396682, 0.45565831186145295, 0.37961143893267174, 0.2634559009135463, 0.5083105403061204, 0.29550601672848603, 0.3488237343056436, 0.961249541122424, 0.40323825478853437]}",gradient-boosting,steel-plates-fault
