,best_params,best_score,mean_score_history,param_history,model,data
0,{'C': 0.7742169618569312},0.7540000000000001,"[0.751 0.75  0.753 0.754 0.729 0.744 0.751 0.752 0.754 0.75  0.744 0.754
 0.747 0.739 0.754 0.749 0.748 0.75  0.736 0.753]","{'C': [0.6353546313124169, 0.27206623459380247, 0.8338229183291596, 0.7742169618569312, 0.029325786386789458, 0.15238371543818066, 0.618260067882981, 0.41382656497294656, 0.6443120794985248, 0.34408918058309085, 0.15461229211722038, 0.7470212325431288, 0.22027167051156177, 0.0792753434586168, 0.7763110138395941, 0.37417388562310216, 0.3958483266580002, 0.26641286851450957, 0.07045025160151223, 0.5716138965309224]}",logistic-regression,credit-g
0,{'l1_ratio': 0.10544190531394317},0.7550000000000001,"[0.745 0.745 0.745 0.749 0.754 0.747 0.755 0.748 0.754 0.75  0.754 0.754
 0.748 0.748 0.745 0.745 0.749 0.755 0.748 0.754]","{'l1_ratio': [0.9885159835274523, 0.8473518755932272, 0.985086519951247, 0.5441823240198626, 0.028132871773966985, 0.5992562015331037, 0.10544190531394317, 0.6706068269619477, 0.019426834874365775, 0.3846439168454506, 0.23281435892257377, 0.27388695476467106, 0.7705715917951286, 0.7583252740038678, 0.90951745561467, 0.9761575740966046, 0.41083884525066144, 0.0768108689790269, 0.66005360676586, 0.009241868595794251]}",logistic-regression,credit-g
0,{'C': 0.11593552365458046},0.758,"[0.736 0.756 0.7   0.758 0.751 0.754 0.744 0.758 0.739 0.755 0.754 0.741
 0.742 0.757 0.75  0.758 0.749 0.755 0.745 0.756]","{'C': [0.9850833654897093, 0.260485507263971, 0.0015269713136620172, 0.11593552365458046, 0.6100284725284324, 0.13465804499313602, 0.7514734710500286, 0.18150467464113873, 0.04074789422259383, 0.3205480959097045, 0.3434943104997381, 0.8181699694547476, 0.8411380037619517, 0.4575967522623103, 0.5531005306551523, 0.32617155553830857, 0.6544434371443656, 0.3061665229200679, 0.7233345490498159, 0.1620947650456951]}",svc,credit-g
0,{'degree': 4},0.751,"[0.75  0.74  0.744 0.749 0.749 0.74  0.749 0.751 0.741 0.751 0.749 0.741
 0.745 0.74  0.751 0.741 0.749 0.749 0.745 0.749]","{'degree': [5, 9, 2, 7, 6, 9, 7, 4, 8, 4, 7, 8, 3, 9, 4, 8, 7, 6, 3, 7]}",svc,credit-g
0,{'coef0': 0.0787129111347785},0.749,"[0.74  0.741 0.739 0.749 0.726 0.74  0.74  0.725 0.743 0.73  0.742 0.727
 0.73  0.741 0.73  0.725 0.726 0.741 0.726 0.741]","{'coef0': [0.4597340857978049, 0.28209116145711155, 0.5829326097034019, 0.0787129111347785, 0.9298275132792215, 0.5420667574823987, 0.551569238972678, 0.9412464254531114, 0.21507966597708741, 0.7093254148394953, 0.3650919143265286, 0.8858648054685527, 0.7341175906533528, 0.4155832468392036, 0.731908293292628, 0.9699749919962113, 0.9094616676385514, 0.27175178038602416, 0.9329676417282228, 0.3098843051506624]}",svc,credit-g
0,{'gamma': 0.06728291522900436},0.756,"[0.738 0.738 0.749 0.738 0.738 0.743 0.737 0.737 0.737 0.734 0.737 0.737
 0.738 0.737 0.7   0.736 0.737 0.737 0.738 0.756]","{'gamma': [0.8334251528850187, 0.798525915183837, 0.08798458700970253, 0.8014700992059367, 0.8281803310360332, 0.0939266234042304, 0.737000855073997, 0.6768974056170168, 0.5516220794668656, 0.15063979852833437, 0.6105444197029969, 0.2515668582962582, 0.8850479226399054, 0.2638215254144521, 0.010963836690727516, 0.6346727841245462, 0.5377799342654135, 0.13141266652704192, 0.4231961710532296, 0.06728291522900436]}",svc,credit-g
0,{'loss': 'exponential'},0.7370000000000001,[0.727 0.737],"{'loss': ['deviance', 'exponential']}",gradient-boosting,credit-g
0,{'learning_rate': 0.07236915539405854},0.7619999999999999,"[0.754 0.745 0.745 0.746 0.732 0.742 0.746 0.742 0.727 0.726 0.724 0.742
 0.762 0.747 0.737 0.741 0.736 0.718 0.724 0.75 ]","{'learning_rate': [0.0660327180488822, 0.20433381961293648, 0.3970575219799449, 0.30848067819417363, 0.016307306833426537, 0.034267412732051514, 0.4262419646606258, 0.5573930427636663, 0.7080769437262038, 0.8297812532635646, 0.7900283240050313, 0.28283525230792256, 0.07236915539405854, 0.282541229371913, 0.9686374210430391, 0.24268491050012056, 0.6158180491377166, 0.8559263201238861, 0.014907362413266585, 0.406802266255699]}",gradient-boosting,credit-g
0,{'n_estimators': 54},0.753,"[0.749 0.752 0.745 0.732 0.745 0.741 0.74  0.75  0.724 0.746 0.744 0.742
 0.744 0.751 0.753 0.739 0.748 0.743 0.743 0.749]","{'n_estimators': [141, 109, 200, 197, 93, 157, 181, 50, 65, 41, 157, 34, 42, 196, 54, 54, 188, 139, 163, 134]}",gradient-boosting,credit-g
0,{'subsample': 0.5779894482024828},0.764,"[0.735 0.731 0.748 0.743 0.764 0.733 0.748 0.742 0.736 0.741 0.744 0.73
 0.742 0.748 0.75  0.751 0.749 0.74  0.736 0.738]","{'subsample': [0.26754945126992336, 0.19012830830356892, 0.3378680864348886, 0.5461629849466832, 0.5779894482024828, 0.24535345601441674, 0.8106794165271031, 0.969856958192435, 0.39900570413691755, 0.7238489423673289, 0.6134411683561318, 0.8405341508463329, 0.952476748700507, 0.786052352674875, 0.6390511156601516, 0.2653868525377498, 0.8635814318988395, 0.3969004190157712, 0.7791551317952694, 0.27380323372259646]}",gradient-boosting,credit-g
