Iteracja;estimator__max_depth;estimator__max_features;estimator__n_estimators;estimator__max_samples;estimator__min_samples_split;Srednia dokladnosc;Czas
1;11;sqrt;1717;0.6636363636363636;0.35858585858585856;0.7428953751689447;2.2250139236450197
2;6;sqrt;526;0.9181818181818181;0.3383838383838384;0.7446890971420388;0.849494457244873
3;11;log2;481;0.40909090909090906;0.17676767676767677;0.7452878995372484;0.635857629776001
4;4;sqrt;1635;0.5272727272727272;0.28181818181818186;0.7431947763665494;2.0443578720092774
5;5;log2;363;0.7545454545454545;0.21313131313131314;0.7482823590487186;0.6151143074035644
6;16;sqrt;667;0.7636363636363636;0.29393939393939394;0.7431934337602821;1.010963535308838
7;18;sqrt;478;0.4818181818181818;0.17272727272727273;0.744389695944434;0.6914186000823974
8;10;sqrt;106;0.7454545454545454;0.11212121212121212;0.7770172659165974;0.2370903491973877
9;3;sqrt;897;0.8181818181818181;0.47171717171717176;0.7431943288311269;1.1579864978790284
10;8;log2;141;0.33636363636363636;0.4191919191919192;0.5001494768310912;0.1517280101776123
11;10;sqrt;802;0.7454545454545454;0.37070707070707076;0.7434928349578869;1.0749063968658448
12;11;sqrt;583;0.2545454545454545;0.26161616161616164;0.5013470816215103;0.5564488410949707
13;8;log2;239;0.3090909090909091;0.29393939393939394;0.5007482792263007;0.24256815910339355
14;10;sqrt;1001;0.18181818181818182;0.11212121212121212;0.7431943288311269;1.0920909881591796
15;10;sqrt;1945;0.6454545454545454;0.11212121212121212;0.7707307358377415;3.8969388008117676
16;10;sqrt;87;0.7454545454545454;0.13636363636363635;0.7644464434359979;0.2161874771118164
17;10;sqrt;15;0.19090909090909092;0.11212121212121212;0.7440902947468292;0.030313777923583984
18;10;sqrt;1858;0.7454545454545454;0.1484848484848485;0.7590590120208015;3.9853769302368165
19;10;sqrt;1259;0.16363636363636364;0.11212121212121212;0.741698217913948;1.4869043350219726
20;10;sqrt;1166;0.7454545454545454;0.3222222222222222;0.7434932824933093;1.6426998138427735
21;10;sqrt;949;0.9181818181818181;0.11212121212121212;0.7794106853557459;2.4392831325531006
22;10;sqrt;1634;0.9181818181818181;0.4111111111111111;0.7419976191115527;2.2923812866210938
23;14;log2;1488;0.7636363636363636;0.3424242424242424;0.7455899859473878;2.0682930946350098
24;10;sqrt;746;0.9181818181818181;0.12424242424242425;0.7740241490113943;1.8182368755340577
25;10;log2;1174;0.9181818181818181;0.1202020202020202;0.7779150219739893;2.967253017425537
26;7;sqrt;422;0.5454545454545454;0.29393939393939394;0.7437922361554917;0.5548303127288818
27;10;log2;324;1.0;0.11212121212121212;0.7812061974705298;0.8503335475921631
28;15;sqrt;1190;0.47272727272727266;0.10404040404040404;0.7635464497014939;2.067804479598999
29;12;sqrt;250;0.2727272727272727;0.3383838383838384;0.5007482792263007;0.2451526165008545
30;15;log2;924;0.1090909090909091;0.3545454545454545;0.5007482792263007;0.8684273719787597
31;10;log2;195;0.5181818181818182;0.4434343434343434;0.5001494768310912;0.22163825035095214
32;14;log2;106;0.1181818181818182;0.17272727272727273;0.5004493255641184;0.10672645568847657
33;17;log2;1154;1.0;0.3424242424242424;0.7440911898176741;1.938619565963745
34;3;sqrt;751;0.5727272727272728;0.42727272727272725;0.7422952301674678;0.9536901473999023
35;10;log2;101;0.8727272727272727;0.11212121212121212;0.7803102315548276;0.25830950736999514
36;10;sqrt;397;0.9363636363636363;0.35858585858585856;0.744691334819151;0.6077006340026856
37;10;log2;1230;0.9181818181818181;0.35050505050505054;0.7434919398870421;1.891177272796631
38;16;log2;1909;0.8727272727272727;0.1202020202020202;0.7773162195787797;4.427510023117065
39;10;sqrt;130;0.6909090909090908;0.11212121212121212;0.7722281893611879;0.29088740348815917
40;6;sqrt;1080;0.8909090909090909;0.35858585858585856;0.7431938812957045;1.5643971920013429
41;10;sqrt;34;0.7454545454545454;0.10404040404040404;0.7752168309121666;0.09045953750610351
42;6;sqrt;722;0.9181818181818181;0.43939393939393945;0.7425955264359174;0.9895236492156982
43;10;log2;388;0.36363636363636365;0.11212121212121212;0.7497789175013202;0.5879524707794189
44;6;sqrt;537;0.9181818181818181;0.17676767676767677;0.7539687441260975;1.082863998413086
45;10;sqrt;970;0.7999999999999999;0.11212121212121212;0.7755202599285733;2.1649682998657225
46;6;sqrt;1936;0.6454545454545454;0.10404040404040404;0.7737238527429446;3.909456157684326
47;6;sqrt;659;0.7454545454545454;0.3424242424242424;0.7449898409459108;0.8910986423492432
48;6;sqrt;867;0.9181818181818181;0.42727272727272725;0.7422961252383127;1.1602803230285645
49;6;sqrt;362;0.7181818181818181;0.29393939393939394;0.7431929862248597;0.5469905853271484
50;5;log2;544;0.22727272727272727;0.1202020202020202;0.7425941838296501;0.6341403961181641
51;10;sqrt;1773;0.9181818181818181;0.14040404040404042;0.7704322297109816;3.837210702896118
52;10;log2;994;0.15454545454545454;0.11212121212121212;0.7408000143211335;1.0497671127319337
53;3;sqrt;1829;0.9181818181818181;0.10404040404040404;0.7608504963167835;3.831222343444824
54;5;sqrt;774;0.9181818181818181;0.3101010101010101;0.7449893934104884;1.2305410385131836
55;11;log2;763;0.8727272727272727;0.3424242424242424;0.7416973228431031;1.1330941677093507
56;10;log2;1796;0.9090909090909091;0.1202020202020202;0.777615173240962;4.140041208267212
57;6;sqrt;1193;0.9181818181818181;0.4676767676767677;0.7425959739713399;1.5889225006103516
