Iteracja;estimator__max_depth;estimator__max_features;estimator__n_estimators;estimator__max_samples;estimator__min_samples_split;Srednia dokladnosc;Czas
1;11;sqrt;1717;0.6636363636363636;0.35858585858585856;0.7881635567581788;2.24319806098938
2;6;sqrt;526;0.9181818181818181;0.3383838383838384;0.7996767950091136;0.8265448093414307
3;11;log2;481;0.40909090909090906;0.17676767676767677;0.8013195031662814;0.6413700580596924
4;4;sqrt;1635;0.5272727272727272;0.28181818181818186;0.795015126745213;2.130226755142212
5;5;log2;363;0.7545454545454545;0.21313131313131314;0.8065272375368775;0.5951520442962647
6;16;sqrt;667;0.7636363636363636;0.29393939393939394;0.799402822406374;1.0027373790740968
7;18;sqrt;478;0.4818181818181818;0.17272727272727273;0.8059792923313978;0.6888462543487549
8;10;sqrt;106;0.7454545454545454;0.11212121212121212;0.8183054287163877;0.22377781867980956
9;3;sqrt;897;0.8181818181818181;0.47171717171717176;0.7826814739650864;1.168053150177002
10;8;log2;141;0.33636363636363636;0.4191919191919192;0.7544532762087302;0.15584268569946289
11;10;sqrt;106;0.5;0.24545454545454545;0.7983065561756582;0.1627293586730957
12;11;log2;481;0.26363636363636367;0.407070707070707;0.7544532762087302;0.47480096817016604
13;10;sqrt;1266;0.7454545454545454;0.3303030303030303;0.7972099141251856;1.8657609939575195
14;10;sqrt;1503;0.7454545454545454;0.19292929292929295;0.8070755585621135;2.551025724411011
15;10;sqrt;377;0.7454545454545454;0.23737373737373738;0.8048822744611686;0.618917989730835
16;2;log2;748;0.7909090909090909;0.3383838383838384;0.7939188605144973;1.0460306644439696
17;3;sqrt;1429;0.609090909090909;0.4636363636363636;0.7544532762087302;1.3332622528076172
18;10;log2;1946;0.7454545454545454;0.19292929292929295;0.8065276133566343;3.1988784313201903
19;7;sqrt;1503;0.3;0.2898989898989899;0.7544532762087302;1.3822293758392334
20;13;log2;893;0.19090909090909092;0.42727272727272725;0.7544532762087302;0.8231602191925049
21;7;sqrt;605;0.19090909090909092;0.11212121212121212;0.797757859330665;0.6854595184326172
22;9;sqrt;1558;0.3909090909090909;0.37070707070707076;0.7544532762087302;1.4821072101593018
23;14;log2;1488;0.7636363636363636;0.3424242424242424;0.7947411541424733;2.157383394241333
24;11;log2;376;0.7818181818181817;0.2292929292929293;0.8054313471259185;0.632704210281372
25;13;log2;1762;0.7272727272727272;0.32626262626262625;0.7980322077531616;2.5360076904296873
26;7;sqrt;422;0.5454545454545454;0.29393939393939394;0.7941932089369939;0.5639070034027099
27;11;sqrt;610;0.8090909090909091;0.25757575757575757;0.805978916511641;0.998796033859253
28;6;sqrt;534;0.6909090909090908;0.23333333333333334;0.8059796681511546;0.8203870296478272
29;16;sqrt;274;0.709090909090909;0.36262626262626263;0.7941932089369939;0.39138498306274416
30;3;log2;1531;0.5;0.13636363636363635;0.8054309713061615;2.0479859352111816
31;8;log2;703;0.22727272727272727;0.21313131313131314;0.7544532762087302;0.6438150405883789
32;19;sqrt;603;0.4545454545454546;0.30606060606060603;0.7829554465678261;0.7166823863983154
33;7;log2;1332;0.44545454545454544;0.21717171717171718;0.7983058045361444;1.733102512359619
34;3;sqrt;751;0.5727272727272728;0.42727272727272725;0.7788454817069733;0.8593836307525635
35;17;sqrt;910;0.8181818181818181;0.13232323232323234;0.8199533983501514;1.7735554695129394
36;17;log2;1844;0.8181818181818181;0.3101010101010101;0.799402446586617;2.783600330352783
37;9;sqrt;1128;0.4818181818181818;0.3868686868686869;0.7544532762087302;1.0957680225372315
38;17;sqrt;315;0.5545454545454546;0.13232323232323234;0.8070755585621135;0.5210334777832031
39;17;sqrt;256;0.7272727272727272;0.13232323232323234;0.8172155514215381;0.4949587345123291
40;17;log2;1860;0.8181818181818181;0.28585858585858587;0.802416145216754;2.9227069854736327
41;17;sqrt;1653;0.8181818181818181;0.3545454545454545;0.7974842625476821;2.4089863300323486
42;17;sqrt;1486;0.5363636363636364;0.13232323232323234;0.8070755585621135;2.3436343669891357
43;10;sqrt;1887;0.609090909090909;0.11212121212121212;0.8207768194373978;3.2969079494476317
44;10;sqrt;1437;0.609090909090909;0.23333333333333334;0.8043347050754457;2.099524402618408
45;10;sqrt;1821;0.609090909090909;0.13636363636363635;0.8068015859593739;3.0244458675384522
46;10;sqrt;991;0.609090909090909;0.3464646464646465;0.7851491064885282;1.2271601200103759
47;17;sqrt;1151;0.8181818181818181;0.11616161616161616;0.8235135389067402;2.372855567932129
48;17;sqrt;1661;0.8181818181818181;0.4313131313131313;0.7807636657459083;2.1929437637329103
49;5;sqrt;1175;0.5454545454545454;0.31414141414141417;0.7873416389499596;1.4621847152709961
50;17;sqrt;1622;0.8181818181818181;0.4878787878787879;0.7829554465678261;2.1169086933135985
