Iteracja;estimator__alpha;estimator__learning_rate_init;estimator__hidden_layer_sizes;estimator__activation;Srednia dokladnosc;Czas
1;0.12430808108186905;0.10693268319371114;432;relu;0.7812030647225728;1.8924465656280518
2;0.8103947295875948;0.2756942610542042;404;relu;0.7081518577195386;1.8306321620941162
3;1.1552524973305596;0.06237004011262851;101;identity;0.7407883784001503;0.7579189777374268
4;0.01696986759963521;0.02691930148259951;290;tanh;0.7776120404930051;2.9324925899505616
5;1.236537769005151;0.07215320086071718;375;relu;0.7458786462948542;1.0003747463226318
6;0.03039462353346214;0.5441672818869712;244;tanh;0.6552070746399578;3.635742998123169
7;0.10538589946525978;0.6870364079005258;211;relu;0.6130237283280973;2.199807596206665
8;0.01925399059948189;0.9937748876071295;374;tanh;0.6833024533891858;3.2820788860321044
9;0.4986142418380546;0.17464321296247745;223;tanh;0.7449907360167558;2.7916561126708985
10;0.023382639122425237;0.018520222550471255;42;identity;0.7716258066825988;1.8251413345336913
11;0.06028521142293076;0.1410397936540996;400;identity;0.7509720469375151;1.5542108535766601
12;0.09379049838700633;1.048311934954166;106;tanh;0.5956584588670193;1.6935969829559325
13;0.9017821452397139;0.6144200912075327;282;tanh;0.6407986717148663;6.0888982772827145
14;0.29797294575360506;0.10850216957891966;481;logistic;0.7156619496433143;3.5420025825500487
15;0.12798388173382946;0.04774891004429477;492;tanh;0.7764148832380083;8.637071084976196
16;0.17464321296247745;0.097034032203061;60;relu;0.7701270105528852;1.6131384372711182
17;0.10335826949466548;1.058544619019639;449;logistic;0.7258268216929371;3.747086763381958
18;0.08977904264991178;0.7389576362837357;478;tanh;0.6689437268959838;4.757233762741089
19;0.23372806840669;0.15924824179128635;29;logistic;0.7488699730583676;0.9960747241973877
20;0.5575438410016978;0.15392508819589254;124;logistic;0.737195564028893;1.557715368270874
21;0.05339219876994059;0.5768252429914811;142;relu;0.6611449746247415;1.7074687004089355
22;0.28247129580681624;0.03673332327428612;219;relu;0.7713223776661924;1.7005602359771728
23;0.13370238419813824;0.9284479208558246;427;tanh;0.5950601040072321;4.834971380233765
24;0.5415307307061937;0.3189387622337487;233;tanh;0.7094170403587444;3.9005935192108154
25;1.538603634730514;0.0742867772175928;407;logistic;0.6994750409494911;3.6266929626464846
26;0.3204915796870934;0.22482071032589723;327;relu;0.7644410730109289;1.9759862422943115
27;1.6309422580377557;0.16080268078210405;185;logistic;0.6883958540318466;1.8802832126617433
28;0.6356684306168379;0.16158558094611752;357;relu;0.7563554505339098;2.5334372997283934
29;0.06643503591465504;0.09154028225365361;383;identity;0.7572536541267241;1.7342174530029297
30;0.036912166840054585;0.09109675937512324;117;relu;0.7596591570222784;1.3735009670257567
31;0.047058220959330814;0.08977904264991178;365;tanh;0.7509644388353338;4.576600456237793
32;1.3299863245266477;0.0842856847182523;251;logistic;0.7108540766001629;2.445328617095947
33;0.13112994364664463;0.0363782314954542;64;logistic;0.7566548517315146;2.093816900253296
34;0.04774891004429477;2.0;111;identity;0.7557557530678554;1.4408600807189942
35;0.050860967027597875;0.021218131723934917;130;tanh;0.7809059012020801;2.6436853408813477
36;0.050860967027597875;0.3497714608854497;452;tanh;0.7404818166357867;8.05174903869629
37;0.3204915796870934;0.05211121627028965;106;logistic;0.7282385900844052;1.7409471988677978
38;0.34471200863740104;0.9284479208558246;281;logistic;0.6806888465222023;1.9302391529083252
39;0.03727247041845735;0.02652991316584763;250;relu;0.7889843631123403;2.690909910202026
40;0.14450679213074594;0.34137976452167573;453;logistic;0.7623407892734709;4.665463256835937
41;0.24536016941464847;0.5881411072779402;461;identity;0.7599581106844607;3.1721072673797606
42;0.01861039197551945;0.6971202686635547;354;identity;0.6907856931876158;2.2897289276123045
43;1.4514929226581763;0.017471668044493963;450;identity;0.7410877795977552;2.1294947624206544
44;0.046830218629596174;0.039701720672402734;226;identity;0.7800090402155331;1.648442792892456
45;0.510871029600566;0.0742867772175928;462;relu;0.7677286682240899;4.316327905654907
46;0.054175853743733474;0.4105744383622835;267;identity;0.7620404930050213;3.2615396976470947
47;0.07648344361089532;0.7353773041076956;296;relu;0.6437944738326038;4.578928232192993
48;1.2186512216597725;0.14805901533812713;318;tanh;0.7387006256545205;4.526889324188232
49;0.056872059669001176;0.3364416983550563;415;logistic;0.7731210225289332;5.179516124725342
50;0.03950936140715117;0.9937748876071295;257;relu;0.5531439363425615;4.643529319763184
51;1.4166687896363475;0.48194718062407;159;relu;0.6383963015672691;1.586733627319336
52;0.3397257414828005;0.15770882917045473;309;tanh;0.7072836390000269;4.289252519607544
53;0.07321221727195758;0.4658372453527511;447;logistic;0.7644397304046615;3.226027011871338
54;0.33807973237004935;0.07611287279512893;131;identity;0.7716213313283747;1.852726936340332
55;0.1106307099655607;0.5034812683758162;364;logistic;0.7611458696955864;2.7659491539001464
56;0.022601033133472042;0.863212575588803;325;logistic;0.7731205749935108;4.2983392715454105
57;1.9903097769067082;0.673817793089464;140;tanh;0.6426179032070388;2.3250243186950685
58;1.2245844700152868;0.4681052675897962;66;identity;0.7404885296671232;1.1145357608795166
59;0.2866172205114073;0.24896140183365684;421;relu;0.7560761884303143;2.072417116165161
60;0.03837462057532532;0.3364416983550563;117;identity;0.7701270105528852;1.036224126815796
61;0.03465360249696788;0.24655475470354304;351;relu;0.7129418293457928;2.637831687927246
62;0.9284479208558246;0.016562727532034832;95;logistic;0.7183453720361967;1.3817783355712892
63;0.01816389254336446;0.3315750614294176;60;identity;0.7692297020309158;0.9871157169342041
64;0.0707649696715178;0.35836943944629657;468;identity;0.7716316246430904;1.949267578125
65;1.8414993409065703;0.1473416528933274;277;relu;0.7398919649490258;1.257359790802002
66;1.5611862295445553;0.02304440870827487;353;identity;0.7449813377728848;1.4507156372070313
67;0.01755673237122717;0.4681052675897962;477;identity;0.7270118954915281;3.0670638561248778
68;0.10235913115104756;0.19623450562774067;337;tanh;0.7728198311896387;6.847890329360962
69;1.1722085206144224;0.15392508819589254;283;tanh;0.7318067900074291;4.529587268829346
70;0.20302083543541474;0.05742719387986088;437;tanh;0.7698320847095048;7.7214750289917
71;0.2783853419986896;0.048449736601571994;352;identity;0.7632470485038891;2.580758047103882
72;1.5237303411410883;0.16880545527965943;460;tanh;0.7198383502054189;4.315383672714233
73;0.03253323412904475;0.42891949014341174;94;tanh;0.7596613946993905;1.5868348598480224
74;1.9237801592122536;1.0740812287638968;23;relu;0.6357003481825586;0.5725204467773437
75;0.8801466409307939;1.53114892849417;347;tanh;0.5794424603707383;3.5421802043914794
76;0.20105828418307076;1.8685276362565308;343;tanh;0.5405690860431603;2.6521187305450438
77;0.5468166696469762;0.19623450562774067;149;identity;0.7593494625099575;0.970561170578003
78;1.0688771854003771;1.0331480786391511;115;relu;0.5497753372179408;1.6965704917907716
79;0.20203717684143693;0.11390206957693166;446;relu;0.771926550486471;2.839170455932617
80;0.14662776614959205;0.25017352044623586;377;identity;0.7716199887221074;3.2155126571655273
81;0.08226350751666524;0.12613259193301787;161;identity;0.7737220626012549;1.895500612258911
82;0.17295498103506074;0.023841347846052494;344;identity;0.7683337361152135;1.4320717334747315
83;0.17549349853860813;0.023382639122425237;41;identity;0.7794039723244095;1.0958380699157715
84;0.9420750583000301;0.045929202883612456;36;identity;0.7494696705244219;0.6076550006866455
85;0.030691308679873748;1.0083608505651156;151;tanh;0.6857079562847399;1.3751516819000245
86;0.029378629587639843;0.04892265962302071;44;identity;0.7821044010633442;0.6201199054718017
87;0.04067765662299719;0.6512942438962144;168;logistic;0.7761110066861792;1.8729358196258545
88;0.6387633101062072;0.13632528958021847;404;logistic;0.7306096327524324;3.5349432945251467
89;1.538603634730514;0.038749199319863675;89;relu;0.7381031658655782;0.8138339519500732
90;0.03893785758324189;1.1058419031029092;15;tanh;0.7368930300833312;0.627541446685791
91;0.9652328686412947;0.04375177886066792;67;logistic;0.7309175371230633;0.7632306575775146
92;0.3097785828871618;1.003475229764857;152;relu;0.5893714812527412;1.6481757164001465
93;0.07990083301058029;1.5460946357021608;405;relu;0.6076349543066335;5.442052888870239
94;0.9420750583000301;0.03333295646444749;229;tanh;0.7518671177823724;2.6023284435272216
95;0.03673332327428612;0.3987824082428263;472;identity;0.7602467710319272;2.578705596923828
96;1.2010234036342398;0.02640137277723627;229;relu;0.7425847855857791;1.4459125518798828
97;0.08107356398329658;0.12191638739165431;129;identity;0.769828056890703;0.9701722145080567
98;0.8801466409307939;0.9559022057509915;428;identity;0.7348119903690378;2.327338695526123
99;0.038003662789111874;0.14591733826676181;413;identity;0.7626464559669899;2.0340230464935303
100;0.11613654245574494;0.022491528606870932;459;identity;0.7749165346437169;2.1096498012542724
101;0.08226350751666524;0.04916084942219913;25;identity;0.7773121917599778;0.8148707866668701
102;0.5083958024762018;0.17720650920481656;224;relu;0.7617455671616409;1.5243261814117433
103;0.045485216854074764;0.031445753348875234;89;logistic;0.7722237140069637;2.154159688949585
104;0.3364416983550563;0.20902417900535974;29;tanh;0.7683288132255669;0.9026885509490967
105;0.031141775175977958;1.2793006515739964;229;logistic;0.7246368250046992;2.7300150394439697
106;0.02326934762762212;1.048311934954166;301;identity;0.6937810477699309;2.0470855236053467
107;0.10538589946525978;0.0365553462255432;209;identity;0.774622056335759;1.400416660308838
108;1.6710335980604352;0.39110981478581;361;logistic;0.670508758268217;2.915444803237915
109;1.7121104515412966;0.3067840313945001;237;relu;0.7261423341657492;1.8277287006378173
110;0.20600063943558483;0.1851243489034654;375;identity;0.7569515677165848;1.5664308071136475
111;0.09424713627521167;0.16475548470267332;140;identity;0.7632398879371302;1.2074570178985595
112;0.6903813827094809;0.027985839601986934;181;logistic;0.7102776509760748;2.5590116500854494
113;0.04353979661172382;0.05236493019823241;111;identity;0.7794071050723665;1.3924713611602784
114;0.13176837612730177;0.5712492187347165;384;logistic;0.7548611297584203;3.9938425540924074
115;0.5234291100933081;0.7353773041076956;54;identity;0.7551591883497579;1.1774025440216065
116;1.5016895466166014;1.6791693609198017;302;tanh;0.5001499243665136;2.7257629871368407
117;0.04798138520778909;0.20302083543541474;482;tanh;0.7593463297620007;6.2161787986755375
118;0.12250996182225847;0.2651875747123808;297;identity;0.7650367426581812;1.4096355438232422
119;0.8103947295875948;0.12552146545543488;295;logistic;0.721935948730342;3.536324214935303
120;0.02771530754333896;0.6204175109326838;479;relu;0.6602454284256598;6.39325532913208
121;0.974654609122431;0.7039249335986947;66;relu;0.5474548660526481;1.0530675411224366
122;0.022601033133472042;1.5995628475142802;389;identity;0.7656342024471237;3.472520637512207
123;1.6710335980604352;0.07464845732009369;92;logistic;0.7213295382329511;1.212301778793335
124;0.1971899127508921;0.1298623435278116;92;identity;0.7758138431656866;1.082936906814575
125;0.9329682561262359;0.16880545527965943;169;relu;0.7473738621411885;1.1913566589355469
126;0.07180361055409945;0.26008535252663867;478;tanh;0.7518621948927258;4.949142360687256
127;0.023496482199636237;0.09065538541441281;186;relu;0.7755148895035042;1.4840845108032226
128;0.16717365548457394;0.7039249335986947;182;relu;0.5908680397053427;2.0657588481903075
129;1.3495069740279482;0.022058790472839974;498;relu;0.7422826991756397;2.252310037612915
130;1.6073506406628646;0.02184555370443234;264;tanh;0.7434847793202832;2.513863229751587
131;0.025027876140243533;0.05443961977409592;109;logistic;0.7626437707544552;1.9175702571868896
132;0.0365553462255432;0.10850216957891966;106;relu;0.7668322547729652;1.1398775577545166
133;0.08266402393351774;0.0585537713661833;250;relu;0.779109046481029;2.295007658004761
134;1.0740812287638968;1.6710335980604352;353;tanh;0.500448878028696;2.6974442481994627
135;0.15924824179128635;0.3531856172400809;436;logistic;0.7578524565219336;5.0853495597839355
136;0.02021221681932023;0.07180361055409945;280;identity;0.760546172229532;1.0943405628204346
137;0.032375606980716384;0.04988239948106797;312;tanh;0.7758151857719539;3.379142093658447
138;0.2811026908699068;0.15392508819589254;372;logistic;0.7363072062153719;3.6525647163391115
139;0.018975481181429756;0.36717877097214996;341;identity;0.777311296689133;1.9915542125701904
140;0.3725679753273275;0.32519554068264483;333;identity;0.7348245213608656;1.8455138206481934
141;0.7142566728433801;0.07760601642826032;107;logistic;0.7210372976021052;1.1151127338409423
142;0.07912845179388432;0.1933959689783252;481;tanh;0.7689267205499316;5.419783115386963
143;0.3348116007975832;1.8867665328405452;65;tanh;0.5767961834179175;0.7780887603759765
144;0.3949274792005377;0.4206670577250359;467;tanh;0.7422804614985277;7.161032676696777
145;0.23947350262862904;0.11957071000752387;141;relu;0.7725190873857667;1.142979049682617
146;1.236537769005151;1.745697763727208;253;identity;0.7159568754866947;1.2089664459228515
147;0.4394630621411003;0.14450679213074594;41;identity;0.7686300045648613;0.7762677192687988
148;0.25017352044623586;0.01953658779244747;204;relu;0.7749151920374497;1.568334197998047
149;0.2651875747123808;0.01925399059948189;391;relu;0.7608478111042489;1.71609787940979
150;0.04127469605327433;0.2513915405018505;113;tanh;0.7710261092165445;1.496925449371338
151;0.07611287279512893;0.03837462057532532;109;logistic;0.7749138494311826;2.092830514907837
152;0.02282164421677352;0.10589899189366192;311;relu;0.7847940889521405;2.673219919204712
153;0.041880498428885575;0.3283698088716753;389;relu;0.7189280631561987;3.938013219833374
154;0.3707628419281586;0.15317930397375618;341;tanh;0.7569506726457398;3.515678310394287
155;0.8507261857757225;0.10956127077265736;211;relu;0.7488704205937899;1.4091275215148926
156;0.44808422501585665;0.03567831250409314;278;tanh;0.7659336036447284;2.5790735721588134
157;0.3949274792005377;0.4986142418380546;347;relu;0.6836233362870672;2.300684690475464
158;0.5362958896050285;0.11557384795290508;255;relu;0.764737788995999;1.6015279293060303
159;0.6325885461638183;0.029378629587639843;443;tanh;0.7650394278707159;4.878360080718994
160;0.1286069969798761;0.032375606980716384;142;logistic;0.7536684478576479;2.3680710792541504
161;0.7318143190404222;0.050860967027597875;173;logistic;0.7246319021150525;1.8270634174346925
162;0.02326934762762212;0.5362958896050285;16;relu;0.7767120467585009;0.6336099147796631
163;0.15096356180919365;0.02430905528415463;202;identity;0.7746131056273104;0.9202716827392579
