Iteracja;estimator__alpha;estimator__learning_rate_init;estimator__hidden_layer_sizes;estimator__activation;Srednia dokladnosc;Czas
1;0.12430808108186905;0.10693268319371114;432;relu;0.7978310318989509;3.747537088394165
2;0.8103947295875948;0.2756942610542042;404;relu;0.7372299828730464;2.373881769180298
3;1.1552524973305596;0.06237004011262851;101;identity;0.7397711946050096;0.7966442584991456
4;0.01696986759963521;0.02691930148259951;290;tanh;0.7508697281096125;2.467466926574707
5;1.236537769005151;0.07215320086071718;375;relu;0.7645233889959323;2.3398433685302735
6;0.03039462353346214;0.5441672818869712;244;tanh;0.5812716763005781;3.1734774112701416
7;0.10538589946525978;0.6870364079005258;211;relu;0.7140842432027403;2.2006336212158204
8;0.01925399059948189;0.9937748876071295;374;tanh;0.6241420466709484;2.7217676639556885
9;0.4986142418380546;0.17464321296247745;223;tanh;0.744625883108542;3.509520149230957
10;0.023382639122425237;0.018520222550471255;42;identity;0.7554977520873474;0.40520176887512205
11;0.06028521142293076;0.1410397936540996;400;identity;0.7492565831727681;1.4515158176422118
12;0.09379049838700633;1.048311934954166;106;tanh;0.7219503318347249;1.1321206569671631
13;0.9017821452397139;0.6144200912075327;282;tanh;0.706696103618069;3.3123473167419433
14;0.29797294575360506;0.10850216957891966;481;logistic;0.7589670306144295;7.612289524078369
15;0.12798388173382946;0.04774891004429477;492;tanh;0.7543491757653606;6.96136589050293
16;0.17464321296247745;0.097034032203061;60;relu;0.7901982980089917;1.2231313705444335
17;0.10335826949466548;1.058544619019639;449;logistic;0.7418459644615714;4.0927591800689695
18;0.08977904264991178;0.7389576362837357;478;tanh;0.5469562192250053;4.48099193572998
19;0.23372806840669;0.15924824179128635;29;logistic;0.7425422821665596;0.8592524528503418
20;0.5575438410016978;0.15392508819589254;124;logistic;0.7374537037037037;1.7571080684661866
21;0.05339219876994059;0.5768252429914811;142;relu;0.7381377114108328;1.9178187370300293
22;0.28247129580681624;0.03673332327428612;219;relu;0.7943649646756583;2.976690435409546
23;0.13370238419813824;0.9284479208558246;427;tanh;0.6178034682080925;6.036424922943115
24;0.5415307307061937;0.3189387622337487;233;tanh;0.7467046670948404;3.6767351627349854
25;1.538603634730514;0.0742867772175928;407;logistic;0.7066853992721045;2.9370117664337156
26;0.3204915796870934;0.22482071032589723;327;relu;0.7587441126097195;2.49553804397583
27;1.6309422580377557;0.16080268078210405;185;logistic;0.7066853992721045;1.6270147800445556
28;0.6356684306168379;0.16158558094611752;357;relu;0.7591928923142796;2.4835004806518555
29;0.06643503591465504;0.09154028225365361;383;identity;0.7362968315135945;1.4742932796478272
30;0.036912166840054585;0.09109675937512324;117;relu;0.7938971847570113;2.24504976272583
31;0.047058220959330814;0.08977904264991178;365;tanh;0.7968973453222008;11.58782229423523
32;1.3299863245266477;0.0842856847182523;251;logistic;0.7066853992721045;2.997947025299072
33;0.13112994364664463;0.0363782314954542;64;logistic;0.7538792549775208;1.292124605178833
34;0.04774891004429477;2.0;111;identity;0.7323584350246201;1.1837788105010987
35;0.050860967027597875;0.021218131723934917;130;tanh;0.7543368657675017;1.1006999969482423
36;0.050860967027597875;0.3497714608854497;452;tanh;0.7582658959537572;6.81073317527771
37;0.3204915796870934;0.05211121627028965;106;logistic;0.7506444016270606;1.4624967098236084
38;0.34471200863740104;0.9284479208558246;281;logistic;0.7261271676300579;2.3029055118560793
39;0.03727247041845735;0.02652991316584763;250;relu;0.8110190537358166;4.25941424369812
40;0.14450679213074594;0.34137976452167573;453;logistic;0.7557319096553201;5.126319789886475
41;0.24536016941464847;0.5881411072779402;461;identity;0.7231146970670091;2.5084041118621827
42;0.01861039197551945;0.6971202686635547;354;identity;0.7284352922286448;3.0577470779418947
43;1.4514929226581763;0.017471668044493963;450;identity;0.7439370584457289;2.082743215560913
44;0.046830218629596174;0.039701720672402734;226;identity;0.7443957396703061;1.149266290664673
45;0.510871029600566;0.0742867772175928;462;relu;0.7684508135302933;2.9925309658050536
46;0.054175853743733474;0.4105744383622835;267;identity;0.7436919289231427;1.6262702941894531
47;0.07648344361089532;0.7353773041076956;296;relu;0.7330662599015201;3.073551654815674
48;1.2186512216597725;0.14805901533812713;318;tanh;0.7480865981588526;3.261019229888916
49;0.056872059669001176;0.3364416983550563;415;logistic;0.7922784200385357;7.343478393554688
50;0.03950936140715117;0.9937748876071295;257;relu;0.7485565189466923;3.7570565700531007
51;1.4166687896363475;0.48194718062407;159;relu;0.7365328623421108;1.2597526550292968
52;0.3397257414828005;0.15770882917045473;309;tanh;0.7492496253478913;4.871043300628662
53;0.07321221727195758;0.4658372453527511;447;logistic;0.750184649967887;5.546877813339234
54;0.33807973237004935;0.07611287279512893;131;identity;0.7367528366516807;1.3016854286193849
55;0.1106307099655607;0.5034812683758162;364;logistic;0.76706326268465;4.210063695907593
56;0.022601033133472042;0.863212575588803;325;logistic;0.746002729608221;4.025631427764893
57;1.9903097769067082;0.673817793089464;140;tanh;0.7231205844572897;1.643460750579834
58;1.2245844700152868;0.4681052675897962;66;identity;0.7485599978591307;0.8410510540008544
59;0.2866172205114073;0.24896140183365684;421;relu;0.7679811603511025;2.412184238433838
60;0.03837462057532532;0.3364416983550563;117;identity;0.744385838150289;0.9558785915374756
61;0.03465360249696788;0.24655475470354304;351;relu;0.7869607685720402;2.897675800323486
62;0.9284479208558246;0.016562727532034832;95;logistic;0.7351380860629415;1.8406008243560792
63;0.01816389254336446;0.3315750614294176;60;identity;0.7619757546563906;0.758877944946289
64;0.0707649696715178;0.35836943944629657;468;identity;0.74115660458146;2.2308249473571777
65;1.8414993409065703;0.1473416528933274;277;relu;0.7531861485763219;1.8001123428344727
66;1.5611862295445553;0.02304440870827487;353;identity;0.7362989723827875;1.2840610980987548
67;0.01755673237122717;0.4681052675897962;477;identity;0.7427748340826377;2.821569633483887
68;0.10235913115104756;0.19623450562774067;337;tanh;0.773781310211946;8.074742460250855
69;1.1722085206144224;0.15392508819589254;283;tanh;0.7372133911368015;3.7430309295654296
70;0.20302083543541474;0.05742719387986088;437;tanh;0.7564207343181331;7.947985076904297
71;0.2783853419986896;0.048449736601571994;352;identity;0.7323653928494969;1.7580556869506836
72;1.5237303411410883;0.16880545527965943;460;tanh;0.7369843181331621;6.147733354568482
73;0.03253323412904475;0.42891949014341174;94;tanh;0.7603377221151788;1.7251553058624267
74;1.9237801592122536;1.0740812287638968;23;relu;0.724037946906444;0.5822618961334228
75;0.8801466409307939;1.53114892849417;347;tanh;0.458728323699422;3.434721565246582
76;0.20105828418307076;1.8685276362565308;343;tanh;0.7066853992721045;2.9979716777801513
77;0.5468166696469762;0.19623450562774067;149;identity;0.7524983943481053;0.8704668521881104
78;1.0688771854003771;1.0331480786391511;115;relu;0.7145504174694925;0.8194152355194092
79;0.20203717684143693;0.11390206957693166;446;relu;0.7860252087347464;4.453934144973755
80;0.14662776614959205;0.25017352044623586;377;identity;0.7552721579961463;1.5144912242889403
81;0.08226350751666524;0.12613259193301787;161;identity;0.7587395632626847;1.2697011947631835
82;0.17295498103506074;0.023841347846052494;344;identity;0.7367630057803468;1.8402605533599854
83;0.17549349853860813;0.023382639122425237;41;identity;0.7473988439306358;1.2115638732910157
84;0.9420750583000301;0.045929202883612456;36;identity;0.7272714622136588;0.857964277267456
85;0.030691308679873748;1.0083608505651156;151;tanh;0.7066853992721045;1.6785237789154053
86;0.029378629587639843;0.04892265962302071;44;identity;0.748327981160351;0.5621312618255615
87;0.04067765662299719;0.6512942438962144;168;logistic;0.7647417576536073;2.0267035007476806
88;0.6387633101062072;0.13632528958021847;404;logistic;0.7326011560693642;3.859775686264038
89;1.538603634730514;0.038749199319863675;89;relu;0.7515681866837935;1.485633087158203
90;0.03893785758324189;1.1058419031029092;15;tanh;0.541271676300578;1.0325181007385253
91;0.9652328686412947;0.04375177886066792;67;logistic;0.7323659280667951;1.3689668655395508
92;0.3097785828871618;1.003475229764857;152;relu;0.7328262149432669;1.6082245349884032
93;0.07990083301058029;1.5460946357021608;405;relu;0.7316853992721044;3.711739683151245
94;0.9420750583000301;0.03333295646444749;229;tanh;0.750635838150289;3.0074766159057615
95;0.03673332327428612;0.3987824082428263;472;identity;0.7596641511453649;2.869087076187134
96;1.2010234036342398;0.02640137277723627;229;relu;0.7501782273603083;2.004135513305664
97;0.08107356398329658;0.12191638739165431;129;identity;0.7224044637122671;1.3231345176696778
98;0.8801466409307939;0.9559022057509915;428;identity;0.743929833012203;1.5816855907440186
99;0.038003662789111874;0.14591733826676181;413;identity;0.7462360843502462;1.975492286682129
100;0.11613654245574494;0.022491528606870932;459;identity;0.7511022800256903;1.5818837642669679
101;0.08226350751666524;0.04916084942219913;25;identity;0.7497072361378719;0.9471248149871826
102;0.5083958024762018;0.17720650920481656;224;relu;0.7737687326054378;1.409250831604004
103;0.045485216854074764;0.031445753348875234;89;logistic;0.7564212695354313;1.2729060173034668
104;0.3364416983550563;0.20902417900535974;29;tanh;0.7379059623207023;1.2412296295166017
105;0.031141775175977958;1.2793006515739964;229;logistic;0.7321272211517877;1.7564295291900636
106;0.02326934762762212;1.048311934954166;301;identity;0.7492523014343824;2.1900496959686278
107;0.10538589946525978;0.0365553462255432;209;identity;0.7434633911368016;1.3230166912078858
108;1.6710335980604352;0.39110981478581;361;logistic;0.7066853992721045;1.793643856048584
109;1.7121104515412966;0.3067840313945001;237;relu;0.7312063797901948;1.580336570739746
110;0.20600063943558483;0.1851243489034654;375;identity;0.7448578998073218;1.5643745899200439
111;0.09424713627521167;0.16475548470267332;140;identity;0.7541110040676514;0.9736811637878418
112;0.6903813827094809;0.027985839601986934;181;logistic;0.7374534360950545;1.6871653079986573
