Iteracja;estimator__max_depth;estimator__max_features;estimator__n_estimators;estimator__max_samples;estimator__min_samples_split;Srednia dokladnosc;Czas
1;11;sqrt;1717;0.6636363636363636;0.35858585858585856;0.7693729929351317;3.6853514671325684
2;6;sqrt;526;0.9181818181818181;0.3383838383838384;0.7807051487904089;1.6074294090270995
3;11;log2;481;0.40909090909090906;0.17676767676767677;0.7834815885249412;1.061812448501587
4;4;sqrt;1635;0.5272727272727272;0.28181818181818186;0.767752354956112;3.197308969497681
5;5;log2;363;0.7545454545454545;0.21313131313131314;0.787185559837294;1.2238316535949707
6;16;sqrt;667;0.7636363636363636;0.29393939393939394;0.7825561978163135;1.8921206951141358
7;18;sqrt;478;0.4818181818181818;0.17272727272727273;0.7876461143224149;1.1853688716888429
8;10;sqrt;106;0.7454545454545454;0.11212121212121212;0.8029131877542282;0.5858351707458496
9;3;sqrt;897;0.8181818181818181;0.47171717171717176;0.7476273817169771;1.8811355590820313
10;8;log2;141;0.33636363636363636;0.4191919191919192;0.7046034039820167;0.14357738494873046
11;10;sqrt;106;0.5;0.24545454545454545;0.7788538321558552;0.24223542213439941
12;11;sqrt;583;0.2545454545454545;0.26161616161616164;0.7046034039820167;0.5810020923614502
13;8;log2;239;0.3090909090909091;0.29393939393939394;0.7046034039820167;0.25084824562072755
14;10;sqrt;1503;0.7454545454545454;0.19292929292929295;0.7855651894669237;5.387829160690307
15;10;sqrt;1945;0.6454545454545454;0.11212121212121212;0.7934291372297153;9.060010719299317
16;10;sqrt;87;0.7454545454545454;0.13636363636363635;0.790882840933419;0.46419706344604494
17;10;sqrt;15;0.19090909090909092;0.11212121212121212;0.7552660029972168;0.034889936447143555
18;18;sqrt;1812;0.6272727272727272;0.3666666666666667;0.7603462855919503;3.6246087074279787
19;5;log2;1168;0.3;0.28181818181818186;0.7046034039820167;1.1288246631622314
20;10;sqrt;1842;0.4545454545454546;0.11212121212121212;0.7862569578248768;6.027407503128051
21;10;sqrt;949;0.9181818181818181;0.11212121212121212;0.802217137657889;5.943545770645142
22;10;sqrt;157;0.6272727272727272;0.11212121212121212;0.7927330871333762;0.7401564598083497
23;10;sqrt;1380;0.6363636363636364;0.11212121212121212;0.794584938985228;6.347721338272095
24;10;sqrt;796;0.6545454545454545;0.11212121212121212;0.7957410083493899;3.8118974208831786
25;10;sqrt;928;0.9181818181818181;0.4434343434343434;0.7700652965103832;2.201197290420532
26;10;sqrt;512;0.7454545454545454;0.407070707070707;0.7663658745450652;1.127324390411377
27;10;sqrt;363;0.7454545454545454;0.4555555555555556;0.7473975058873903;0.754067325592041
28;11;log2;1996;0.509090909090909;0.26161616161616164;0.7726118604153285;3.9275861263275145
29;16;sqrt;1647;0.47272727272727266;0.11212121212121212;0.7881082744594305;5.606866455078125
30;6;sqrt;193;0.509090909090909;0.11212121212121212;0.7883384178976665;0.7122738838195801
31;10;sqrt;859;0.9181818181818181;0.3101010101010101;0.7823244487261829;2.6682928085327147
32;16;sqrt;732;0.9181818181818181;0.1686868686868687;0.7867207236137872;3.812256860733032
33;12;sqrt;1225;0.9181818181818181;0.17272727272727273;0.7869522050952688;6.275028562545776
34;10;sqrt;693;0.9181818181818181;0.4191919191919192;0.7716872725326482;1.6952272415161134
35;10;sqrt;117;0.9181818181818181;0.3303030303030303;0.7841779062299293;0.3855656623840332
36;16;sqrt;536;0.9181818181818181;0.4797979797979798;0.7561847034896167;1.2384610176086426
37;18;sqrt;87;0.7454545454545454;0.49595959595959593;0.743234318133162;0.19623804092407227
38;17;sqrt;717;0.4818181818181818;0.11212121212121212;0.7890323271248127;2.5223905563354494
