Iteracja;estimator__alpha;estimator__learning_rate_init;estimator__hidden_layer_sizes;estimator__activation;Srednia dokladnosc;Czas
1;0.12430808108186905;0.10693268319371114;432;relu;0.7911787586673432;1.6477532386779785
2;0.8103947295875948;0.2756942610542042;404;relu;0.7870624048706241;1.506786584854126
3;1.1552524973305596;0.06237004011262851;101;identity;0.7892571922505967;0.7025651454925537
4;0.01696986759963521;0.02691930148259951;290;tanh;0.8084405359189732;2.5460865974426268
5;1.236537769005151;0.07215320086071718;375;relu;0.7851460999304732;1.482062864303589
6;0.03039462353346214;0.5441672818869712;244;tanh;0.6801657365127685;2.619897985458374
7;0.10538589946525978;0.6870364079005258;211;relu;0.7793840314185316;1.7787932872772216
8;0.01925399059948189;0.9937748876071295;374;tanh;0.6506169081308604;3.7170952796936034
9;0.4986142418380546;0.17464321296247745;223;tanh;0.7796719093522746;2.1927438259124754
10;0.023382639122425237;0.018520222550471255;42;identity;0.8070710487250314;1.1641557216644287
11;0.06028521142293076;0.1410397936540996;400;identity;0.7952864686096548;0.872794771194458
12;0.09379049838700633;1.048311934954166;106;tanh;0.6511648533363399;1.2173261642456055
13;0.9017821452397139;0.6144200912075327;282;tanh;0.6506169081308604;1.9270655632019043
14;0.29797294575360506;0.10850216957891966;481;logistic;0.7870639081496513;3.081067514419556
15;0.12798388173382946;0.04774891004429477;492;tanh;0.800493451340737;5.7220134258270265
16;0.17464321296247745;0.097034032203061;60;relu;0.8043305710581204;1.1227579593658448
17;0.10335826949466548;1.058544619019639;449;logistic;0.7533566341582577;2.0193568229675294
18;0.08977904264991178;0.7389576362837357;478;tanh;0.6243264370407953;4.974378156661987
19;0.23372806840669;0.15924824179128635;29;logistic;0.7952853411503843;1.221000576019287
20;0.5575438410016978;0.15392508819589254;124;logistic;0.7802168479996994;1.5063780307769776
21;0.05339219876994059;0.5768252429914811;142;relu;0.7662333464870248;1.75237135887146
22;0.28247129580681624;0.03673332327428612;219;relu;0.8013127384106582;1.2412942886352538
23;0.13370238419813824;0.9284479208558246;427;tanh;0.5504789822800985;3.8335649967193604
24;0.5415307307061937;0.3189387622337487;233;tanh;0.7851453482909596;4.014642429351807
25;1.538603634730514;0.0742867772175928;407;logistic;0.7514388259390796;2.1202851295471192
26;0.3204915796870934;0.22482071032589723;327;relu;0.7867936937444803;1.776170253753662
27;1.6309422580377557;0.16080268078210405;185;logistic;0.7514388259390796;1.7958911895751952
28;0.6356684306168379;0.16158558094611752;357;relu;0.7922712667004904;1.3810728073120118
29;0.06643503591465504;0.09154028225365361;383;identity;0.7944656782607062;0.9829689979553222
30;0.036912166840054585;0.09109675937512324;117;relu;0.8043324501569046;0.9695933341979981
31;0.047058220959330814;0.08977904264991178;365;tanh;0.7911787586673431;2.131379270553589
32;1.3299863245266477;0.0842856847182523;251;logistic;0.7514388259390796;1.0340296268463134
33;0.13112994364664463;0.0363782314954542;64;logistic;0.7925463667625008;1.123460626602173
34;0.04774891004429477;2.0;111;identity;0.7928195877257267;1.1520411968231201
35;0.050860967027597875;0.021218131723934917;130;tanh;0.8007666723039628;1.1612866878509522
36;0.050860967027597875;0.3497714608854497;452;tanh;0.7963804799218296;6.622974634170532
37;0.3204915796870934;0.05211121627028965;106;logistic;0.7859710242967474;1.0982746124267577
38;0.34471200863740104;0.9284479208558246;281;logistic;0.7514388259390796;1.5418808937072754
39;0.03727247041845735;0.02652991316584763;250;relu;0.8084427908375144;1.6942273139953614
40;0.14450679213074594;0.34137976452167573;453;logistic;0.7843275645000658;3.602100944519043
41;0.24536016941464847;0.5881411072779402;461;identity;0.7930935603284665;2.276503086090088
42;0.01861039197551945;0.6971202686635547;354;identity;0.7944653024409493;1.4920942306518554
43;1.4514929226581763;0.017471668044493963;450;identity;0.7845970272657233;1.1653354167938232
44;0.046830218629596174;0.039701720672402734;226;identity;0.8026863596219252;0.8966583251953125
45;0.510871029600566;0.0742867772175928;462;relu;0.7933671571114493;1.4353044509887696
46;0.054175853743733474;0.4105744383622835;267;identity;0.7941913298382096;1.305472183227539
47;0.07648344361089532;0.7353773041076956;296;relu;0.7582881410075728;2.271694803237915
48;1.2186512216597725;0.14805901533812713;318;tanh;0.7703534584813123;2.759891891479492
49;0.056872059669001176;0.3364416983550563;415;logistic;0.7980250671777814;4.401656579971314
50;0.03950936140715117;0.9937748876071295;257;relu;0.7840558468158672;2.855970335006714
51;1.4166687896363475;0.48194718062407;159;relu;0.7859706484769904;1.7030697822570802
52;0.3397257414828005;0.15770882917045473;309;tanh;0.7843260612210384;3.7678794384002687
53;0.07321221727195758;0.4658372453527511;447;logistic;0.79583253471635;3.3650187492370605
54;0.33807973237004935;0.07611287279512893;131;identity;0.7947343893868501;1.5908138751983643
55;0.1106307099655607;0.5034812683758162;364;logistic;0.7917252005937951;2.848530673980713
