param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
200,4,2,log2,5,0.8989323591837943,0.005906108131718385,0.9054559239189298,0.896558274979889,0.9047031551475204,0.8986471201188585,0.8892973217537741
10,12,10,sqrt,15,0.9204457845386816,0.006275831233895081,0.924790197085469,0.9227227744824616,0.9218589367896157,0.9247530987666075,0.9081039155692551
70,7,4,log2,10,0.9257872607155375,0.005643835620683637,0.930505623277118,0.9259737389847593,0.9290858256375498,0.9284840216230191,0.9148870940552419
142,9,6,sqrt,1,0.8366397150715071,0.008159190615026492,0.8428770949720671,0.8387532088207524,0.8471295520708959,0.8282111572193336,0.8262275622744871
157,12,9,log2,4,0.8885246290930873,0.005024366661011699,0.8936621526722358,0.8863856908648946,0.8940833668882016,0.8879701211731074,0.8805218138669968
112,5,2,sqrt,8,0.9191216412007706,0.006013526891371416,0.9249399939207814,0.9176847402940541,0.9240058660606119,0.920738306092021,0.9082392996363846
54,14,7,log2,13,0.9273701209727868,0.00525409420506221,0.9322647534597391,0.9286220260269318,0.9302335331485705,0.9285093515452563,0.9172209406834362
216,2,4,sqrt,6,0.9073166601633551,0.005739755333149013,0.9131222027733814,0.9065657778775447,0.9122816058471941,0.9075798482126245,0.8970338661060311
37,6,8,log2,8,0.9180147225928795,0.006266315573888535,0.9241172031402307,0.9195482364696728,0.9216370816086422,0.9187197733233994,0.9060513184224526
178,11,3,sqrt,13,0.9292218290913132,0.00617704427729705,0.9350929875865153,0.9303304856095471,0.9311244476548423,0.9322642941555135,0.9172969304501477
126,1,8,log2,10,0.9246627858020677,0.005656786282966337,0.9296426537535679,0.9251640549187652,0.9272795401483634,0.927517117350036,0.9137105628396065
88,15,2,sqrt,3,0.8780944519408518,0.004708785737091787,0.8822692954046,0.8736761840210117,0.8841121119827127,0.8784500009171179,0.871964667378816
