Iteration,Score
1,-0.062336102337627396
2,0.7098517160236865
3,0.7214111975994884
4,-0.06181312464840594
5,0.7187656482073778
6,0.7129305820459815
7,-0.06219920097863877
8,0.7155586879292775
9,0.6972275439595016
10,0.7121990887845762
11,-0.05470803643504875
12,-0.054483690080809825
13,-0.037527390544842984
14,-0.04774420560277474
15,0.5880151597056905
16,-0.055034896573538425
17,-0.029132424537153843
18,0.689178576973438
19,0.7233553381857595
20,0.12197798844627343
21,-0.055726443294862725
22,0.7194026234064673
23,-0.01648736602457679
24,0.08879820864721887
25,0.2910534274352007
26,-0.06171092332154265
27,0.7215792984032082
28,0.08141362421119133
29,0.564104233807666
30,0.6696768894049209
31,-0.05945598636963956
32,-0.062161595945185076
33,0.7060055380150578
34,0.6987216998631879
35,-0.04199423503351258
36,0.7204727868125159
37,0.46104286583905096
38,0.7234939971661737
39,0.21001251861479137
40,0.0008752136887122715
41,0.2206955607565441
42,0.7131497027357814
43,-0.06198536948219502
44,-0.043593821404871655
45,0.046193149513165284
46,-0.04709634708654721
47,0.709005086722649
48,-0.06104138043500372
49,-0.05679700791392074
50,0.6478750862568627
