,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,1.518809159596761,0.05010616892204538,0.02526394526163737,0.003593335401487629,86,2,3,464,"OrderedDict([('max_depth', 86), ('min_samples_leaf', 2), ('min_samples_split', 3), ('n_estimators', 464)])",0.6765163285393914,0.7641968010637996,-0.2567174307097402,0.3946652329644836,0.4619859285137164,77
1,0.06385421752929688,0.0032703905319251595,0.0015039443969726562,0.0017814842143968723,99,4,9,25,"OrderedDict([('max_depth', 99), ('min_samples_leaf', 4), ('min_samples_split', 9), ('n_estimators', 25)])",0.650449882790415,0.7445394424963152,-0.3048028322245633,0.363395497687389,0.4740463882956703,158
2,0.23854406674702963,0.012803857605154683,0.0073575178782145185,0.0054569646967528385,68,4,3,90,"OrderedDict([('max_depth', 68), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 90)])",0.652086997346977,0.7612813511001694,-0.2856556611981236,0.37590422908300763,0.46991273519273846,117
3,1.947294553120931,0.06869796631960635,0.03075830141703288,0.002363713074989907,57,2,5,639,"OrderedDict([('max_depth', 57), ('min_samples_leaf', 2), ('min_samples_split', 5), ('n_estimators', 639)])",0.6718848640960218,0.7631324050821127,-0.261460915825642,0.3911854511174975,0.4629917124147122,86
4,1.8668761253356934,0.08066058413408943,0.0299069881439209,0.0019129153615993458,34,3,3,673,"OrderedDict([('max_depth', 34), ('min_samples_leaf', 3), ('min_samples_split', 3), ('n_estimators', 673)])",0.661129652375765,0.7620161501602621,-0.2906511307930719,0.3774982239143185,0.47424479719917645,111
5,0.8359299500783285,0.03146093261965318,0.012645721435546875,0.0011924951351557195,42,3,7,295,"OrderedDict([('max_depth', 42), ('min_samples_leaf', 3), ('min_samples_split', 7), ('n_estimators', 295)])",0.6621057163069393,0.762537294050542,-0.2923209911561073,0.37744067306712464,0.4753645202013029,112
6,0.24025209744771323,0.013081020778489733,0.008032957712809244,0.005912141792105955,76,3,10,94,"OrderedDict([('max_depth', 76), ('min_samples_leaf', 3), ('min_samples_split', 10), ('n_estimators', 94)])",0.6505501209035471,0.7614232752503489,-0.3069537986924282,0.3683398658204893,0.47964526064385404,150
7,2.323123057683309,0.09421295304826571,0.03604269027709961,0.00291048098082433,77,2,2,739,"OrderedDict([('max_depth', 77), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 739)])",0.6761331478622409,0.7646485256112071,-0.2521139415539362,0.39622257730650395,0.45986514276148827,72
8,1.0263858636220295,0.04878147830942735,0.01776432991027832,0.0006698516116958502,73,3,10,400,"OrderedDict([('max_depth', 73), ('min_samples_leaf', 3), ('min_samples_split', 10), ('n_estimators', 400)])",0.6575953093310976,0.7594757471417312,-0.3078445225979345,0.36974217795829806,0.4809280670260594,146
9,1.1669578552246094,0.026391644640771865,0.022558212280273438,0.002538524162063607,4,5,5,733,"OrderedDict([('max_depth', 4), ('min_samples_leaf', 5), ('min_samples_split', 5), ('n_estimators', 733)])",0.5556120118969414,0.7059428483211905,-0.5088585016625102,0.2508987861852072,0.5407237078972915,190
10,1.7021297613779705,0.07494065309227736,0.026029507319132488,0.0028306463350676677,36,1,7,572,"OrderedDict([('max_depth', 36), ('min_samples_leaf', 1), ('min_samples_split', 7), ('n_estimators', 572)])",0.6732437691071027,0.7638884744849328,-0.28435051164824277,0.38426057731459756,0.4742254786254564,93
11,0.004111051559448242,0.0004703588293815774,0.0,0.0,100,1,2,1,"OrderedDict([('max_depth', 100), ('min_samples_leaf', 1), ('min_samples_split', 2), ('n_estimators', 1)])",0.4339915983252689,0.3971806623718168,-0.6393975533503109,0.06392490244892494,0.4975510820509075,191
12,2.142606337865194,0.1041640490613993,0.033307154973347984,0.001489738802292911,15,1,9,761,"OrderedDict([('max_depth', 15), ('min_samples_leaf', 1), ('min_samples_split', 9), ('n_estimators', 761)])",0.6682236069731535,0.7636657552838779,-0.3013115594622797,0.37685926759825056,0.48111956512944143,114
13,0.7646547158559164,0.021307635838726087,0.024852991104125977,0.002319548669596316,1,4,8,920,"OrderedDict([('max_depth', 1), ('min_samples_leaf', 4), ('min_samples_split', 8), ('n_estimators', 920)])",-0.09006686016069199,0.22766188211015315,-0.43137627746086515,-0.097927085170468,0.269108604217197,200
14,0.8201066652933756,0.020184694679151384,0.029097239176432293,0.0006222452183703101,1,2,2,989,"OrderedDict([('max_depth', 1), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 989)])",-0.09024121622685977,0.2290434286715055,-0.4319052687200471,-0.09770101875846711,0.2698827296391965,199
15,0.3254634539286296,0.015027865968405558,0.007589499155680339,0.0018922691532370648,100,5,10,138,"OrderedDict([('max_depth', 100), ('min_samples_leaf', 5), ('min_samples_split', 10), ('n_estimators', 138)])",0.6425069309210995,0.759612985338014,-0.33056136363614064,0.3571861842076576,0.48865528011004683,185
16,0.9717858632405599,0.0547068576637996,0.0174100399017334,0.0025667718659629617,100,1,10,354,"OrderedDict([('max_depth', 100), ('min_samples_leaf', 1), ('min_samples_split', 10), ('n_estimators', 354)])",0.6637518232884538,0.763529025393444,-0.30571208948654327,0.37385625306511816,0.48225077961836704,127
17,1.208502213160197,0.05910196617238022,0.020015954971313477,0.0009606860801522691,100,5,2,510,"OrderedDict([('max_depth', 100), ('min_samples_leaf', 5), ('min_samples_split', 2), ('n_estimators', 510)])",0.6481598507084514,0.756126403253534,-0.3277055698346256,0.35886022804245327,0.48747214636876773,172
