,rfr,gbr,en
abalone,-0.017503841444074797,-0.031466385199453994,0.0
autompg,-0.0011704469557828334,-0.019656665007418694,-0.008560669377760899
insurance,-0.021911969959800714,-0.02633194613086176,-2.0311312311394047e-05
concrete,0.0,-0.061271640368817715,-0.001717454362882953
