,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,24.02894393603007,0.3696020724340116,0.17972882588704428,0.017087401968558482,67,1,4,743,"{'max_depth': 67, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 743}",0.5401148553508521,0.5306718742990169,0.4893423332758644,0.5200430209752445,0.022048305175946133,168
1,3.156742811203003,0.3643884045167423,0.017802000045776367,0.00559636085726028,18,4,4,124,"{'max_depth': 18, 'min_samples_leaf': 4, 'min_samples_split': 4, 'n_estimators': 124}",0.538502251386088,0.5408610173271804,0.5067707116479901,0.5287113267870862,0.015544214115497803,96
2,2.726888338724772,0.31340511215674993,0.029658079147338867,0.0018279111451029802,58,3,3,97,"{'max_depth': 58, 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 97}",0.5389815443571936,0.5394259453323693,0.49769504031085365,0.5253675100001388,0.019568232028554008,138
3,29.905552466710407,1.5904650232346167,0.20465819040934244,0.007141675943310023,48,2,2,943,"{'max_depth': 48, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 943}",0.5411702895807287,0.536559341181567,0.49843854838903523,0.5253893930504436,0.019149869142415517,135
4,8.534987290700277,0.9529546645744512,0.07715415954589844,0.011278798471752238,97,4,3,340,"{'max_depth': 97, 'min_samples_leaf': 4, 'min_samples_split': 3, 'n_estimators': 340}",0.5439139110046329,0.5430939716137314,0.5091018287487068,0.5320365704556904,0.016220765662687382,23
5,18.183874368667603,1.037599875120758,0.12828969955444336,0.005976317821734173,79,2,6,609,"{'max_depth': 79, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 609}",0.542684076663063,0.5390690941572838,0.5001874246541501,0.5273135318248322,0.019237745749884058,112
6,28.607726017634075,0.43103468563691016,0.21115660667419434,0.027172108874086276,81,1,3,824,"{'max_depth': 81, 'min_samples_leaf': 1, 'min_samples_split': 3, 'n_estimators': 824}",0.5397522795661402,0.529792856333408,0.48973638284426024,0.5197605062479361,0.02161609766511279,170
7,1.0128943920135498,0.014088627739006557,0.009637276331583658,0.0049314501872698155,68,3,6,40,"{'max_depth': 68, 'min_samples_leaf': 3, 'min_samples_split': 6, 'n_estimators': 40}",0.5347018831253056,0.5347059253148501,0.4895641029269574,0.5196573037890376,0.021279106461173865,171
8,14.431471824645996,0.20531250132537396,0.10489241282145183,0.0064742619439267,67,1,9,505,"{'max_depth': 67, 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 505}",0.5440645096585495,0.5372063333113137,0.4941867135146285,0.5251525188281639,0.022074411577499693,141
9,24.33527374267578,0.6834146526243557,0.20269672075907388,0.05319572260574702,62,1,9,874,"{'max_depth': 62, 'min_samples_leaf': 1, 'min_samples_split': 9, 'n_estimators': 874}",0.5437119252986431,0.536655251051033,0.49608870246147707,0.525485292937051,0.020985214025605037,132
10,24.819727579752605,0.7736509841337526,0.17581025759379068,0.0076318730891336,93,1,8,866,"{'max_depth': 93, 'min_samples_leaf': 1, 'min_samples_split': 8, 'n_estimators': 866}",0.5429126659019098,0.5355696684363543,0.49439163645380435,0.5242913235973562,0.02135374083396937,151
11,10.320204734802246,0.10957765156874592,0.08243918418884277,0.004715386952204162,86,3,8,412,"{'max_depth': 86, 'min_samples_leaf': 3, 'min_samples_split': 8, 'n_estimators': 412}",0.5443445031131798,0.5430319090144595,0.505202230510964,0.5308595475462011,0.018150374907092138,55
12,19.010645310084026,0.6125659807134367,0.1507257620493571,0.004123808304091035,35,2,6,681,"{'max_depth': 35, 'min_samples_leaf': 2, 'min_samples_split': 6, 'n_estimators': 681}",0.5428641182427296,0.538712167169313,0.5000439800537401,0.5272067551552609,0.01928163094486324,114
13,5.066805442174275,0.295209079947747,0.058782339096069336,0.004140967410975281,4,3,7,577,"{'max_depth': 4, 'min_samples_leaf': 3, 'min_samples_split': 7, 'n_estimators': 577}",0.48768255029286134,0.5123996890419789,0.4959621263887767,0.4986814552412057,0.010272302534534993,186
