,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0019521713256835938,0.0006733516714851386,0.0009771188100179036,0.0006918005665848604,0.858693769759263,0.36762386375853234,"OrderedDict([('alpha', 0.858693769759263), ('l1_ratio', 0.36762386375853234)])",0.30197357008890047,0.3650831592181567,0.36323807476883974,0.3434316013586323,0.0293249308237641,197
1,0.002122163772583008,0.00047491077879039084,0.0011475880940755208,0.00019769681741510026,0.9925181073994517,0.7630880300174365,"OrderedDict([('alpha', 0.9925181073994517), ('l1_ratio', 0.7630880300174365)])",0.2436002736860725,0.3315129483599757,0.3334448315832007,0.30285268454308295,0.04190520403222033,200
2,0.002121130625406901,0.0005691703620430565,0.001230478286743164,0.00015712345124861295,0.6734772542773244,0.7004230306008639,"OrderedDict([('alpha', 0.6734772542773244), ('l1_ratio', 0.7004230306008639)])",0.3014580189270023,0.3709395852268861,0.368284784799669,0.34689412965118577,0.03214645765484676,195
3,0.002003828684488932,2.2478319205810147e-06,0.0010003248850504558,5.619579801452537e-07,0.5626149179372756,0.3541044804419739,"OrderedDict([('alpha', 0.5626149179372756), ('l1_ratio', 0.3541044804419739)])",0.32898651827455094,0.37786274196813807,0.3740376231228929,0.36029562778852736,0.022193890112126,191
4,0.0019067923227945964,0.0006407295255837077,0.0004691282908121745,0.0004090554323727095,0.3308677476915756,0.45330089626826364,"OrderedDict([('alpha', 0.3308677476915756), ('l1_ratio', 0.45330089626826364)])",0.34905369581019297,0.40035450550512897,0.3982404688299568,0.3825495567150929,0.02370086933829357,187
5,0.0017155806223551433,0.0005081628013748416,0.0003333886464436849,0.00047148274534186793,0.4123265137948636,0.5839215856658909,"OrderedDict([('alpha', 0.4123265137948636), ('l1_ratio', 0.5839215856658909)])",0.3387763718629486,0.3841739439832773,0.3792979476753918,0.36741608784053925,0.020348936638170608,190
6,0.0024396578470865884,6.0241895471571204e-05,0.0,0.0,0.7580356510098685,0.60764095173628,"OrderedDict([('alpha', 0.7580356510098685), ('l1_ratio', 0.60764095173628)])",0.29597561027863095,0.3655431852688453,0.3646395371672264,0.34205277757156755,0.03258356594234626,198
7,0.001831372578938802,0.0004760919284082314,0.0006772677103678385,0.00023658430964115185,0.7680201253980431,0.1838867148971253,"OrderedDict([('alpha', 0.7680201253980431), ('l1_ratio', 0.1838867148971253)])",0.31940640739169035,0.37083108271984777,0.3656902315100121,0.35197590720718336,0.02312554614077931,194
8,0.001500844955444336,0.0007007376624137136,0.0006536642710367838,0.0004626927773805722,0.7273633180932004,0.6224286156388534,"OrderedDict([('alpha', 0.7273633180932004), ('l1_ratio', 0.6224286156388534)])",0.2989154883786558,0.36763713618763005,0.36623773304133256,0.3442634525358728,0.032070941906910545,196
9,0.009394327799479166,0.0005770184540131466,0.0,0.0,0.026747943525273217,0.9900982851216631,"OrderedDict([('alpha', 0.026747943525273217), ('l1_ratio', 0.9900982851216631)])",0.5024864020699609,0.48221021750388404,0.4737844240062101,0.4861603478600183,0.01204584391857063,178
10,0.014566818873087565,0.002555902452408682,0.0033775965372721353,0.0008858705599009781,0.0,0.0,"OrderedDict([('alpha', 0.0), ('l1_ratio', 0.0)])",0.5361134217571826,0.4846259562526427,0.4801105066257014,0.5002832948785089,0.025402700846429056,50
11,0.0189363956451416,0.0,0.0013699531555175781,0.0019374063323487768,0.0,0.8625381318379541,"OrderedDict([('alpha', 0.0), ('l1_ratio', 0.8625381318379541)])",0.5361134217571826,0.4846259562526427,0.4801105066257014,0.5002832948785089,0.025402700846429056,50
12,0.021951913833618164,0.004951475011150908,0.0,0.0,0.0,0.4281733990971765,"OrderedDict([('alpha', 0.0), ('l1_ratio', 0.4281733990971765)])",0.5361134217571826,0.4846259562526427,0.4801105066257014,0.5002832948785089,0.025402700846429056,50
13,0.004766543706258138,0.0033767958252930775,0.0005129178365071615,0.00042138217451116044,0.11637402717915193,0.0034869580080907356,"OrderedDict([('alpha', 0.11637402717915193), ('l1_ratio', 0.0034869580080907356)])",0.4433570503023099,0.45153505734262034,0.46092520452304164,0.45193910405599064,0.007177857200715399,182
14,0.0021468003590901694,0.0007098653205194845,0.0,0.0,0.17944031574288613,0.9968870371618176,"OrderedDict([('alpha', 0.17944031574288613), ('l1_ratio', 0.9968870371618176)])",0.3787191846657162,0.4344047485466097,0.4348745112511644,0.4159994814878301,0.026361848286344098,185
15,0.0017511049906412761,0.0012382182134520522,0.0,0.0,0.9998471641690018,0.0036781150881770594,"OrderedDict([('alpha', 0.9998471641690018), ('l1_ratio', 0.0036781150881770594)])",0.32169419920156617,0.37268078825403594,0.3665123067996853,0.3536290980850958,0.022721368296372668,192
16,0.01798701286315918,0.0,0.0,0.0,0.0016847659492762461,0.976659087682939,"OrderedDict([('alpha', 0.0016847659492762461), ('l1_ratio', 0.976659087682939)])",0.5343313078940513,0.48566651328257016,0.48115518846320693,0.5003843365466095,0.02407468463835649,3
17,0.011134942372639975,0.0015066093447694254,0.0007724761962890625,0.0007645447055932399,0.0008668483177945998,0.17715086556535878,"OrderedDict([('alpha', 0.0008668483177945998), ('l1_ratio', 0.17715086556535878)])",0.5338999427858083,0.4853590096420132,0.4816222549101433,0.5002937357793216,0.023812093510142636,49
